run_id,full_dataset_name,category,physical_recording,surface,speed,route,has_aligned_gt,data_available,duration_s,rows,used_for_calibration,notes
_smoke_attack_campai,_smoke_attack_campaign,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
_smoke_attack_campai,_smoke_attack_campaign_manifest,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_carpet_2x1_,apriltag_carpet_2x1_fidelity,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_fidelity_full,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_full,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_full_1x_calibrated,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_full_1x_continuity_repaired,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_full_1x_elevation_corrected,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_quick,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_quick_1x_calibrated,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_temporal_calibration,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_2x1_,apriltag_carpet_2x1_turn_audit,APRILTAG_DEV,N/A,carpet,unknown,square_2x1,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Larger route development
apriltag_carpet_low_,apriltag_carpet_low_speed_2m,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_carpet_low_,apriltag_carpet_low_speed_2m_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_motion_cali,apriltag_motion_calibration,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_still,apriltag_still,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_still2,apriltag_still2,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_still3,apriltag_still3,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_temporal_ca,apriltag_temporal_calibration,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
apriltag_trapezoid_e,apriltag_trapezoid_every_frame,APRILTAG_DEV,N/A,unknown,unknown,trapezoid,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Route calibration/development
apriltag_trapezoid_f,apriltag_trapezoid_fidelity,APRILTAG_DEV,N/A,unknown,unknown,trapezoid,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Route calibration/development
apriltag_trapezoid_f,apriltag_trapezoid_fidelity_calibrated,APRILTAG_DEV,N/A,unknown,unknown,trapezoid,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Route calibration/development
apriltag_trapezoid_l,apriltag_trapezoid_layout_smoke,APRILTAG_DEV,N/A,unknown,unknown,trapezoid,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Route calibration/development
apriltag_trapezoid_m,apriltag_trapezoid_metric,APRILTAG_DEV,N/A,unknown,unknown,trapezoid,NO,VIDEO,N/A,N/A,UNKNOWN,Route calibration/development
apriltag_trapezoid_t,apriltag_trapezoid_tracked,APRILTAG_DEV,N/A,unknown,unknown,trapezoid,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Route calibration/development
