t_wall_unix_s,http_latency_ms,L,R,millis,enc_left,enc_right,v_forward_mps,omega_rad_s,delta_v_asymmetry,ax,ay,az,gx,gy,gz,temp,vibration_rms,gps_valid,lat,lon,alt_m,speed_mps,surface,speed_setting,turn_type,vibration_level,log_file
1784559286.4136314,547.0,0.0,0.0,515942.0,0.0,-7.0,0.0,0.0,0.0,-7.724609,0.400391,980.5957,-0.41,-0.23625,-0.21375,46.11111,0.0,True,37.2485655,-80.417477,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559286.9945953,687.0,0.0,0.0,516501.0,0.0,-7.0,0.0,0.0,0.0,-11.14258,0.888672,982.0605,0.59,1.82625,-0.52625,46.11111,0.0,True,37.24856567,-80.4174765,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559287.7481153,547.0,0.0,0.0,517257.0,0.0,-7.0,0.0,0.0,0.0,-7.236328,3.330078,979.1309,-0.2225,0.63875,-0.83875,46.11111,0.8789093339816474,True,37.24856567,-80.4174765,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559288.426947,687.0,0.0,0.0,517954.0,0.0,-7.0,0.0,0.0,0.0,-8.701172,1.376953,981.5723,-0.285,0.57625,-0.27625,46.11111,1.2087237633471493,True,37.24856567,-80.41747617,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559289.734773,719.0,0.0,0.0,519240.0,0.0,-7.0,0.0,0.0,0.0,-7.236328,1.376953,979.6191,-0.7225,14.32625,-0.46375,46.11111,20.387587239033454,True,37.24856583,-80.41747583,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559290.753544,547.0,0.0,0.0,520276.0,0.0,-7.0,0.0,0.0,0.0,-6.259766,0.400391,982.5488,-0.41,2.63875,-0.46375,46.11111,21.364466573811754,True,37.248566,-80.41747533,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559291.6817603,610.0,0.0,0.0,521188.0,0.0,-7.0,0.0,0.0,0.0,-7.724609,1.865234,981.084,-0.785,0.82625,-0.33875,46.11111,94.21144740111235,True,37.248566,-80.417475,,,ROUGH,LOW,STRAIGHT,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559292.6780505,750.0,-0.021182983,-0.021165104,522186.0,2.0,-4.0,0.003761568126894372,0.010671115253601055,0.001504627250757749,35.24414,1.865234,978.6426,-0.785,-3.11125,-0.96375,46.11111,122.05909311203844,True,37.24856617,-80.4174745,,,ROUGH,LOW,STRAIGHT,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559293.729988,703.0,-0.107473375,-0.107473375,523243.0,252.0,346.0,0.45138817522732466,1.067111525360106,0.15046272507577493,40.12695,-16.68945,755.9863,-0.4725,-0.73625,5.22375,46.11111,122.23194626258486,True,37.24856633,-80.41747417,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559294.7519512,718.0,-0.12896805,-0.150462725,524259.0,1070.0,1198.0,1.2563637543827202,0.3628179186224363,0.05115732652576352,-87.80273,3.330078,1123.174,-0.5975,8.32625,2.97375,46.11111,124.50518641308012,True,37.24856617,-80.4174745,,,ROUGH,LOW,GENTLE_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559295.5102725,672.0,-0.128949629,-0.150484223,525015.0,1769.0,1899.0,1.053239075530424,0.02134223050720202,0.003009254501515485,24.01367,-56.24023,966.9238,6.59,-9.79875,-2.27625,46.11111,124.96099426423362,True,37.248566,-80.41747533,,,ROUGH,LOW,STRAIGHT,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559296.6975186,703.0,-0.12896805,-0.12896805,526209.0,2892.0,3009.0,1.6799163254710265,-0.13872449829681263,0.019560154259850582,13.75977,5.283203,923.4668,2.6525,-11.11125,-2.83875,46.11111,84.83226744355422,True,37.24856583,-80.4174765,,,ROUGH,LOW,GENTLE_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559297.725198,719.0,-0.084720003,-0.105855301,527254.0,3851.0,3964.0,1.4399282789751655,-0.04268446101440404,0.00601850900303097,-15.53711,-0.087891,991.8262,-2.285,-2.73625,-2.15125,46.11111,34.43574722068677,True,37.2485655,-80.41747767,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559298.479991,672.0,-0.04298935,-0.04302623,527990.0,4159.0,4300.0,0.48448997474399513,0.2987912271008298,0.042129563021216995,-17.00195,1.376953,961.0645,0.465,-3.42375,-0.77625,46.11111,35.43350385181002,True,37.24856517,-80.41747883,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559299.7723858,719.0,0.023017091,-0.069093552,529295.0,4160.0,4690.0,0.2941546275231399,4.151063833650811,0.5853000005447643,-39.95117,14.56055,976.6895,-2.4725,5.45125,-21.52625,46.11111,16.751185758554513,True,37.24856517,-80.417479,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
