at_risk_fraction,dominant_unobservable_reason,observable_fraction,policy,qualified_fraction,samples,satisfied_given_observable,service_id,trial,withdrawn_fraction
0.0,GPS course unobservable at low speed,0.08196721311475409,static-low,0.0,122,0.0,local_1s_tight,1,0.08196721311475409
0.0,GPS course unobservable at low speed,0.03278688524590164,static-low,0.0,122,0.0,local_5s_moderate,1,0.03278688524590164
0.0,GPS course unobservable at low speed,0.01639344262295082,static-low,0.0,122,0.0,local_10s_preview,1,0.01639344262295082
0.0,GPS course unobservable at low speed,0.4180327868852459,static-low,0.0,122,0.0,global_state_tracking,1,0.4180327868852459
0.0,GPS course unobservable at low speed,0.06976744186046512,static-low,0.0,129,0.0,local_1s_tight,2,0.06976744186046512
0.0,GPS course unobservable at low speed,0.031007751937984496,static-low,0.0,129,0.0,local_5s_moderate,2,0.031007751937984496
0.0,GPS course unobservable at low speed,0.031007751937984496,static-low,0.0,129,0.0,local_10s_preview,2,0.031007751937984496
0.007751937984496124,GPS course unobservable at low speed,0.875968992248062,static-low,0.0,129,0.008849557522123894,global_state_tracking,2,0.8682170542635659
0.0,GPS course unobservable at low speed,0.017094017094017096,static-low,0.0,117,0.0,local_1s_tight,3,0.017094017094017096
0.0,GPS course unobservable at low speed,0.0,static-low,0.0,117,,local_5s_moderate,3,0.0
0.0,GPS course unobservable at low speed,0.0,static-low,0.0,117,,local_10s_preview,3,0.0
0.0,GPS course unobservable at low speed,0.6495726495726496,static-low,0.0,117,0.0,global_state_tracking,3,0.6495726495726496
0.0,GPS course unobservable at low speed,0.024390243902439025,static-low,0.0,123,0.0,local_1s_tight,4,0.024390243902439025
0.0,GPS course unobservable at low speed,0.0,static-low,0.0,123,,local_5s_moderate,4,0.0
0.0,GPS course unobservable at low speed,0.016260162601626018,static-low,0.0,123,0.0,local_10s_preview,4,0.016260162601626018
0.0,GPS course unobservable at low speed,0.7886178861788617,static-low,0.024390243902439025,123,0.030927835051546393,global_state_tracking,4,0.7642276422764228
0.0,GPS course unobservable at low speed,0.051470588235294115,static-low,0.0,136,0.0,local_1s_tight,5,0.051470588235294115
0.0,GPS course unobservable at low speed,0.03676470588235294,static-low,0.0,136,0.0,local_5s_moderate,5,0.03676470588235294
0.0,GPS course unobservable at low speed,0.014705882352941176,static-low,0.0,136,0.0,local_10s_preview,5,0.014705882352941176
0.0,GPS course unobservable at low speed,0.9264705882352942,static-low,0.007352941176470588,136,0.007936507936507936,global_state_tracking,5,0.9191176470588235
0.0,GPS course unobservable at low speed,0.043795620437956206,static-high,0.0072992700729927005,137,0.16666666666666666,local_1s_tight,1,0.0364963503649635
0.0,GPS course unobservable at low speed,0.0,static-high,0.0,137,,local_5s_moderate,1,0.0
0.0,GPS course unobservable at low speed,0.021897810218978103,static-high,0.0,137,0.0,local_10s_preview,1,0.021897810218978103
0.0,GPS course unobservable at low speed,0.5766423357664233,static-high,0.0,137,0.0,global_state_tracking,1,0.5766423357664233
0.0,GPS course unobservable at low speed,0.06521739130434782,static-high,0.0,138,0.0,local_1s_tight,2,0.06521739130434782
0.0,GPS course unobservable at low speed,0.028985507246376812,static-high,0.0,138,0.0,local_5s_moderate,2,0.028985507246376812
0.0,GPS course unobservable at low speed,0.007246376811594203,static-high,0.0,138,0.0,local_10s_preview,2,0.007246376811594203
