cycle_ok,source_sample_time_s,enc_left,enc_right,gz,y,L,R,sample_ms,send_ms,gps_valid,gps_age_ms,gps_fix_type,gps_lat,gps_lon,gps_sat,gps_hdop,gps_alt_m,gps_speed_mps,gps_course_deg,gps_chars,gps_sentences,gps_failed_checksums,v,r,p,ax,ay,az,gx,gy,mx,my,mz,temp,pc_time,seq,T,millis,lat,lon,sat,hdop
True,1601.392,50997,90424,0.74875,-150.9458,0,0,1601392,1601393,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.583865,1.097624,-17.96875,161.4746,999.7363,-24.57125,-0.3675,35,-22,-46,48.33333,2026-08-29T20:01:20.631Z,2460,1007,1601392,,,4294967295,-1
True,1603.171,50997,90424,1.12375,-151.0306,0,0,1603171,1603172,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.428202,1.100187,-16.50391,163.4277,997.7832,-24.50875,-1.2425,36,-22,-47,48.88889,2026-08-29T20:01:22.542Z,2463,1007,1603171,,,4294967295,-1
True,1604.414,50997,90424,0.99875,-151.3985,0,0,1604414,1604416,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.148924,0.608023,-16.50391,164.4043,1000.225,-24.44625,-0.9925,37,-21,-46,48.33333,2026-08-29T20:01:23.685Z,2465,1007,1604414,,,4294967295,-1
True,1606.195,50997,90424,0.93625,-151.6073,0,0,1606195,1606197,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.196564,0.886741,-16.50391,165.8691,1000.713,-24.00875,0.195,36,-21,-47,48.88889,2026-08-29T20:01:25.562Z,2468,1007,1606195,,,4294967295,-1
True,1607.496,50997,90424,0.87375,-152.1263,0,0,1607496,1607497,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.220651,1.305663,-18.94531,163.916,999.248,-23.94625,0.195,36,-21,-46,48.88889,2026-08-29T20:01:26.730Z,2470,1007,1607496,,,4294967295,-1
True,1608.742,50997,90424,0.99875,-152.0785,0,0,1608742,1608744,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.296603,1.112305,-16.50391,160.498,998.2715,-24.69625,-1.1175,37,-21,-47,48.33333,2026-08-29T20:01:27.976Z,2472,1007,1608742,,,4294967295,-1
True,1610.523,50997,90424,1.43625,-152.0344,0,0,1610523,1610525,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57305,3.475522,1.108464,-16.99219,164.8926,1002.178,-24.00875,0.57,36,-22,-45,48.88889,2026-08-29T20:01:29.893Z,2475,1007,1610523,,,4294967295,-1
True,1612.335,50997,90642,-17.00125,-153.0218,0,-0.056838322,1612335,1612336,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57277,3.067746,1.185108,-6.25,152.1973,986.5527,-25.88375,0.2575,35,-19,-45,48.88889,2026-08-29T20:01:31.705Z,2478,1007,1612335,,,4294967295,-1
True,1613.581,51242,91342,-12.68875,-155.4918,-0.068568764,-0.091703626,1613581,1613583,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57277,1.567832,1.323536,-55.56641,145.8496,876.2012,-28.19625,7.82,25,-10,-46,48.88889,2026-08-29T20:01:33.031Z,2480,1007,1613581,,,4294967295,-1
True,1615.493,52384,92614,-3.06375,-156.1437,-0.093271939,-0.104519437,1615493,1615495,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57277,1.003859,1.190542,30.85938,127.7832,1068.096,-25.13375,-4.18,19,-10,-48,50,2026-08-29T20:01:34.896Z,2483,1007,1615493,,,4294967295,-1
True,1617.516,53734,93987,5.74875,-155.0526,-0.101700225,-0.103240696,1617516,1617518,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57277,0.400861,3.27166,-46.77734,132.666,1036.846,-24.75875,-2.18,21,0,-49,49.44444,2026-08-29T20:01:36.750Z,2486,1007,1617516,,,4294967295,-1
True,1618.762,54575,94832,-0.06375,-153.202,-0.102798491,-0.102681569,1618762,1618764,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57277,4.603897,1.421163,-123.4375,186.8652,1554.912,-22.57125,-2.2425,18,-18,-48,48.88889,2026-08-29T20:01:38.173Z,2488,1007,1618762,,,4294967295,-1
True,1620.675,55846,96124,5.56125,-154.113,-0.100228888,-0.104194749,1620675,1620677,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.57277,1.01726,2.946163,-70.21484,158.5449,880.5957,-25.75875,6.07,21,-6,-49,48.33333,2026-08-29T20:01:39.909Z,2491,1007,1620675,,,4294967295,-1
