aoi_limit_s,at_risk_fraction,heading_error_p95_deg,heading_tolerance_deg,horizon_s,log_file,minimum_normalized_margin,observable_fraction,physical_condition,policy,position_error_p95_m,position_tolerance_m,qualified_fraction,run_label,satisfied_observable_fraction,service_id,service_label,service_samples,trial,unobservable_fraction,wireless_condition,withdrawn_fraction
0.6,0.0,7.8101958216399225,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1_20260916_111257.jsonl,-2.9050979108199613,0.007246376811594203,smooth_floor_mixed_motion,aoi-only,0.012909701811501497,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1,0.0,local_1s_tight,Immediate motion,138,1,0.9927536231884058,wifi_baseline,0.007246376811594203
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1_20260916_111257.jsonl,,0.0,smooth_floor_mixed_motion,aoi-only,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1,,local_5s_moderate,Short prediction,138,1,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1_20260916_111257.jsonl,,0.0,smooth_floor_mixed_motion,aoi-only,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1,,local_10s_preview,Planning support,138,1,1.0,wifi_baseline,0.0
1.0,0.0,138.53506230874925,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1_20260916_111257.jsonl,-27.63752771597641,0.6811594202898551,smooth_floor_mixed_motion,aoi-only,6.492217606551977,1.0,0.014492753623188406,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1,0.02127659574468085,global_state_tracking,Global asset tracking,138,1,0.3188405797101449,wifi_baseline,0.6666666666666666
0.6,0.0,,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2_20260916_111522.jsonl,,0.0,smooth_floor_mixed_motion,aoi-only,,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2,,local_1s_tight,Immediate motion,136,2,1.0,wifi_baseline,0.0
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2_20260916_111522.jsonl,,0.0,smooth_floor_mixed_motion,aoi-only,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2,,local_5s_moderate,Short prediction,136,2,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2_20260916_111522.jsonl,,0.0,smooth_floor_mixed_motion,aoi-only,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2,,local_10s_preview,Planning support,136,2,1.0,wifi_baseline,0.0
1.0,0.0,,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2_20260916_111522.jsonl,-0.8694583724328102,0.9191176470588235,smooth_floor_mixed_motion,aoi-only,1.7417636005105173,1.0,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2,0.0,global_state_tracking,Global asset tracking,136,2,0.08088235294117647,wifi_baseline,0.9191176470588235
0.6,0.0,44.20912325000001,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial3_20260916_111729.jsonl,-21.104725500000008,0.014184397163120567,smooth_floor_mixed_motion,aoi-only,0.9481556504689416,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial3,0.0,local_1s_tight,Immediate motion,141,3,0.9858156028368794,wifi_baseline,0.014184397163120567
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial3_20260916_111729.jsonl,,0.0,smooth_floor_mixed_motion,aoi-only,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial3,,local_5s_moderate,Short prediction,141,3,1.0,wifi_baseline,0.0
