dataset_id,policy,trial,physical_condition,wireless_condition,source_video,source_telemetry_csv,source_live_contract_jsonl,expected_live_contract_jsonl,video_path,telemetry_csv_path,live_contract_jsonl_path,video_frames,video_fps,video_duration_s,telemetry_rows,telemetry_duration_s,gps_valid_fraction,satellite_median,hdop_median
ugv01_live_contract,static-low,1,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_Low/T1_20260915_193840.mp4,live_contract_trials/Static_Low/T1_ugv01_live_twin_20260915_194001.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial1_20260915_193833.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial1_20260915_193833.jsonl,public_datasets/ugv01_live_contract/trials/static_low/trial_01/video.mp4,public_datasets/ugv01_live_contract/trials/static_low/trial_01/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_low/trial_01/live_contract.jsonl,3652,29.605596,123.355056,115,82.552,1.0,11.0,0.92
ugv01_live_contract,static-low,2,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_Low/T2_20260915_194112.mp4,live_contract_trials/Static_Low/T2_ugv01_live_twin_20260915_194240.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial2_20260915_194109.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial2_20260915_194109.jsonl,public_datasets/ugv01_live_contract/trials/static_low/trial_02/video.mp4,public_datasets/ugv01_live_contract/trials/static_low/trial_02/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_low/trial_02/live_contract.jsonl,2986,29.595896,100.892367,127,88.322,1.0,12.0,0.91
ugv01_live_contract,static-low,3,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_Low/T3_20260915_195926.mp4,live_contract_trials/Static_Low/T3_ugv01_live_twin_20260915_200058.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial3_20260915_195930.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial3_20260915_195930.jsonl,public_datasets/ugv01_live_contract/trials/static_low/trial_03/video.mp4,public_datasets/ugv01_live_contract/trials/static_low/trial_03/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_low/trial_03/live_contract.jsonl,2892,29.59715,97.712111,123,81.726,1.0,11.0,0.93
ugv01_live_contract,static-low,4,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_Low/T4_20260915_200133.mp4,live_contract_trials/Static_Low/T4_ugv01_live_twin_20260915_200311.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial4_20260915_200142.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial4_20260915_200142.jsonl,public_datasets/ugv01_live_contract/trials/static_low/trial_04/video.mp4,public_datasets/ugv01_live_contract/trials/static_low/trial_04/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_low/trial_04/live_contract.jsonl,4023,29.615359,135.841678,123,82.807,1.0,11.0,0.93
ugv01_live_contract,static-low,5,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_Low/T5_20260915_200412.mp4,live_contract_trials/Static_Low/T5_ugv01_live_twin_20260915_200537.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial5_20260915_200410.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial5_20260915_200410.jsonl,public_datasets/ugv01_live_contract/trials/static_low/trial_05/video.mp4,public_datasets/ugv01_live_contract/trials/static_low/trial_05/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_low/trial_05/live_contract.jsonl,3440,29.602594,116.206033,127,83.997,1.0,11.0,0.93
ugv01_live_contract,static-high,1,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_High/T1_20260915_200645.mp4,live_contract_trials/Static_High/T1_ugv01_live_twin_20260915_200812.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,public_datasets/ugv01_live_contract/trials/static_high/trial_01/video.mp4,public_datasets/ugv01_live_contract/trials/static_high/trial_01/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_high/trial_01/live_contract.jsonl,2790,29.598531,94.261433,131,87.08,1.0,11.0,0.94
ugv01_live_contract,static-high,2,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_High/T2_20260915_200857.mp4,live_contract_trials/Static_High/T2_ugv01_live_twin_20260915_201027.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,public_datasets/ugv01_live_contract/trials/static_high/trial_02/video.mp4,public_datasets/ugv01_live_contract/trials/static_high/trial_02/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_high/trial_02/live_contract.jsonl,2753,29.603862,92.994622,130,86.057,1.0,11.0,0.94
ugv01_live_contract,static-high,3,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_High/T3_20260915_201119.mp4,live_contract_trials/Static_High/T3_ugv01_live_twin_20260915_201242.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,public_datasets/ugv01_live_contract/trials/static_high/trial_03/video.mp4,public_datasets/ugv01_live_contract/trials/static_high/trial_03/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_high/trial_03/live_contract.jsonl,2543,29.597533,85.919322,130,86.302,1.0,10.0,0.96
ugv01_live_contract,static-high,4,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_High/T4_20260915_201320.mp4,live_contract_trials/Static_High/T4_ugv01_live_twin_20260915_201448.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,public_datasets/ugv01_live_contract/trials/static_high/trial_04/video.mp4,public_datasets/ugv01_live_contract/trials/static_high/trial_04/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_high/trial_04/live_contract.jsonl,3977,29.615576,134.287444,132,87.53,1.0,10.0,0.98
ugv01_live_contract,static-high,5,smooth_floor_mixed_motion,wifi_baseline,live_contract_trials/Static_High/T5_20260915_201546.mp4,live_contract_trials/Static_High/T5_ugv01_live_twin_20260915_201711.csv,live_contract_trials/json logs/new_trials/ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,public_datasets/ugv01_live_contract/trials/static_high/trial_05/video.mp4,public_datasets/ugv01_live_contract/trials/static_high/trial_05/telemetry.csv,public_datasets/ugv01_live_contract/trials/static_high/trial_05/live_contract.jsonl,2973,29.609178,100.408056,131,87.443,1.0,10.0,0.99
