base_L,base_R,base_T,base_p,base_r,base_temp,base_v,base_y,imu_T,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_p,imu_r,imu_temp,imu_y,t_edge_rx_ns,t_wall_unix_s
0,0,1001,0.142468184,-1.314430475,49.44444275,12.38871956,-154.6461029,1002,1.54296875,-16.82617188,978.4765625,-0.148750067,0.216250002,-0.305000007,27,-12,-45,-0.067270473,-1.158157945,50,-154.4564056,353276515000000,1783454012.307555
0,0,1001,-0.080180489,-0.963083506,50,12.38871956,-154.214325,1002,1.0546875,-17.31445313,979.453125,-0.461250067,-0.346249998,0.319999993,29,-12,-46,0.03137283,-1.312071085,49.44444275,-155.1373291,353276875000000,1783454012.6660178
0,0,1001,-0.133677199,-0.846796691,49.44444275,12.38871956,-154.7577362,1002,0.56640625,-17.31445313,979.453125,-0.336250067,0.216250002,0.069999993,29,-12,-48,0.054272644,-1.320039988,50,-155.0593414,353277187000000,1783454012.9847498
0,0,1001,0.145423159,-0.700996995,49.44444275,12.38871956,-154.9764099,1002,0.078125,-16.82617188,982.8710938,-0.398750067,-0.221249998,-0.055000007,27,-12,-45,0.265358359,-0.860653877,50,-155.137619,353277484000000,1783454013.2832692
0,0,1001,0.047186889,-0.943698645,49.44444275,12.38871956,-154.8740692,1002,0.078125,-16.82617188,979.453125,-0.086250067,0.341250002,-0.117500007,29,-13,-45,-0.007971309,-0.959306717,49.44444275,-154.9214783,353277796000000,1783454013.5881765
0,0,1001,-0.867888033,-1.003320217,50,12.38871956,-154.8457947,1002,-1.38671875,-19.26757813,980.9179688,-0.086250067,0.153750002,0.007499993,27,-12,-47,0.03295017,-1.18988359,49.44444275,-155.0426483,353278125000000,1783454013.9217014
0,0,1001,0.85108006,-1.392421603,49.44444275,12.38871956,-154.4699554,1002,-0.8984375,-17.80273438,980.4296875,-0.086250067,0.091250002,-0.055000007,28,-12,-46,-0.048443623,-0.964899421,49.44444275,-154.2103424,353278453000000,1783454014.251859
0,0,1001,-0.106113747,-1.241218567,49.44444275,12.38871956,-154.6976013,1002,3.0078125,-20.73242188,981.8945313,-0.023750067,0.466250002,0.194999993,30,-11,-47,0.127416015,-1.393330097,49.44444275,-154.5861816,353278781000000,1783454014.5683658
0,0,1001,0.065219663,-1.166975975,50,12.38871956,-154.7680206,1002,3.0078125,-16.82617188,980.9179688,-0.148750067,0.216250002,0.007499993,28,-11,-45,0.105997741,-1.350437164,50,-154.7535248,353279125000000,1783454014.923732
0,0,1001,-0.244482964,-0.808085918,50,12.38871956,-155.385498,1002,1.54296875,-16.82617188,982.8710938,-0.461250067,0.466250002,0.069999993,28,-12,-45,-0.602890611,-1.187567115,50,-154.8563232,353279468000000,1783454015.2543135
0,0,1001,-0.20472078,-0.734463215,49.44444275,12.38871956,-154.2828979,1002,3.0078125,-19.75585938,980.4296875,-0.148750067,0.216250002,0.132499993,28,-12,-45,-0.170445055,-1.013666987,49.44444275,-154.6750183,353279781000000,1783454015.5764697
0,0,1001,0.090103306,-1.053727031,50,12.38871956,-154.5107574,1002,1.54296875,-17.80273438,979.9414063,-0.211250067,0.028750002,-0.305000007,28,-12,-44,0.042686541,-1.192980766,50,-154.5550537,353280125000000,1783454015.9214482
