sample_idx,t_cycle_start_ns,t_edge_rx_ns,t_wall_unix_s,cycle_ok,error,imu_http_latency_ms,base_http_latency_ms,gps_http_latency_ms,imu_T,imu_r,imu_p,imu_y,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_temp,base_T,base_L,base_R,base_r,base_p,base_y,base_temp,base_v,gps_T,gps_valid,gps_age_ms,gps_lat,gps_lon,gps_sat,gps_hdop,gps_alt_m,gps_speed_mps,gps_course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,421866000000000,421866718000000,1783522601.7899208,True,,265.0,172.0,281.0,1002,-0.009179,-0.297106,-125.6139,0.273438,-5.439453,980.7617,-0.175,-0.44875,-0.1775,32,-46,-51,48.88889,1001,0,0,-0.0826,-0.19888,-125.6591,48.88889,12.36897,1006,True,329,37.248875,-80.418122,12,0.87,682.7,0.0463,146.11,259637,702,1
1,421868718000000,421869187000000,1783522604.5098526,True,,172.0,31.0,266.0,1002,0.061677,-0.526037,-124.8308,4.667969,-0.556641,979.2969,0.075,-1.51125,0.01,31,-46,-51,48.88889,1001,0,0,0.176588,-2.436861,-125.1421,48.88889,12.3371,1006,True,47,37.2488725,-80.4181205,12,0.95,682.5,0.020577778,146.11,261404,707,1
2,421871203000000,421871640000000,1783522606.9896994,True,,140.0,32.0,265.0,1002,-0.229389,-0.148752,-125.6518,7.109375,-0.556641,981.7383,0.0125,-1.57375,-0.4275,32,-44,-51,48.88889,1001,0,0,-0.585449,-0.219624,-125.684,48.88889,12.3371,1006,True,384,37.24887,-80.41812067,12,0.87,682.8,0.020577778,146.11,263353,712,1
3,421873640000000,421874125000000,1783522609.437408,True,,172.0,47.0,266.0,1002,-0.033346,-0.264068,-124.9613,3.203125,-0.556641,976.8555,0.0125,-0.07375,-0.0525,31,-45,-50,48.88889,1001,0,0,-0.243265,-0.032938,-125.1438,48.88889,12.3371,1006,True,2,37.24886817,-80.41812117,12,0.87,683.1,0.025722222,146.11,265146,717,1
4,421876140000000,421876609000000,1783522611.9323254,True,,156.0,32.0,281.0,1002,0.019648,-0.346672,-124.874,7.109375,-1.044922,979.7852,0.0125,0.61375,0.01,29,-44,-51,48.88889,1001,0,0,0.067824,-0.53295,-124.3617,49.44444,12.3371,1006,True,349,37.24886733,-80.41812017,12,0.87,683.1,0.036011111,146.11,267110,722,1
5,421878609000000,421879078000000,1783522614.4050443,True,,156.0,172.0,141.0,1002,-0.120557,0.280026,-124.7973,4.179688,-4.462891,980.7617,0.7,-0.13625,0.1975,31,-45,-50,48.88889,1001,0,0,-0.045913,0.037438,-124.6054,48.88889,12.35701,1006,True,18,37.24886733,-80.41811833,12,0.87,682.7,0.0463,146.11,268999,727,1
6,421881093000000,421881718000000,1783522616.8868477,True,,172.0,172.0,281.0,1002,-0.219533,-0.641236,-124.7174,1.25,-3.486328,981.7383,-0.1125,-0.51125,-0.3025,31,-45,-50,48.88889,1001,0,0,-0.218659,-0.30262,-124.7392,48.88889,12.35701,1006,True,583,37.24886817,-80.4181185,12,0.87,682.4,0.010288889,146.11,271125,732,1
7,421883718000000,421884171000000,1783522619.5117335,True,,157.0,31.0,265.0,1002,0.161237,-0.206457,-125.1269,3.691406,1.884766,977.832,0.1375,0.23875,0.0725,32,-46,-51,49.44444,1001,0,0,-0.191609,-0.097134,-125.3742,49.44444,12.35701,1006,True,32,37.24887033,-80.41811917,12,0.87,682.5,0.015433333,146.11,272754,737,1
8,421886187000000,421886609000000,1783522621.9729717,True,,141.0,15.0,266.0,1002,-0.16831,-0.109872,-125.1227,1.738281,-4.462891,981.25,-0.425,0.23875,0.5725,32,-45,-52,49.44444,1001,0,0,-0.204369,0.015727,-125.2298,48.88889,12.35701,1006,True,357,37.24887233,-80.41811933,12,0.87,681.9,0.0463,146.11,274698,742,1
9,421888609000000,421889062000000,1783522624.4094098,True,,172.0,140.0,141.0,1002,-0.097316,-0.196398,-125.5761,4.179688,-1.533203,977.832,-0.2375,2.23875,0.0725,32,-45,-51,48.88889,1001,0,0,-0.084144,-0.415301,-125.473,49.44444,12.3611,1006,True,11,37.2488745,-80.4181185,12,0.87,681.5,0.020577778,146.11,276571,747,1
10,421891078000000,421891531000000,1783522626.8631117,True,,156.0,31.0,266.0,1002,1.782112,0.032727,-125.0647,12.48047,25.81055,982.2266,0.075,-1.63625,-0.24,31,-45,-51,48.88889,1001,0,0,1.473287,0.648336,-125.0223,49.44444,12.3611,1006,True,276,37.24887533,-80.418118,12,0.87,681.4,0.036011111,146.11,278417,752,1
11,421893531000000,421894000000000,1783522629.3253496,True,,156.0,47.0,266.0,1002,-0.286598,-0.03824,-125.2739,4.667969,-2.021484,978.8086,-0.2375,0.05125,-0.0525,31,-44,-49,49.44444,1001,0,0,-0.1748,-0.01625,-125.2755,48.88889,12.3611,1006,True,733,37.24887617,-80.4181175,12,0.87,681.4,0.015433333,146.11,280246,756,1
12,421896000000000,421896031000000,1783522631.7929864,False,"HTTPConnectionPool(host='192.168.4.1', port=80): Max retries exceeded with url: /js?cmd=%7B%22T%22%3A126%7D (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B66A6A67B0>: Failed to establish a new connection: [WinError 10051] A socket operation was attempted to an unreachable network'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,421898031000000,421898062000000,1783522633.8246505,False,"HTTPConnectionPool(host='192.168.4.1', port=80): Max retries exceeded with url: /js?cmd=%7B%22T%22%3A126%7D (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B66A6A6DB0>: Failed to establish a new connection: [WinError 10051] A socket operation was attempted to an unreachable network'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,421900078000000,421900078000000,1783522635.864167,False,"HTTPConnectionPool(host='192.168.4.1', port=80): Max retries exceeded with url: /js?cmd=%7B%22T%22%3A126%7D (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B66A6A6A80>: Failed to establish a new connection: [WinError 10051] A socket operation was attempted to an unreachable network'))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,421902078000000,421902515000000,1783522637.877955,True,,140.0,16.0,281.0,1002,-0.03208,-0.366539,-125.4966,2.714844,-3.974609,982.7148,0.075,0.42625,0.01,32,-45,-50,50,1001,0,0,0.088109,-0.356375,-125.4557,49.44444,12.38114,1006,True,259,37.2488795,-80.41811967,12,0.87,681.5,0.025722222,146.11,286741,774,1
16,421904515000000,421905093000000,1783522640.3079088,True,,172.0,203.0,203.0,1002,-0.15268,-0.165488,-125.518,4.179688,-2.021484,979.7852,0.5125,-1.07375,-0.3025,32,-44,-52,49.44444,1001,0,0,0.142753,-0.595639,-124.7586,48.88889,12.38114,1006,True,30,37.24888467,-80.41811917,12,0.87,682,0.118322221,62.95,288690,779,1
17,421907093000000,421907718000000,1783522642.8925493,True,,297.0,172.0,156.0,1002,-0.288136,0.090618,-125.493,4.179688,-5.439453,979.7852,-0.675,-0.07375,-0.1775,32,-44,-51,49.44444,1001,0,0,-0.069635,-0.286169,-125.1858,48.88889,12.36489,1006,True,589,37.2488835,-80.41812017,12,0.87,682.2,0.051444444,62.95,290849,784,1
18,421909718000000,421910171000000,1783522645.5169446,True,,141.0,31.0,281.0,1002,-0.220561,0.252407,-125.3305,-5.585938,-6.904297,983.6914,-0.05,1.48875,0.26,31,-43,-51,49.44444,1001,0,0,-0.282979,-0.008513,-125.3168,49.44444,12.36489,1006,True,38,37.248883,-80.418119,12,0.87,682.3,0.051444444,62.95,292473,789,1
19,421912203000000,421912656000000,1783522647.9951558,True,,156.0,31.0,266.0,1002,-0.165733,0.007759,-124.7437,3.691406,-4.951172,980.2734,0.2625,0.42625,0.0725,30,-44,-52,49.44444,1001,0,0,-0.126675,-0.158998,-124.6981,48.88889,12.36489,1006,True,403,37.2488845,-80.4181175,12,0.87,681.4,0.0463,62.95,294455,794,1
20,421914656000000,421915109000000,1783522650.4505305,True,,156.0,31.0,266.0,1002,0.106514,-0.538839,-124.6782,0.761719,-2.509766,978.3203,-0.2375,-1.19875,0.0725,30,-47,-53,49.44444,1001,0,0,-0.162583,0.079332,-125.2146,49.44444,12.36489,1006,True,853,37.24888483,-80.418117,12,0.97,681.2,0.020577778,62.95,296201,798,1
21,421917125000000,421917593000000,1783522652.9104743,True,,156.0,62.0,250.0,1002,-0.428212,-0.334639,-125.5263,5.644531,-3.974609,978.8086,-0.425,-0.63625,0.01,33,-44,-50,49.44444,1001,0,0,-0.127771,-0.240645,-125.3756,48.88889,12.38501,1006,True,345,37.248885,-80.41811517,12,0.87,681.1,0.005144444,62.95,298189,804,1
22,421919593000000,421920109000000,1783522655.3932545,True,,297.0,47.0,172.0,1002,-0.020992,-0.083116,-124.8562,5.644531,-1.044922,981.25,-0.4875,-0.82375,0.0725,31,-45,-51,49.44444,1001,0,0,-0.080505,-0.105076,-124.9832,49.44444,12.38501,1006,True,90,37.24888583,-80.4181125,12,0.95,680.9,0.036011111,62.95,300102,809,1
23,421922125000000,421922562000000,1783522657.9121983,True,,140.0,125.0,172.0,1002,-0.105443,0.019053,-125.3836,2.226563,-2.021484,982.7148,0.3875,-0.13625,0.135,32,-44,-53,49.44444,1001,0,0,-0.094346,0.009549,-125.2769,48.88889,12.38501,1006,True,431,37.24888683,-80.4181125,12,0.87,680.6,0.015433333,62.95,302053,814,1
24,421924562000000,421925125000000,1783522660.3569822,True,,141.0,156.0,266.0,1002,0.069377,-0.041856,-124.8753,3.691406,0.419922,977.3438,-0.175,-1.76125,0.26,30,-45,-51,49.44444,1001,0,0,0.075212,-0.132868,-124.7798,49.44444,12.38501,1006,True,874,37.24888717,-80.4181115,12,0.87,680.2,0.061733333,62.95,303798,818,1
