sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783959371.8069584,858630093000000,858630093000000,858630765000000,858630429000000,672.0,498.964,498.964,858630.765,858630.765,,858131.465,False,1,0,False,0,1007,41,498964,498966,498964,0,0,74154,68745,12.1411,0.296691,-3.330378,-84.7582,47.68555,4.121094,980.8594,-0.10625,1.44,0.1975,-7,-30,-46,48.33333,True,194,3,37.24888233,-80.41813733,11,0.99,,,,307626,964,22
1,True,,1783959373.4819665,858631765000000,858631765000000,858632421000000,858632093000000,656.0,500.628,500.628,858632.421,858632.421,,858131.465,False,2,0,False,0,1007,42,500628,500629,500628,0,0,74154,68745,12.1411,0.39831,-3.453057,-84.98032,49.63867,7.050781,984.2773,-0.16875,-0.935,-0.1775,-6,-30,-47,48.33333,True,802,3,37.2488815,-80.41813783,11,0.99,,,,308582,966,22
2,True,,1783959375.1383305,858633421000000,858633421000000,858634062000000,858633741500000,641.0,502.27,502.27,858634.062,858634.062,,858131.465,False,3,0,False,0,1007,43,502270,502271,502270,0,0,74154,68745,12.1411,0.297831,-3.147348,-85.65366,50.61523,5.097656,980.8594,-1.23125,-0.4975,-0.1775,-5,-30,-47,48.33333,True,490,3,37.24887933,-80.41813867,11,0.99,,,,309564,970,23
3,True,,1783959376.77923,858635062000000,858635062000000,858635703000000,858635382500000,641.0,503.912,503.912,858635.703,858635.703,,858131.46775,False,4,0,False,0,1007,44,503912,503914,503912,0,0,74154,68745,12.1411,0.435791,-3.073767,-85.03001,49.63867,5.585938,979.8828,-0.10625,-1.8725,-0.24,-5,-30,-48,48.33333,True,138,3,37.24887767,-80.41814033,11,1.11,,,,310516,974,23
4,True,,1783959378.4238439,858636703000000,858636703000000,858637359000000,858637031000000,656.0,505.578,505.578,858637.359,858637.359,,858131.465,True,5,0,False,0,1007,45,505578,505579,505578,0,0,73026,67595,12.15314,0.193353,-4.027978,-87.36086,42.80273,-8.574219,982.3242,-0.48125,3.19,-0.24,-6,-30,-49,48.33333,True,786,3,37.24887733,-80.41814233,11,0.99,,,,311482,976,23
5,True,,1783959380.0876234,858638375000000,858638375000000,858639015000000,858638695000000,640.0,507.221,507.221,858639.015,858639.015,,858131.46775,True,6,0,False,0,1007,46,507221,507223,507221,0.064502454,-0.086003272,72429,68063,12.15314,27.18444,-3.9913,131.9292,44.75586,31.95313,995.9961,4.14375,-0.685,-58.115,-1,-41,-47,48.33333,True,450,3,37.24887533,-80.41814317,12,0.96,,,,312473,980,24
6,True,,1783959381.733074,858640015000000,858640015000000,858640671000000,858640343000000,656.0,508.87,508.87,858640.671,858640.671,,858131.4704999999,True,7,0,False,0,1007,47,508870,508872,508870,0,0,71246,69312,12.15314,1.136404,-4.24215,-118.6749,25.71289,-17.85156,996.4844,0.58125,-0.185,1.635,20,-52,-46,48.33333,True,101,3,37.24887267,-80.4181405,11,1.02,,,,313423,984,24
7,True,,1783959383.3843675,858641671000000,858641671000000,858642312000000,858641991500000,641.0,510.525,510.525,858642.312,858642.312,,858131.4685,True,8,0,False,0,1007,48,510525,510526,510525,0.1719574,-0.150462725,71185,69371,12.15314,-0.425597,-3.828871,-139.9747,8.134766,-7.109375,950.5859,-1.79375,8.44,-107.365,33,-56,-46,48.33333,True,691,3,37.24887217,-80.41813983,11,1.02,,,,314422,986,24
8,True,,1783959385.037372,858643328000000,858643328000000,858643968000000,858643648000000,640.0,512.171,512.171,858643.968,858643.968,,858131.4704999999,True,9,0,False,0,1007,49,512171,512173,512171,0,0,69375,71149,12.15314,4.30333,3.076314,-52.69288,53.05664,7.050781,977.4414,-0.73125,-1.685,0.01,-6,-27,-51,48.33333,True,397,3,37.24887033,-80.418139,11,1.02,,,,315363,990,25
9,True,,1783959386.6844025,858644968000000,858644968000000,858645625000000,858645296500000,657.0,513.829,513.829,858645.625,858645.625,,858131.469,True,10,0,False,0,1007,50,513829,513830,513829,-0.107473375,0.107688753,69789,70746,12.15314,11.45838,-1.546256,143.8809,-48.99414,-150.6641,954.0039,0.39375,2.19,57.3225,10,-17,-47,48.33333,True,52,3,37.2488705,-80.41814383,12,1.06,,,,316314,994,25
