sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783957199.2168732,856457500000000,856457500000000,856458140000000,856457820000000,640.0,1692.425,1692.425,856458.14,856458.14,,854765.3949999999,False,1,0,False,0,1007,582,1692425,1692426,1692425,0,0,1,1,12.17318,0.719224,-1.109414,-123.4909,20.03906,14.64844,978.8184,-0.41125,-0.0075,-0.01375,28,-45,-46,50,True,539,3,37.24885517,-80.4181415,12,0.8,,,,1133775,3131,332
1,True,,1783957200.865314,856459156000000,856459156000000,856459781000000,856459468500000,625.0,1694.078,1694.078,856459.781,856459.781,,854765.3927499999,False,2,0,False,0,1007,583,1694078,1694079,1694078,0,0,1,1,12.17318,0.821397,-1.469574,-123.0199,19.55078,12.69531,980.7715,0.58875,-1.8825,0.11125,26,-43,-46,49.44444,True,195,3,37.24885583,-80.41814417,12,0.8,,,,1134907,3135,332
2,True,,1783957202.5128367,856460796000000,856460796000000,856461453000000,856461124500000,657.0,1695.735,1695.735,856461.453,856461.453,,854765.3905,False,3,0,False,0,1007,584,1695735,1695737,1695735,0.140750912,0.140656928,-162,-154,12.17318,-1.115237,-9.616649,-125.17,187.5195,-27.83203,908.0176,-1.22375,7.305,-2.88875,26,-43,-47,49.44444,True,495,3,37.24885683,-80.418146,12,0.8,,,,1136040,3137,332
3,True,,1783957204.1805947,856462468000000,856462468000000,856463093000000,856462780500000,625.0,1697.395,1697.395,856463.093,856463.093,,854765.39,False,4,0,False,0,1007,585,1697395,1697397,1697395,0,0,-791,-740,12.17318,0.536758,-0.514983,-121.0878,12.71484,8.789063,977.8418,-0.09875,1.055,-0.45125,28,-47,-47,50,True,510,3,37.24885783,-80.41814783,12,0.8,,,,1137120,3141,333
4,True,,1783957205.8273664,856464109000000,856464109000000,856464812000000,856464460500000,703.0,1699.041,1699.041,856464.812,856464.812,,854765.3905,True,5,0,False,0,1007,586,1699041,1699043,1699041,0,0,-605,-557,12.17318,0.508517,-1.496312,-120.1462,34.19922,5.859375,971.9824,-0.91125,-0.1325,-0.32625,23,-45,-50,49.44444,True,159,3,37.24885967,-80.41814667,12,0.8,,,,1138199,3145,333
5,True,,1783957207.53506,856465812000000,856465812000000,856466593000000,856466202500000,781.0,1700.751,1700.751,856466.593,856466.593,,854765.3927499999,True,6,0,False,0,1007,587,1700751,1700753,1700751,-0.392316517,-0.393440073,-189,-152,12.17318,-0.745003,-5.48262,-121.0272,3.925781,-52.24609,1081.357,-6.09875,-5.7575,3.54875,26,-50,-55,49.44444,True,536,3,37.24885983,-80.41814633,12,0.8,,,,1139341,3147,333
6,True,,1783957209.3212855,856467609000000,856467609000000,856468265000000,856467937000000,656.0,1702.548,1702.548,856468.265,856468.265,,854765.3905,True,7,0,False,0,1007,588,1702548,1702549,1702548,0,0,2921,2940,11.99289,0.893155,-1.351606,-127.7669,29.31641,16.60156,975.4004,-0.47375,-2.1325,-0.32625,34,-45,-37,49.44444,True,662,3,37.24885933,-80.41814617,12,0.8,,,,1140318,3151,334
7,True,,1783957210.9807913,856469265000000,856469265000000,856469921000000,856469593000000,656.0,1704.2,1704.2,856469.921,856469.921,,854765.39175,True,8,0,False,0,1007,589,1704200,1704202,1704200,-0.505519168,-0.505111874,4767,4775,11.99289,0.918077,-0.756861,-131.4243,-46.36719,28.32031,964.6582,-1.47375,-2.945,-5.45125,33,-41,-48,50,True,321,3,37.24885733,-80.418143,12,0.8,,,,1141383,3155,335
8,True,,1783957212.634197,856470921000000,856470921000000,856471578000000,856471249500000,657.0,1705.867,1705.867,856471.578,856471.578,,854765.3905,True,9,0,False,0,1007,590,1705867,1705869,1705867,-0.110471898,-0.088390498,10028,10027,11.99289,-0.989079,8.767646,-133.0799,-153.7891,-3.417969,943.1738,-1.34875,-6.445,-1.63875,40,-35,-43,49.44444,True,97,3,37.2488605,-80.4181455,12,0.8,,,,1142486,3158,335
9,True,,1783957214.3020387,856472593000000,856472593000000,856473265000000,856472929000000,672.0,1707.543,1707.543,856473.265,856473.265,,854765.39,True,10,0,False,0,1007,591,1707543,1707544,1707543,0,0,10045,10046,11.99289,-0.477388,0.187212,-135.377,9.296875,-6.347656,981.2598,-0.28625,13.8675,0.11125,36,-36,-43,50,True,661,3,37.24886033,-80.41814567,12,0.8,,,,1143489,3161,336
10,True,,1783957215.9801574,856474265000000,856474265000000,856474984000000,856474624500000,719.0,1709.206,1709.206,856474.984,856474.984,,854765.3905,True,11,0,False,0,1007,592,1709206,1709207,1709206,0,0,10045,10046,11.99289,-0.294942,-0.652745,-135.0802,6.855469,-5.859375,983.7012,0.15125,-1.82,0.11125,36,-37,-45,49.44444,True,324,3,37.24886117,-80.4181435,12,0.8,,,,1144559,3165,337
11,True,,1783957217.6991465,856475984000000,856475984000000,856476625000000,856476304500000,641.0,1710.908,1710.908,856476.625,856476.625,,854765.39175,True,12,0,False,0,1007,593,1710908,1710910,1710908,0.042977071,-0.064465606,9813,10398,11.99289,10.00546,-2.356811,-166.4298,13.20313,26.36719,992.9785,1.46375,0.93,-28.82625,36,-31,-44,50.55556,True,24,3,37.248862,-80.41814217,12,0.8,,,,1145698,3169,337
