sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559286.4136314,420530609000000,420530609000000,420531156000000,420530882500000,547.0,515.942,515.942,420531.156,420531.156,,420014.9405,False,1,0,0,0,False,0,1007,1,515942,515943,515942,0,0,0,-7,11.53685,0.254087,0.339652,-103.6567,-7.724609,0.400391,980.5957,-0.41,-0.23625,-0.21375,13,-53,-47,46.11111,True,54,3,37.2485655,-80.417477,12,0.82,,,,225532,334,3
1,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559286.9945953,420531203000000,420531203000000,420531890000000,420531546500000,687.0,516.501,516.501,420531.89,420531.89,,420014.993,False,2,0,0,0,False,0,1007,2,516501,516502,516501,0,0,0,-7,11.53685,0.231602,0.888989,-104.1229,-11.14258,0.888672,982.0605,0.59,1.82625,-0.52625,14,-53,-47,46.11111,True,49,3,37.24856567,-80.4174765,12,0.82,,,,225816,335,3
2,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559287.7481153,420531953000000,420531953000000,420532500000000,420532226500000,547.0,517.257,517.257,420532.5,420532.5,,420014.9695,False,3,0,0,0,False,0,1007,3,517257,517258,517257,0,0,0,-7,11.53685,0.325372,0.195055,-104.1499,-7.236328,3.330078,979.1309,-0.2225,0.63875,-0.83875,13,-54,-48,46.11111,True,106,3,37.24856567,-80.4174765,12,0.82,,,,226111,336,4
3,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559288.426947,420532625000000,420532625000000,420533312000000,420532968500000,687.0,517.954,517.954,420533.312,420533.312,,420014.99199999997,False,4,0,0,0,False,0,1007,4,517954,517956,517954,0,0,0,-7,11.53685,0.194584,0.525365,-104.1645,-8.701172,1.376953,981.5723,-0.285,0.57625,-0.27625,14,-55,-46,46.11111,True,66,3,37.24856567,-80.41747617,12,0.82,,,,226571,338,5
4,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559289.734773,420533937000000,420533937000000,420534656000000,420534296500000,719.0,519.24,519.24,420534.656,420534.656,,420015.0145,True,5,0,0,0,False,0,1007,5,519240,519241,519240,0,0,0,-7,11.53685,0.146874,0.97536,-104.1159,-7.236328,1.376953,979.6191,-0.7225,14.32625,-0.46375,14,-56,-49,46.11111,True,368,3,37.24856583,-80.41747583,12,0.82,,,,227394,340,5
5,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559290.7535439,420534953000000,420534953000000,420535500000000,420535226500000,547.0,520.276,520.276,420535.5,420535.5,,420014.99199999997,True,6,0,0,0,False,0,1007,6,520276,520278,520276,0,0,0,-7,11.53685,0.179201,0.62434,-104.0886,-6.259766,0.400391,982.5488,-0.41,2.63875,-0.46375,14,-53,-46,46.11111,True,235,3,37.248566,-80.41747533,12,0.82,,,,227971,342,6
6,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559291.6817603,420535890000000,420535890000000,420536500000000,420536195000000,610.0,521.188,521.188,420536.5,420536.5,,420015.007,True,7,0,0,0,False,0,1007,7,521188,521189,521188,0,0,0,-7,11.53685,0.225259,0.179588,-103.4592,-7.724609,1.865234,981.084,-0.785,0.82625,-0.33875,12,-53,-47,46.11111,True,236,3,37.248566,-80.417475,12,0.82,,,,228548,344,7
7,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559292.6780503,420536875000000,420536875000000,420537625000000,420537250000000,750.0,522.186,522.186,420537.625,420537.625,,420015.01075,True,8,0,0,0,False,0,1007,8,522186,522187,522186,-0.021182983,-0.021165104,2,-4,11.53685,0.094666,-0.751698,-103.1305,35.24414,1.865234,978.6426,-0.785,-3.11125,-0.96375,12,-56,-49,46.11111,True,319,3,37.24856617,-80.4174745,12,0.82,,,,229254,346,7
8,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559293.729988,420537937000000,420537937000000,420538640000000,420538288500000,703.0,523.243,523.243,420538.64,420538.64,,420015.0145,True,9,0,0,0,False,0,1007,9,523243,523244,523243,-0.107473375,-0.107473375,252,346,11.4926,0.35578,-0.656706,-103.1758,40.12695,-16.68945,755.9863,-0.4725,-0.73625,5.22375,12,-55,-49,46.11111,True,257,3,37.24856633,-80.41747417,12,0.82,,,,229831,348,8
9,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.076,-0.076,1.65,-0.14,-0.14,1784559294.7519512,420538953000000,420538953000000,420539671000000,420539312000000,718.0,524.259,524.259,420539.671,420539.671,,420015.03,True,10,0,0,0,False,0,1007,10,524259,524260,524259,-0.12896805,-0.150462725,1070,1198,11.4926,0.130118,0.429197,-105.2284,-87.80273,3.330078,1123.174,-0.5975,8.32625,2.97375,12,-48,-47,46.11111,True,213,3,37.24856617,-80.4174745,12,0.82,,,,230408,350,9
