sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559607.6948302,420851890000000,420851890000000,420852578000000,420852234000000,688.0,837.241,837.241,420852.578,420852.578,,420014.993,False,1,0,0,0,False,0,1007,159,837241,837242,837241,0,0,43548,68667,11.47033,0.375614,0.305649,-103.5625,-7.724609,3.818359,980.1074,0.215,-0.48625,-0.58875,12,-52,-48,48.33333,True,82,3,37.2485705,-80.41747117,12,0.79,,,,438103,967,137
1,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559608.8129845,420853015000000,420853015000000,420853718000000,420853366500000,703.0,838.387,838.387,420853.718,420853.734,,420014.98625,False,2,0,0,0,False,0,1007,160,838387,838389,838387,0,0,43548,68667,11.47033,0.370874,0.197053,-103.3447,-7.724609,2.841797,980.5957,-0.16,-0.54875,0.09875,12,-52,-47,48.33333,True,341,3,37.24857083,-80.41747233,12,0.79,,,,438781,969,138
2,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559609.8085866,420854015000000,420854015000000,420854687000000,420854351000000,672.0,839.323,839.323,420854.687,420854.687,,420014.993,False,3,0,0,0,False,0,1007,161,839323,839325,839323,0,0,43548,68667,11.47033,0.336023,-0.407123,-103.4474,-9.189453,3.330078,982.5488,0.0275,-14.23625,-0.46375,12,-51,-47,48.88889,True,167,3,37.24857117,-80.417474,12,0.79,,,,439256,971,138
3,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559610.7494686,420854953000000,420854953000000,420855687000000,420855320000000,734.0,840.278,840.278,420855.687,420855.687,,420015.01050000003,False,4,0,0,0,False,0,1007,162,840278,840279,840278,0,0,43548,68667,11.47033,0.343395,0.033081,-103.6505,-7.724609,5.283203,979.1309,-0.41,-0.61125,-0.15125,12,-51,-48,48.33333,True,150,3,37.24857117,-80.4174745,12,0.79,,,,439768,973,139
4,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559611.6126912,420855812000000,420855812000000,420856500000000,420856156000000,688.0,841.125,841.125,420856.5,420856.5,,420015.02800000005,True,5,0,0,0,False,0,1007,163,841125,841127,841125,0,0,43548,68667,11.47033,0.354609,0.464809,-103.5276,-8.212891,3.818359,980.1074,-0.285,1.76375,-0.15125,13,-52,-47,48.33333,True,54,3,37.248571,-80.41747433,12,0.79,,,,440257,975,140
5,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559612.350977,420856546000000,420856546000000,420857312000000,420856929000000,766.0,841.884,841.884,420857.312,420857.312,,420015.02950000006,True,6,0,0,0,False,0,1007,164,841884,841885,841884,0,0,43548,68667,11.47033,0.442353,0.617562,-102.787,-4.306641,4.794922,981.5723,0.715,3.38875,-0.15125,12,-52,-49,48.33333,True,70,3,37.24856983,-80.4174745,12,0.79,,,,440652,977,140
6,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559613.4052188,420857609000000,420857609000000,420858437000000,420858023000000,828.0,842.934,842.934,420858.437,420858.437,,420015.031,True,7,0,0,0,False,0,1007,165,842934,842935,842934,0,0,43548,68667,11.47033,0.201995,0.635427,-103.2618,-7.236328,2.841797,980.1074,-0.535,-0.42375,-0.46375,13,-52,-49,48.33333,True,1119,3,37.24856983,-80.4174745,12,0.79,,,,441350,977,141
7,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559614.298075,420858500000000,420858500000000,420859265000000,420858882500000,765.0,843.834,843.834,420859.265,420859.265,,420015.03650000005,True,8,0,0,0,False,0,1007,166,843834,843835,843834,0,-0.044436717,43548,68677,11.47033,-0.72678,-1.156446,-105.9629,73.81836,-50.86914,985.4785,2.34,-0.73625,-11.15125,16,-55,-47,48.88889,True,2019,3,37.24856983,-80.4174745,12,0.79,,,,441885,977,142
8,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559615.5317032,420859734000000,420859734000000,420860500000000,420860117000000,766.0,845.06,845.06,420860.5,420860.5,,420015.042,True,9,0,0,0,False,0,1007,167,845060,845061,845060,-0.066763522,-0.111124612,43728,69396,11.47033,0.075129,1.004636,-111.4383,-41.41602,-15.71289,1003.545,-3.5975,-16.61125,-9.08875,23,-54,-48,48.33333,True,234,3,37.24856633,-80.417476,12,0.79,,,,442764,978,143
9,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,2,none,0.5,3,rough,0.076,-0.076,1.65,"1.65,1.9,1.9,1.9",-0.14,-0.14,1784559616.559878,420860765000000,420860765000000,420861531000000,420861148000000,766.0,846.092,846.092,420861.531,420861.531,,420015.0435,True,10,0,0,0,False,0,1007,168,846092,846093,846092,-0.133645648,-0.133665435,44445,70330,11.45846,2.320474,-2.722198,-115.5664,141.2012,20.9082,947.8809,-1.16,1.57625,-0.65125,27,-57,-47,48.33333,True,240,3,37.24856617,-80.417477,12,0.79,,,,443424,979,144
