sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561692.9831102,422937187000000,422937187000000,422938421000000,422937804000000,1234.0,2923.086,2923.086,422938.421,422938.421,,420014.718,False,1,0,0,0,False,0,1007,1372,2923086,2923087,2923086,0,0,358603,576452,11.37693,-1.309943,-1.176381,-157.9832,15.22461,-23.52539,980.5957,-0.91,-1.61125,-0.33875,26,-9,-48,52.22222,True,249,3,37.24858083,-80.41750367,12,0.75,,,,1779866,4946,1243
1,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561694.722536,422938921000000,422938921000000,422939625000000,422939273000000,704.0,2924.276,2924.276,422939.625,422939.625,,420014.8575,False,2,0,0,0,False,0,1007,1373,2924276,2924277,2924276,0,0,358603,576452,11.37693,-0.985392,-1.25106,-158.0578,14.24805,-21.08398,982.0605,-0.0975,1.13875,-0.33875,28,-12,-49,52.22222,True,383,3,37.24858067,-80.41750283,12,0.75,,,,1780550,4948,1243
2,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561695.5812604,422939781000000,422939781000000,422940468000000,422940124500000,687.0,2925.129,2925.129,422940.468,422940.468,,420014.99549999996,False,3,0,0,0,False,0,1007,1374,2925129,2925130,2925129,0,0,358603,576452,11.37693,-1.071672,-1.038497,-158.1458,15.71289,-21.57227,981.084,0.1525,2.01375,0.09875,27,-11,-49,52.22222,True,65,3,37.24858067,-80.41750183,12,0.75,,,,1780976,4950,1244
3,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561696.429933,422940625000000,422940625000000,422941390000000,422941007500000,765.0,2925.956,2925.956,422941.39,422941.39,,420014.99624999997,False,4,0,0,0,False,0,1007,1375,2925956,2925957,2925956,0,0,358603,576452,11.37693,-1.15384,-0.119502,-158.1173,15.71289,-21.08398,980.1074,0.1525,16.51375,-0.58875,27,-10,-48,52.22222,True,52,3,37.248581,-80.4175005,12,0.75,,,,1781443,4952,1245
4,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561697.7986727,422942000000000,422942000000000,422942828000000,422942414000000,828.0,2927.348,2927.348,422942.828,422942.828,,420014.997,True,5,0,0,0,False,0,1007,1376,2927348,2927350,2927348,0,0,358603,576452,11.37693,-1.761449,-0.69746,-158.0374,17.17773,-20.10742,980.1074,0.2775,0.63875,-0.71375,26,-7,-50,52.22222,True,501,3,37.248581,-80.4174995,12,0.75,,,,1782228,4954,1245
5,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561698.67395,422942875000000,422942875000000,422943593000000,422943234000000,718.0,2928.208,2928.208,422943.593,422943.593,,420015.0115,True,6,0,0,0,False,0,1007,1377,2928208,2928210,2928208,0,0,358603,576452,11.37693,-1.214418,-1.207314,-157.7684,14.24805,-22.54883,979.1309,0.09,0.45125,0.09875,26,-10,-47,52.22222,True,80,3,37.24858133,-80.41749833,12,0.75,,,,1782641,4956,1246
6,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561699.7341242,422943937000000,422943937000000,422944703000000,422944320000000,766.0,2929.384,2929.384,422944.703,422944.703,,420014.997,True,7,0,0,0,False,0,1007,1378,2929384,2929385,2929384,-0.044495852,-0.111223185,358633,576555,11.37693,3.750182,-0.762646,-173.5134,-101.9629,-41.10352,1036.748,2.715,-4.04875,-14.27625,25,-15,-49,52.22222,True,369,3,37.24858133,-80.41749717,12,0.75,,,,1783242,4958,1247
7,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561700.7446444,422944953000000,422944953000000,422945640000000,422945296500000,687.0,2930.309,2930.309,422945.64,422945.64,,420014.99624999997,True,8,0,0,0,False,0,1007,1379,2930309,2930310,2930309,-0.137870548,-0.16104573,359263,577461,11.37693,7.047361,-0.953171,-167.6337,-55.57617,56.06445,836.5527,-1.66,-13.86125,-7.15125,20,-17,-47,52.22222,True,178,3,37.24858117,-80.41749617,12,0.75,,,,1783622,4960,1248
8,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561701.6227748,422945828000000,422945828000000,422946500000000,422946164000000,672.0,2931.167,2931.167,422946.5,422946.5,,420014.997,True,9,0,0,0,False,0,1007,1380,2931167,2931169,2931167,-0.137807411,-0.137954821,360077,578308,11.37693,2.6454,1.086422,-166.976,-25.30273,37.50977,940.5566,-4.9725,-12.92375,-5.65125,25,-9,-47,52.22222,True,66,3,37.2485815,-80.41749467,12,0.75,,,,1784048,4962,1249
9,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,5,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561702.622601,422946828000000,422946828000000,422947531000000,422947179500000,703.0,2932.163,2932.163,422947.531,422947.531,,420014.997,True,10,0,0,0,False,0,1007,1381,2932163,2932164,2932163,-0.128912802,-0.150098201,360995,579223,11.34493,0.455004,-5.725038,-167.5362,186.123,3.330078,740.3613,-4.41,-2.23625,-12.08875,23,-9,-49,52.22222,True,173,3,37.248582,-80.4174935,12,0.75,,,,1784603,4964,1250
