sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784156408.0218778,17658843000000,17658843000000,17659562000000,17659202500000,719.0,2830.928,2830.928,17659.562,17659.562,,14828.2745,False,1,0,0,0,False,0,1007,1285,2830928,2830929,2830928,0,0,349259,506579,11.68526,-0.425529,-0.113748,-123.2017,1.220703,-6.142578,981.0254,-0.08375,1.395,0.2225,12,-19,-41,47.22222,True,48,3,37.24887617,-80.41806533,10,1.23,,,,1683642,4977,951
1,True,,1784156409.1266754,17659953000000,17659953000000,17660687000000,17660320000000,734.0,2831.968,2831.968,17660.687,17660.687,,14828.31325,False,2,0,0,0,False,0,1007,1286,2831968,2831969,2831968,0,0,349259,506579,11.68526,-0.412038,0.026092,-123.4747,3.173828,-6.142578,980.5371,0.04125,0.4575,-0.09,12,-18,-43,47.22222,True,238,3,37.248876,-80.418066,9,1.33,,,,1684242,4979,952
2,True,,1784156410.3763866,17661203000000,17661203000000,17661921000000,17661562000000,718.0,2833.22,2833.22,17661.921,17661.921,,14828.342000000002,False,3,0,0,0,False,0,1007,1287,2833220,2833222,2833220,0,0,349259,506579,11.68526,-0.425303,-0.207968,-123.3902,3.662109,-7.607422,981.0254,0.10375,-1.5425,0.2225,12,-18,-41,47.22222,True,74,3,37.248876,-80.41806617,9,1.33,,,,1684982,4982,953
3,True,,1784156411.1314256,17661953000000,17661953000000,17662625000000,17662289000000,672.0,2833.989,2833.989,17662.625,17662.625,,14828.321000000002,False,4,0,0,0,False,0,1007,1288,2833989,2833990,2833989,0,0,349259,506579,11.6811,-0.461024,-0.200934,-123.4152,3.173828,-7.119141,979.0723,-0.14625,0.3325,-0.1525,12,-17,-41,47.22222,True,88,3,37.248876,-80.41806617,9,1.33,,,,1685313,4983,954
4,True,,1784156411.8556316,17662687000000,17662687000000,17663453000000,17663070000000,766.0,2834.714,2834.714,17663.453,17663.453,,14828.342000000002,True,5,0,0,0,False,0,1007,1289,2834714,2834716,2834714,0,0,349259,506579,11.6811,-0.340116,-0.200059,-123.2935,5.615234,-7.119141,980.0488,-0.20875,-0.73,0.0975,12,-19,-43,47.22222,True,79,3,37.24887617,-80.41806783,10,1.23,,,,1685669,4985,955
5,True,,1784156413.2985263,17664125000000,17664125000000,17664890000000,17664507500000,765.0,2836.143,2836.143,17664.89,17664.89,,14828.347000000002,True,6,0,0,0,False,0,1007,1290,2836143,2836145,2836143,0,0,349259,506579,11.6811,-0.594836,0.230953,-123.3186,5.615234,-6.142578,980.5371,-0.08375,2.0825,0.3475,12,-16,-40,47.22222,True,510,3,37.24887617,-80.418068,10,1.23,,,,1686583,4987,955
6,True,,1784156414.1209855,17664953000000,17664953000000,17665625000000,17665289000000,672.0,2836.992,2836.992,17665.625,17665.625,,14828.342000000002,True,7,0,0,0,False,0,1007,1291,2836992,2836993,2836992,0,-0.046360414,349259,506589,11.6811,-1.089341,-1.566219,-125.9693,22.2168,-26.16211,954.6582,1.16625,1.9575,-12.4025,15,-21,-40,47.22222,True,111,3,37.24887617,-80.41806817,10,1.23,,,,1686990,4989,955
7,True,,1784156415.057452,17665890000000,17665890000000,17666531000000,17666210500000,641.0,2837.904,2837.904,17666.531,17666.531,,14828.324250000001,True,8,0,0,0,False,0,1007,1292,2837904,2837905,2837904,-0.021497746,-0.085990984,349354,507132,11.6811,1.152202,-3.925122,-126.4161,35.40039,-55.45898,988.3496,1.72875,6.145,-14.7775,5,-21,-43,47.22222,True,243,3,37.24887633,-80.41806817,10,1.23,,,,1687463,4991,956
8,True,,1784156416.110807,17666937000000,17666937000000,17667656000000,17667296500000,719.0,2838.953,2838.953,17667.656,17667.656,,14828.342000000002,True,9,0,0,0,False,0,1007,1293,2838953,2838954,2838953,-0.064520894,-0.064631755,349683,507586,11.6811,2.557498,-2.362023,-121.8493,22.2168,-3.701172,945.8691,-0.14625,-5.355,-0.1525,4,-21,-42,47.22222,True,247,3,37.24887583,-80.41806633,10,1.23,,,,1688063,4993,957
9,True,,1784156417.1385217,17667968000000,17667968000000,17668625000000,17668296500000,657.0,2840.0,2840.0,17668.625,17668.625,,14828.324250000001,True,10,0,0,0,False,0,1007,1294,2840000,2840002,2840000,-0.107458024,-0.128949629,350108,508087,11.6811,3.334235,-5.475328,-117.7856,-20.26367,-2.724609,929.7559,-0.89625,-2.9175,3.3475,2,-29,-48,47.22222,True,245,3,37.248875,-80.4180655,10,1.23,,,,1688663,4995,958
10,True,,1784156418.1194477,17668953000000,17668953000000,17669703000000,17669328000000,750.0,2840.97,2840.97,17669.703,17669.703,,14828.342000000002,True,11,0,0,0,False,0,1007,1295,2840970,2840971,2840970,-0.107458024,-0.107458024,350886,508911,11.6811,0.331089,1.058726,-116.4668,0.244141,10.94727,1022.529,1.66625,5.9575,-6.965,9,-23,-52,47.22222,True,223,3,37.24887433,-80.41806483,10,1.23,,,,1689134,4997,959
11,True,,1784156419.1686676,17670000000000,17670000000000,17670828000000,17670414000000,828.0,2842.155,2842.155,17670.828,17670.828,,14828.324250000001,True,12,0,0,0,False,0,1007,1296,2842155,2842156,2842155,-0.058322235,-0.059382668,351490,509557,11.6811,1.22729,-2.975114,-113.2961,24.16992,8.994141,977.1191,-1.89625,-1.105,-1.715,4,-24,-61,47.22222,True,4,3,37.24887117,-80.41806267,10,1.23,,,,1689816,5000,960
12,True,,1784156420.1282675,17670953000000,17670953000000,17671656000000,17671304500000,703.0,2842.98,2842.98,17671.656,17671.656,,14828.324499999999,True,13,0,0,0,False,0,1007,1297,2842980,2842982,2842980,-0.107396663,-0.128784073,352049,510107,11.6811,1.733174,-7.242328,-108.0103,115.9668,56.8457,890.6934,-2.33375,1.8325,6.41,-6,-28,-62,47.22222,True,102,3,37.24887117,-80.41806267,10,1.23,,,,1690205,5001,961
13,True,,1784156421.1813397,17672015000000,17672015000000,17672968000000,17672491500000,953.0,2844.052,2844.052,17672.968,17672.984,,14828.33325,True,14,0,0,0,False,0,1007,1298,2844052,2844054,2844052,-0.103219267,-0.092833655,352972,511035,11.66885,0.765636,-6.675413,-101.0065,66.65039,25.10742,1084.541,-0.58375,0.7075,6.8475,-12,-27,-58,47.22222,True,269,3,37.24887017,-80.418063,10,1.23,,,,1690805,5003,962
14,True,,1784156422.1876938,17673015000000,17673015000000,17674000000000,17673507500000,985.0,2845.156,2845.156,17674.0,17674.0,,14828.342000000002,True,15,0,0,0,False,0,1007,1299,2845156,2845157,2845156,0,-0.03462271,353342,511467,11.66885,-1.262639,-6.249143,-85.81681,-19.28711,5.576172,987.8613,1.10375,0.52,-14.4025,-16,-28,-53,47.22222,True,3,3,37.2488705,-80.41806533,10,1.23,,,,1691224,5006,962
15,True,,1784156423.2244608,17674046000000,17674046000000,17674718000000,17674382000000,672.0,2846.073,2846.073,17674.718,17674.718,,14828.33325,True,16,0,0,0,False,0,1007,1300,2846073,2846074,2846073,0.021194918,-0.063548948,353308,511861,11.66885,-0.144889,-6.480168,-94.07577,-16.8457,7.041016,980.0488,-0.33375,-2.73,-25.215,-15,-36,-51,47.22222,True,191,3,37.2488705,-80.41806533,10,1.23,,,,1691618,5007,963
16,True,,1784156424.105377,17674937000000,17674937000000,17675640000000,17675288500000,703.0,2846.964,2846.964,17675.64,17675.64,,14828.324499999999,True,17,0,0,0,False,0,1007,1301,2846964,2846965,2846964,0.064484025,-0.064484025,353142,512099,11.66885,0.285162,-5.482292,-97.68076,3.662109,-1.748047,936.5918,0.04125,-1.355,-29.4025,-7,-47,-53,46.66667,True,88,3,37.24887333,-80.41806483,10,1.23,,,,1692089,5009,964
17,True,,1784156425.2865143,17676109000000,17676109000000,17676875000000,17676492000000,766.0,2848.132,2848.132,17676.875,17676.875,,14828.33325,True,18,0,0,0,False,0,1007,1302,2848132,2848134,2848132,0,0,352984,512308,11.66885,-0.023075,-3.442111,-95.28256,-0.244141,-10.53711,979.0723,-0.77125,-1.5425,-0.215,-2,-58,-55,47.22222,True,367,3,37.24887483,-80.41806217,10,1.23,,,,1692743,5011,965
