sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561884.9854388,423129187000000,423129187000000,423130515000000,423129851000000,1328.0,3115.12,3115.12,423130.515,423130.515,,420014.731,False,1,0,0,0,False,0,1007,1538,3115120,3115121,3115120,0,0,403724,649887,11.3693,-0.228732,-0.232381,-97.81078,4.970703,-4.970703,980.1074,-0.285,-0.67375,-0.46375,5,-45,-49,51.66667,True,268,3,37.24855983,-80.417516,12,0.76,,,,1893793,5330,1360
1,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561886.5259418,423130734000000,423130734000000,423131437000000,423131085500000,703.0,3116.071,3116.071,423131.437,423131.437,,420014.87275,False,2,0,0,0,False,0,1007,1539,3116071,3116072,3116071,0,0,403724,649887,11.37734,-0.305806,-0.170248,-96.97279,7.412109,-5.947266,980.1074,-0.66,2.07625,-0.52625,6,-45,-49,51.66667,True,138,3,37.24856,-80.4175155,12,0.76,,,,1894362,5332,1361
2,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561887.8479462,423132046000000,423132046000000,423132765000000,423132405500000,719.0,3117.387,3117.387,423132.765,423132.765,,420015.0145,False,3,0,0,0,False,0,1007,1540,3117387,3117388,3117387,0,0,403724,649887,11.37734,-0.271259,-0.045108,-98.19752,2.529297,-6.923828,979.1309,0.715,2.95125,-0.40125,7,-46,-49,51.66667,True,514,3,37.24856,-80.41751483,12,0.76,,,,1895112,5334,1361
3,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561888.6662529,423132875000000,423132875000000,423133515000000,423133195000000,640.0,3118.194,3118.194,423133.515,423133.515,,420015.00775,False,4,0,0,0,False,0,1007,1541,3118194,3118195,3118194,0,0,403724,649887,11.37734,-0.286142,-0.087575,-98.37884,4.482422,-5.947266,981.084,0.0275,1.01375,0.16125,6,-45,-51,51.66667,True,57,3,37.24856,-80.4175145,12,0.76,,,,1895500,5336,1362
4,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561889.6477108,423133843000000,423133843000000,423134609000000,423134226000000,766.0,3119.173,3119.173,423134.609,423134.609,,420015.0145,True,5,0,0,0,False,0,1007,1542,3119173,3119174,3119173,0,0,403724,649887,11.37734,-0.234162,-0.513001,-98.13808,4.482422,-5.947266,980.1074,-0.66,-0.98625,-0.52625,6,-44,-50,52.22222,True,177,3,37.24856017,-80.417514,12,0.87,,,,1896069,5338,1363
5,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561890.649687,423134843000000,423134843000000,423135531000000,423135187000000,688.0,3120.193,3120.193,423135.531,423135.531,,420015.00775,True,6,0,0,0,False,0,1007,1543,3120193,3120194,3120193,0,0,403724,649887,11.37734,-0.218507,-0.167973,-97.99134,5.947266,-5.458984,981.5723,-0.285,0.57625,-0.08875,6,-46,-51,51.66667,True,218,3,37.24856,-80.4175135,12,0.87,,,,1896638,5340,1364
6,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561891.7389228,423135937000000,423135937000000,423136656000000,423136296500000,719.0,3121.276,3121.276,423136.656,423136.656,,420015.0145,True,7,0,0,0,False,0,1007,1544,3121276,3121277,3121276,-0.021479333,-0.107335372,403731,649950,11.37734,0.902837,-6.572894,-110.0935,105.5566,-37.19727,987.9199,11.2775,2.13875,-26.83875,3,-47,-51,51.66667,True,282,3,37.24855983,-80.417513,12,0.87,,,,1897207,5342,1365
7,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561892.6003227,423136796000000,423136796000000,423137578000000,423137187000000,782.0,3122.151,3122.151,423137.578,423137.578,,420015.0165,True,8,0,0,0,False,0,1007,1545,3122151,3122152,3122151,-0.161887346,-0.208108887,404445,650933,11.37734,-0.848476,-1.633815,-112.9055,-21.88477,-144.6191,1141.729,-3.4725,-2.29875,-7.21375,15,-46,-49,51.66667,True,76,3,37.24855967,-80.41751283,12,0.87,,,,1897647,5344,1366
8,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561893.6056924,423137812000000,423137812000000,423138500000000,423138156000000,688.0,3123.137,3123.137,423138.5,423138.5,,420015.0185,True,9,0,0,0,False,0,1007,1546,3123137,3123138,3123137,-0.193452075,-0.21494675,405647,652233,11.37734,-1.360874,-2.886856,-111.8954,174.4043,14.07227,1061.65,0.715,9.38875,-11.08875,19,-58,-48,51.66667,True,187,3,37.24855933,-80.41751417,12,0.87,,,,1898216,5346,1367
9,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784561894.557631,423138765000000,423138765000000,423139406000000,423139085500000,641.0,3124.081,3124.081,423139.406,423139.406,,420015.0165,True,10,0,0,0,False,0,1007,1547,3124081,3124083,3124081,-0.193452075,-0.193452075,406852,653496,11.37734,-1.886959,-3.844436,-110.579,156.8262,-93.83789,970.8301,2.965,7.32625,-6.02625,15,-53,-50,51.66667,True,148,3,37.24855883,-80.41751583,12,0.87,,,,1898785,5348,1368
