sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784648996.4488914,510240656000000,510240656000000,510241515000000,510241085500000,859.0,1576.585,1576.585,510241.515,510241.515,,508664.50049999997,False,1,0,0,0,False,0,1007,812,1576585,1576586,1576585,0,0,256346,373052,11.14633,-0.079917,-0.829915,-152.8835,10.29297,-2.089844,980.7227,0.2025,-1.9775,0.27625,29,-15,-57,47.77778,True,210,3,37.24883667,-80.4180985,12,0.98,,,,818768,2694,371
1,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784648997.8790069,510242078000000,510242078000000,510242734000000,510242406000000,656.0,1577.806,1577.806,510242.734,510242.734,,508664.55025,False,2,0,0,0,False,0,1007,813,1577806,1577807,1577806,0,0,256346,373052,11.14633,-0.011358,-0.822969,-153.7398,11.75781,-2.578125,979.7461,-0.2975,-0.165,0.08875,31,-16,-58,48.33333,True,420,3,37.2488365,-80.4180995,12,0.98,,,,819408,2696,371
2,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784648998.6989555,510242906000000,510242906000000,510243609000000,510243257500000,703.0,1578.624,1578.624,510243.609,510243.609,,508664.60000000003,False,3,0,0,0,False,0,1007,814,1578624,1578625,1578624,0,0,256346,373052,11.14633,-0.201385,-0.216018,-153.8551,15.17578,-3.554688,981.2109,0.015,1.21,-0.09875,30,-15,-58,48.33333,True,72,3,37.2488355,-80.41810017,12,0.98,,,,819790,2698,372
3,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784648999.808901,510244015000000,510244015000000,510244750000000,510244382500000,735.0,1579.746,1579.746,510244.75,510244.75,,508664.61675000004,False,4,0,0,0,False,0,1007,815,1579746,1579747,1579746,0,0,256346,373052,11.18093,-0.118963,-0.024067,-153.6851,14.6875,-3.066406,980.2344,-0.235,16.2725,-0.22375,28,-14,-58,47.77778,True,303,3,37.24883533,-80.41810083,12,1,,,,820430,2700,372
4,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649000.7403765,510244937000000,510244937000000,510245656000000,510245296500000,719.0,1580.673,1580.673,510245.656,510245.656,,508664.6235,True,5,0,0,0,False,0,1007,816,1580673,1580674,1580673,0,0,256346,373052,11.18093,-0.3753,-0.471057,-153.8856,14.6875,-1.113281,979.7461,-0.0475,0.0225,-0.28625,30,-14,-58,47.77778,True,124,3,37.24883467,-80.41810083,11,1,,,,820939,2702,373
5,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649001.668406,510245875000000,510245875000000,510246578000000,510246226500000,703.0,1581.622,1581.622,510246.578,510246.578,,508664.614,True,6,0,0,0,False,0,1007,817,1581622,1581623,1581622,0,0,256346,373052,11.18093,-1.01957,-0.391396,-153.5849,12.73438,-2.089844,981.6992,-0.4225,0.21,-0.03625,31,-12,-58,48.33333,True,154,3,37.248835,-80.41810017,12,0.98,,,,821450,2704,374
6,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649002.7919614,510247000000000,510247000000000,510247718000000,510247359000000,718.0,1582.714,1582.714,510247.718,510247.718,,508664.6235,True,7,0,0,0,False,0,1007,818,1582714,1582716,1582714,0,-0.064484025,256346,373077,11.18093,-1.00352,-2.703294,-154.4507,96.71875,-40.17578,981.2109,2.39,1.085,-14.53625,29,-15,-57,47.77778,True,291,3,37.248834,-80.4180995,12,0.98,,,,822090,2706,374
7,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649003.7758567,510247984000000,510247984000000,510248718000000,510248351000000,734.0,1583.705,1583.705,510248.718,510248.718,,508664.6285,True,8,0,0,0,False,0,1007,819,1583705,1583706,1583705,-0.129004909,-0.150699539,256575,373850,11.18093,-1.441133,-2.392674,-165.6113,-71.25,-31.38672,1135.508,10.39,10.085,-7.91125,23,-2,-59,48.33333,True,189,3,37.24883333,-80.418098,12,0.98,,,,822601,2708,375
8,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649004.7142403,510248921000000,510248921000000,510249656000000,510249288500000,735.0,1584.637,1584.637,510249.656,510249.656,,508664.6335,True,9,0,0,0,False,0,1007,820,1584637,1584638,1584637,-0.1719574,-0.1719574,257543,374994,11.18093,-0.014789,-3.865016,-167.7785,38.125,32.08984,516.3672,-6.6725,4.21,-9.16125,17,-4,-58,48.33333,True,131,3,37.24882983,-80.41809267,11,1,,,,823110,2710,376
9,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,2,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649005.7903214,510249984000000,510249984000000,510250671000000,510250327500000,687.0,1585.715,1585.715,510250.671,510250.671,,508664.6285,True,10,0,0,0,False,0,1007,821,1585715,1585716,1585715,-0.193369203,-0.214456564,258879,376430,11.18093,-3.29049,-1.86001,-168.7347,75.23438,2.792969,749.7656,-8.7975,7.3975,1.71375,13,1,-57,48.88889,True,275,3,37.24883033,-80.418091,10,1.06,,,,823770,2712,376
