sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783955616.5399323,854874828000000,854874828000000,854875359000000,854875093500000,531.0,109.753,109.753,854875.359,854875.359,,854765.3404999999,False,1,0,False,0,1007,15,109753,109754,109753,0,0,2,2,12.20501,0.516813,0.280616,-118.7421,-7.304688,6.347656,979.3066,-0.22375,-1.195,0.11125,28,-50,-31,45,True,872,3,37.24888933,-80.41812283,9,1.6,,,,45734,36,4
1,True,,1783955618.0746381,854876359000000,854876359000000,854876875000000,854876617000000,516.0,111.269,111.269,854876.875,854876.875,,854765.34425,False,2,0,False,0,1007,16,111269,111271,111269,0,0,2,2,12.20501,0.507129,0.025909,-119.2153,-9.257813,7.324219,982.2363,-0.16125,-0.8825,-0.13875,29,-52,-33,45,True,388,3,37.24888933,-80.41812483,9,1.6,,,,46698,40,5
2,True,,1783955619.5955772,854877875000000,854877875000000,854878390000000,854878132500000,515.0,112.791,112.791,854878.39,854878.39,,854765.3415,False,3,0,False,0,1007,17,112791,112793,112791,0,0,2,2,12.21747,0.53497,0.688419,-118.8738,-14.14063,8.300781,977.8418,-0.16125,-0.195,-0.13875,29,-52,-32,45,True,24,3,37.2488905,-80.41812733,9,1.61,,,,47414,43,5
3,True,,1783955621.1139462,854879390000000,854879390000000,854879921000000,854879655500000,531.0,114.319,114.319,854879.921,854879.921,,854765.341,False,4,0,False,0,1007,18,114319,114320,114319,0,0,2,2,12.21747,0.591311,0.420616,-118.3506,-10.23438,5.859375,979.7949,-0.16125,-1.2575,-0.13875,27,-51,-32,45.55556,True,431,3,37.24889083,-80.41812717,9,1.61,,,,48367,46,7
4,True,,1783955622.6441221,854880921000000,854880921000000,854881437000000,854881179000000,516.0,115.845,115.845,854881.437,854881.437,,854765.3404999999,True,5,0,False,0,1007,19,115845,115847,115845,0,0,2,2,12.21747,0.516748,0.906691,-118.6129,-12.67578,7.8125,977.8418,0.27625,1.805,-0.13875,29,-53,-31,45,True,73,3,37.2488885,-80.418128,9,1.61,,,,49088,49,7
5,True,,1783955624.1708646,854882453000000,854882453000000,854882984000000,854882718500000,531.0,117.378,117.378,854882.984,854882.984,,854765.3404999999,True,6,0,False,0,1007,20,117378,117379,117378,0,0,2,2,12.21747,0.568101,-0.341305,-118.5861,29.31641,18.06641,977.8418,0.15125,-1.3825,0.79875,29,-51,-31,45.55556,True,492,3,37.24888783,-80.41812883,9,1.61,,,,50003,52,8
6,True,,1783955625.7085907,854884000000000,854884000000000,854884500000000,854884250000000,500.0,118.905,118.905,854884.5,854884.5,,854765.3404999999,True,7,0,False,0,1007,21,118905,118907,118905,0,0,2,2,12.21747,0.303339,1.097791,-118.7764,-17.55859,7.8125,980.7715,0.15125,0.6175,0.04875,29,-52,-32,45,True,24,3,37.24888767,-80.41813033,9,1.61,,,,50792,56,8
7,True,,1783955627.230124,854885515000000,854885515000000,854886031000000,854885773000000,516.0,120.43,120.43,854886.031,854886.031,,854765.341,True,8,0,False,0,1007,22,120430,120431,120430,0,0,2,2,12.21747,0.064879,0.490836,-118.9802,-11.69922,-16.11328,979.7949,0.27625,1.1175,-0.45125,29,-52,-31,46.11111,True,541,3,37.24888717,-80.41813167,9,1.61,,,,51641,58,8
8,True,,1783955628.7553916,854887046000000,854887046000000,854887578000000,854887312000000,532.0,121.966,121.966,854887.578,854887.578,,854765.3415,True,9,0,False,0,1007,23,121966,121967,121966,0,0,2,2,12.21747,0.488202,0.842136,-118.7925,-18.04688,8.789063,978.8184,-0.53625,-1.8825,0.42375,29,-52,-32,46.66667,True,79,3,37.248886,-80.41813333,8,1.63,,,,52482,62,8
9,True,,1783955630.2956862,854888578000000,854888578000000,854889125000000,854888851500000,547.0,123.524,123.524,854889.125,854889.125,,854765.341,True,10,0,False,0,1007,24,123524,123525,123524,0,0,2,2,12.21701,0.596093,0.406268,-118.7031,-9.257813,11.23047,980.7715,-0.09875,-1.07,-0.20125,28,-52,-31,45.55556,True,640,3,37.24888533,-80.41813383,8,1.63,,,,53404,64,8
