sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784157171.5159562,18422343000000,18422343000000,18423468000000,18422905500000,1125.0,3594.85,3594.85,18423.468,18423.468,,14828.0555,False,1,0,0,0,False,0,1007,1675,3594850,3594851,3594850,0,0,426631,660436,11.63289,-0.638451,0.687693,-108.6195,1.220703,-7.119141,982.4902,-0.14625,0.145,0.0975,9,-22,-37,48.33333,True,265,3,37.24887233,-80.41807883,10,1.31,,,,2169653,6498,1296
1,True,,1784157172.7004611,18423531000000,18423531000000,18424281000000,18423906000000,750.0,3595.548,3595.548,18424.281,18424.281,,14828.206750000001,False,2,0,0,0,False,0,1007,1676,3595548,3595550,3595548,0,0,426631,660436,11.63289,-0.341585,-0.191081,-107.9686,1.220703,-7.119141,984.4434,-0.39625,1.8325,0.2225,8,-25,-38,48.33333,True,44,3,37.2488715,-80.41808267,10,1.31,,,,2169985,6500,1297
2,True,,1784157174.0775514,18424906000000,18424906000000,18425625000000,18425265500000,719.0,3596.927,3596.927,18425.625,18425.625,,14828.338500000002,False,3,0,0,0,False,0,1007,1677,3596927,3596928,3596927,0,0,426631,660436,11.63289,-0.243391,-0.226339,-108.2349,2.685547,-9.072266,982.002,0.47875,1.27,-0.0275,7,-24,-37,47.77778,True,347,3,37.2488715,-80.41808567,10,1.31,,,,2170912,6502,1297
3,True,,1784157175.1040366,18425937000000,18425937000000,18426640000000,18426288500000,703.0,3597.95,3597.95,18426.64,18426.64,,14828.3385,False,4,0,0,0,False,0,1007,1678,3597950,3597951,3597950,0,0,426631,660436,11.63289,-0.501684,0.210051,-108.2989,0.732422,-8.095703,980.0488,0.10375,-0.855,0.2225,8,-22,-38,47.77778,True,222,3,37.24886783,-80.41808267,10,1.32,,,,2171477,6504,1298
4,True,,1784157176.1259367,18426953000000,18426953000000,18427656000000,18427304500000,703.0,3598.968,3598.968,18427.656,18427.656,,14828.338499999998,True,5,0,0,0,False,0,1007,1679,3598968,3598970,3598968,0,0,426631,660436,11.63289,-0.305485,-0.246159,-108.0246,1.708984,-6.630859,979.0723,-0.52125,0.145,0.2225,7,-23,-39,48.33333,True,216,3,37.24886517,-80.41808067,10,1.32,,,,2172042,6506,1299
5,True,,1784157177.1069787,18427937000000,18427937000000,18428609000000,18428273000000,672.0,3599.972,3599.972,18428.609,18428.609,,14828.337499999998,True,6,0,0,0,False,0,1007,1680,3599972,3599974,3599972,0,0,426631,660436,11.63289,-0.236092,-0.380161,-107.6899,1.708984,-8.583984,982.4902,-0.33375,0.52,0.035,7,-24,-37,48.33333,True,202,3,37.24886383,-80.41808333,10,1.32,,,,2172607,6508,1300
6,True,,1784157177.870263,18428703000000,18428703000000,18429359000000,18429031000000,656.0,3600.715,3600.715,18429.359,18429.359,,14828.336499999998,True,7,0,0,0,False,0,1007,1681,3600715,3600717,3600715,0,0,426632,660437,11.63714,-0.239258,-0.840874,-107.7565,45.6543,-3.701172,996.6504,0.22875,-1.7925,0.7225,7,-26,-37,48.33333,True,38,3,37.2488645,-80.418085,10,1.32,,,,2172970,6510,1301
7,True,,1784157179.0976796,18429921000000,18429921000000,18430640000000,18430280500000,719.0,3601.945,3601.945,18430.64,18430.64,,14828.336,True,8,0,0,0,False,0,1007,1682,3601945,3601946,3601945,-0.172080315,-0.172326672,427548,661376,11.63714,-1.173297,1.045675,-108.9958,0.732422,-24.20898,1081.123,9.22875,-8.605,0.2225,10,-26,-42,47.77778,True,356,3,37.24886517,-80.41808567,10,1.32,,,,2173737,6512,1301
8,True,,1784157180.1200714,18430953000000,18430953000000,18431671000000,18431312000000,718.0,3602.969,3602.969,18431.671,18431.671,,14828.336499999998,True,9,0,0,0,False,0,1007,1683,3602969,3602970,3602969,-0.193452075,-0.193452075,428738,662585,11.63714,1.242257,-0.784985,-107.4702,67.13867,87.60742,603.0957,-6.45875,8.02,1.8475,6,-23,-50,47.77778,True,222,3,37.24886483,-80.41808417,9,1.37,,,,2174302,6514,1302
9,True,,1784157181.09875,18431921000000,18431921000000,18432687000000,18432304000000,766.0,3603.945,3603.945,18432.687,18432.687,,14828.337499999998,True,10,0,0,0,False,0,1007,1684,3603945,3603946,3603945,-0.21494675,-0.193452075,430010,663868,11.63714,1.668439,-0.759971,-106.6227,157.959,64.16992,864.3262,-16.89625,17.145,4.285,5,-22,-55,48.33333,True,174,3,37.24886267,-80.41808767,9,1.37,,,,2174867,6516,1303
