sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784154339.7517965,15590578000000,15590578000000,15591140000000,15590859000000,562.0,762.585,762.585,15591.14,15591.14,,14828.274000000001,False,1,0,0,0,False,0,1007,240,762585,762586,762585,0,0,44366,62838,11.79289,0.123116,0.484848,-101.725,7.080078,2.646484,979.0723,-0.08375,-0.23,0.16,6,-27,-55,46.66667,True,97,3,37.2489295,-80.4180755,8,2.64,,,,353972,850,68
1,True,,1784154340.3413305,15591171000000,15591171000000,15591828000000,15591499500000,657.0,763.175,763.175,15591.828,15591.828,,14828.29925,False,2,0,0,0,False,0,1007,241,763175,763177,763175,0,0,44366,62838,11.79289,0.179037,-0.214232,-100.9446,10.98633,1.181641,981.0254,0.04125,0.9575,15.7225,6,-28,-55,47.22222,True,24,3,37.2489305,-80.41807733,8,2.64,,,,354259,851,68
2,True,,1784154341.0907586,15591921000000,15591921000000,15592515000000,15592218000000,594.0,763.934,763.934,15592.515,15592.515,,14828.284000000001,False,3,0,0,0,False,0,1007,242,763934,763936,763934,0,0,44366,62838,11.79289,0.186001,-0.444113,-100.98,6.591797,1.669922,979.5605,0.16625,0.27,0.035,4,-28,-55,46.66667,True,51,3,37.2489305,-80.41807733,8,2.64,,,,354598,852,69
3,True,,1784154342.0739512,15592906000000,15592906000000,15593546000000,15593226000000,640.0,764.904,764.904,15593.546,15593.546,,14828.303,False,4,0,0,0,False,0,1007,243,764904,764905,764904,0,0,44366,62838,11.79289,0.115033,-0.1178,-101.2719,7.080078,3.623047,982.002,-0.20875,0.145,-0.1525,5,-27,-56,46.66667,True,292,3,37.2489315,-80.41807933,8,2.64,,,,355283,854,69
4,True,,1784154343.1240664,15593953000000,15593953000000,15594562000000,15594257500000,609.0,765.95,765.95,15594.562,15594.562,,14828.307499999999,True,5,0,0,0,False,0,1007,244,765950,765951,765950,0,0,44366,62838,11.79289,0.075933,0.582379,-101.7677,7.080078,1.669922,982.002,-0.33375,-0.1675,-0.09,7,-27,-54,46.66667,True,246,3,37.248932,-80.41808,8,2.64,,,,355839,856,70
5,True,,1784154344.095236,15594921000000,15594921000000,15595687000000,15595304000000,766.0,766.934,766.934,15595.687,15595.687,,14828.31475,True,6,0,0,0,False,0,1007,245,766934,766935,766934,0,0,44366,62838,11.79289,0.212483,-0.351849,-101.8419,6.591797,0.693359,980.5371,-0.45875,0.4575,0.3475,5,-27,-56,46.66667,True,305,3,37.24893333,-80.418081,8,2.64,,,,356524,858,70
6,True,,1784154345.0700147,15595906000000,15595906000000,15596609000000,15596257500000,703.0,767.892,767.892,15596.609,15596.609,,14828.322,True,7,0,0,0,False,0,1007,246,767892,767893,767892,0,0,44366,62838,11.79289,0.098043,-0.393872,-101.9841,5.615234,1.669922,981.5137,-0.70875,-2.855,-0.0275,6,-28,-54,46.66667,True,157,3,37.2489345,-80.41808183,8,2.64,,,,357080,860,71
7,True,,1784154346.045934,15596875000000,15596875000000,15597531000000,15597203000000,656.0,768.867,768.867,15597.531,15597.531,,14828.323250000001,True,8,0,0,0,False,0,1007,247,768867,768869,768867,-0.021482399,-0.021439545,44370,62840,11.78501,0.022564,-2.017229,-101.7465,52.49023,-7.119141,980.0488,0.54125,-2.105,-3.84,4,-33,-53,46.66667,True,159,3,37.2489355,-80.41808367,8,2.64,,,,357636,862,72
8,True,,1784154346.7609892,15597593000000,15597593000000,15598250000000,15597921500000,657.0,769.589,769.589,15598.25,15598.25,,14828.3245,True,9,0,0,0,False,0,1007,248,769589,769591,769589,-0.107473375,-0.12896805,44787,63263,11.78501,-0.570866,-5.662302,-101.2018,124.2676,-42.27539,919.9902,0.29125,4.7075,-5.9025,-3,-28,-58,46.66667,True,44,3,37.24893567,-80.41808383,8,2.64,,,,357993,864,73
9,True,,1784154348.142912,15598968000000,15598968000000,15599687000000,15599327500000,719.0,770.962,770.962,15599.687,15599.687,,14828.3285,True,10,0,0,0,False,0,1007,249,770962,770963,770962,-0.150441233,-0.128857601,45901,64427,11.78501,-0.357087,-5.949785,-93.17484,98.87695,-65.71289,922.9199,1.54125,3.2075,0.41,-9,-24,-58,46.66667,True,376,3,37.248935,-80.41808267,8,2.64,,,,358879,866,73
