sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784156021.9866533,17272812000000,17272812000000,17273531000000,17273171500000,719.0,2444.902,2444.902,17273.531,17273.531,,14828.2695,False,1,0,0,0,False,0,1007,969,2444902,2444903,2444902,0,0,258836,367892,11.70105,-0.201801,-0.32338,-118.4379,8.544922,-8.583984,980.0488,-0.33375,0.645,0.41,10,-19,-42,47.22222,True,19,3,37.24888767,-80.41806467,11,1.26,,,,1454707,4205,673
1,True,,1784156023.0453799,17273875000000,17273875000000,17274656000000,17274265500000,781.0,2445.904,2445.904,17274.656,17274.656,,14828.3155,False,2,0,0,0,False,0,1007,970,2445904,2445905,2445904,0,0,258836,367892,11.6771,-0.390276,-0.066281,-118.6343,8.544922,-5.166016,978.584,0.10375,0.5825,-0.0275,11,-19,-44,47.22222,True,202,3,37.2488855,-80.41806633,11,1.16,,,,1455280,4207,674
2,True,,1784156024.0424716,17274875000000,17274875000000,17275562000000,17275218500000,687.0,2446.883,2446.883,17275.562,17275.562,,14828.3355,False,3,0,0,0,False,0,1007,971,2446883,2446884,2446883,0,0,258836,367892,11.6771,-0.467277,0.758152,-118.9041,9.521484,-5.654297,980.5371,0.10375,16.395,-0.1525,12,-19,-44,47.22222,True,179,3,37.24888683,-80.41806417,11,1.16,,,,1455853,4209,675
3,True,,1784156025.0052211,17275828000000,17275828000000,17276593000000,17276210500000,765.0,2447.857,2447.857,17276.593,17276.593,,14828.3445,False,4,0,0,0,False,0,1007,972,2447857,2447859,2447857,0,0,258836,367892,11.6771,-0.279728,-0.072617,-118.6753,5.126953,-4.677734,981.0254,-0.39625,0.0825,-0.1525,10,-18,-45,47.22222,True,178,3,37.24888533,-80.41806583,11,1.26,,,,1456426,4211,676
4,True,,1784156025.7959962,17276625000000,17276625000000,17277406000000,17277015500000,781.0,2448.661,2448.661,17277.406,17277.406,,14828.353500000001,True,5,0,0,0,False,0,1007,973,2448661,2448663,2448661,0,0,258836,367892,11.6771,-0.306273,-0.452582,-118.5866,9.033203,-6.630859,982.002,0.04125,-1.98,0.0975,11,-20,-43,47.22222,True,141,3,37.24888433,-80.41806667,11,1.16,,,,1456861,4213,677
5,True,,1784156027.0931528,17277921000000,17277921000000,17278640000000,17278280500000,719.0,2449.933,2449.933,17278.64,17278.64,,14828.3505,True,6,0,0,0,False,0,1007,974,2449933,2449934,2449933,0,0,258836,367892,11.6771,-0.199846,-0.443913,-118.7467,9.521484,-4.189453,978.0957,-0.02125,1.0825,0.2225,9,-18,-43,46.66667,True,336,3,37.248885,-80.41806533,11,1.16,,,,1457699,4215,677
6,True,,1784156028.0866497,17278921000000,17278921000000,17279656000000,17279288500000,735.0,2450.926,2450.926,17279.656,17279.656,,14828.353500000001,True,7,0,0,0,False,0,1007,975,2450926,2450927,2450926,0,-0.043081668,258836,367903,11.6771,-0.92589,-1.310697,-119.1312,75.92773,-50.08789,992.2559,-0.02125,-1.23,-3.9025,12,-21,-44,47.22222,True,191,3,37.24888483,-80.41806383,10,1.31,,,,1458268,4217,678
7,True,,1784156029.0678077,17279890000000,17279890000000,17280578000000,17280234000000,688.0,2451.912,2451.912,17280.578,17280.578,,14828.3505,True,8,0,0,0,False,0,1007,976,2451912,2451913,2451912,-0.0859787,-0.12896805,258968,368494,11.6771,1.746044,-3.531275,-121.0601,54.93164,46.5918,1074.775,-3.95875,-1.23,-12.7775,6,-22,-48,47.22222,True,184,3,37.248885,-80.4180625,10,1.19,,,,1458837,4219,679
8,True,,1784156030.3720348,17281203000000,17281203000000,17281906000000,17281554500000,703.0,2453.214,2453.214,17281.906,17281.906,,14828.3475,True,9,0,0,0,False,0,1007,977,2453214,2453216,2453214,-0.142156712,-0.161809625,259929,369662,11.6771,2.523023,-3.475279,-117.5075,-44.67773,92.49023,1099.678,-4.70875,-3.0425,1.8475,4,-26,-58,47.22222,True,69,3,37.24888467,-80.418065,10,1.2,,,,1459542,4222,680
9,True,,1784156031.1305482,17281953000000,17281953000000,17282625000000,17282289000000,672.0,2453.972,2453.972,17282.625,17282.625,,14828.344,True,10,0,0,0,False,0,1007,978,2453972,2453973,2453972,-0.129041788,-0.129152554,260608,370377,11.6771,0.973231,-4.193454,-109.0126,-120.3613,0.205078,769.5996,-1.83375,-11.23,0.9725,-5,-30,-61,47.22222,True,88,3,37.24888467,-80.418065,9,1.32,,,,1459852,4223,680
10,True,,1784156032.2051573,17283031000000,17283031000000,17283750000000,17283390500000,719.0,2455.061,2455.061,17283.75,17283.75,,14828.340499999998,True,11,0,0,0,False,0,1007,979,2455061,2455062,2455061,-0.137639328,-0.137765352,261622,371428,11.6771,-0.982597,-7.334424,-92.08904,19.28711,-128.7012,894.5996,0.79125,0.5825,4.4725,-15,-31,-59,47.22222,True,287,3,37.2488825,-80.41806533,10,1.21,,,,1460425,4225,681
11,True,,1784156033.0769436,17283906000000,17283906000000,17284781000000,17284343500000,875.0,2455.928,2455.928,17284.781,17284.781,,14828.344,True,12,0,0,0,False,0,1007,980,2455928,2455929,2455928,-0.126333102,-0.105484244,262456,372243,11.68897,0.63834,-4.031631,-90.47219,-45.6543,71.98242,957.0996,0.47875,12.02,-6.465,-11,-31,-53,47.22222,True,65,3,37.24888183,-80.418066,10,1.21,,,,1460871,4227,682
12,True,,1784156034.2037055,17285031000000,17285031000000,17285906000000,17285468500000,875.0,2457.077,2457.077,17285.906,17285.906,,14828.3475,True,13,0,0,0,False,0,1007,981,2457077,2457078,2457077,0,-0.046168372,262839,372627,11.68897,-1.38773,-5.390822,-80.64966,23.68164,-2.724609,975.166,-0.83375,-3.23,-13.7775,-16,-33,-49,47.22222,True,348,3,37.24887967,-80.41806583,11,1.21,,,,1461519,4229,683
13,True,,1784156035.129743,17285953000000,17285953000000,17286671000000,17286312000000,718.0,2457.999,2457.999,17286.671,17286.671,,14828.344,True,14,0,0,0,False,0,1007,982,2457999,2458000,2457999,0.046168372,-0.069252558,262822,373024,11.68897,-0.91682,-4.668888,-86.58016,-11.47461,-33.97461,997.627,2.10375,4.8325,-29.0275,-13,-36,-47,47.22222,True,122,3,37.24887583,-80.4180685,10,1.21,,,,1461961,4231,684
14,True,,1784156035.9259584,17286750000000,17286750000000,17287531000000,17287140500000,781.0,2458.889,2458.889,17287.531,17287.531,,14828.340499999998,True,15,0,0,0,False,0,1007,983,2458889,2458890,2458889,0.022406958,-0.022396952,262588,373434,11.68897,1.082053,-4.164353,-98.6964,22.70508,4.111328,975.6543,0.29125,1.5825,-14.7775,-2,-51,-51,47.22222,True,193,3,37.24887167,-80.41807367,10,1.21,,,,1462476,4233,685
15,True,,1784156037.1291437,17287953000000,17287953000000,17288671000000,17288312000000,718.0,2459.964,2459.964,17288.671,17288.671,,14828.344,True,16,0,0,0,False,0,1007,984,2459964,2459965,2459964,0,0,262582,373448,11.68897,-0.229141,-1.679591,-89.31972,-2.197266,-4.677734,980.0488,-0.64625,-1.98,0.3475,-5,-51,-51,47.22222,True,277,3,37.24887,-80.41807767,11,1.17,,,,1463051,4235,686
16,True,,1784156038.2559392,17289078000000,17289078000000,17289796000000,17289437000000,718.0,2461.096,2461.096,17289.796,17289.796,,14828.341000000002,True,17,0,0,0,False,0,1007,985,2461096,2461098,2461096,0,0,262582,373448,11.68897,-0.156931,-0.249222,-87.47225,-1.220703,-4.677734,978.584,0.10375,-0.1675,-0.09,-3,-53,-49,47.22222,True,330,3,37.24886917,-80.418082,11,1.17,,,,1463714,4237,687
17,True,,1784156039.0943627,17289921000000,17289921000000,17290593000000,17290257000000,672.0,2461.948,2461.948,17290.593,17290.593,,14828.34075,True,18,0,0,0,False,0,1007,986,2461948,2461949,2461948,0,-0.021494675,262582,373456,11.68897,-1.719668,-1.8015,-89.54001,46.63086,-37.39258,961.9824,0.91625,2.145,-13.965,-1,-59,-48,47.22222,True,69,3,37.2488685,-80.41808467,11,1.17,,,,1464139,4239,688
18,True,,1784156040.2006414,17291031000000,17291031000000,17291734000000,17291382500000,703.0,2463.042,2463.042,17291.734,17291.75,,14828.3405,True,19,0,0,0,False,0,1007,987,2463042,2463043,2463042,-0.083532394,-0.146120848,262744,374174,11.68897,0.414002,-1.780521,-98.56149,37.35352,-11.51367,976.1426,-2.77125,-4.605,-6.965,5,-67,-49,46.66667,True,291,3,37.248868,-80.41808767,11,1.17,,,,1464781,4241,689
19,True,,1784156041.0511646,17291875000000,17291875000000,17292562000000,17292218500000,687.0,2463.893,2463.893,17292.562,17292.562,,14828.340499999998,True,20,0,0,0,False,0,1007,988,2463893,2463895,2463893,-0.107534824,-0.129097147,263272,374885,11.68897,0.699017,-0.427507,-100.2623,-75.43945,-28.11523,989.3262,4.10375,-1.98,1.535,10,-63,-52,47.22222,True,51,3,37.248868,-80.4180885,11,1.17,,,,1465221,4243,690
20,True,,1784156042.139194,17292968000000,17292968000000,17293687000000,17293327500000,719.0,2464.989,2464.989,17293.687,17293.687,,14828.340499999998,True,21,0,0,0,False,0,1007,989,2464989,2464990,2464989,-0.150527237,-0.129245004,264214,375919,11.68897,-0.42747,1.229038,-102.7253,-51.51367,10.45898,773.0176,3.54125,-8.1675,-2.2775,15,-67,-53,47.22222,True,296,3,37.248869,-80.41808983,11,1.17,,,,1465861,4245,691
21,True,,1784156042.8942783,17293718000000,17293718000000,17294406000000,17294062000000,688.0,2465.747,2465.747,17294.406,17294.406,,14828.339499999998,True,22,0,0,0,False,0,1007,990,2465747,2465749,2465747,-0.143395381,-0.143375861,264889,376639,11.68897,-0.749145,-3.265615,-101.6669,114.0137,90.53711,1003.486,-2.27125,4.7075,-2.1525,10,-64,-58,47.22222,True,101,3,37.24886933,-80.41808467,11,1.17,,,,1466251,4247,692
22,True,,1784156044.1959958,17295031000000,17295031000000,17295687000000,17295359000000,656.0,2467.034,2467.034,17295.687,17295.687,,14828.3385,True,23,0,0,0,False,0,1007,991,2467034,2467035,2467034,-0.12896805,-0.150462725,266107,377844,11.6573,-1.593735,1.204333,-100.3629,39.30664,-100.8691,1203.193,5.54125,-4.4175,-1.4025,15,-69,-56,47.22222,True,416,3,37.24887183,-80.41808183,10,1.18,,,,1467001,4249,692
23,True,,1784156045.0456612,17295875000000,17295875000000,17296546000000,17296210500000,671.0,2467.885,2467.885,17296.546,17296.546,,14828.337,True,24,0,0,0,False,0,1007,992,2467885,2467886,2467885,-0.12896805,-0.129060236,266898,378599,11.6573,-0.32146,1.258338,-99.82111,-87.1582,-73.52539,1059.15,6.41625,1.02,-6.465,8,-56,-58,46.66667,True,50,3,37.248879,-80.41807533,10,1.18,,,,1467443,4251,693
24,True,,1784156046.0166562,17296843000000,17296843000000,17297578000000,17297210500000,735.0,2468.855,2468.855,17297.578,17297.578,,14828.3385,True,25,0,0,0,False,0,1007,993,2468855,2468856,2468855,-0.04298935,-0.021494675,267284,378959,11.6573,0.106521,1.3006,-98.82773,-23.19336,4.599609,968.8184,1.22875,2.395,2.8475,9,-55,-60,46.66667,True,172,3,37.24887933,-80.4180715,10,1.18,,,,1468014,4253,694
25,True,,1784156046.7967014,17297625000000,17297625000000,17298406000000,17298015500000,781.0,2469.667,2469.667,17298.406,17298.406,,14828.340499999998,True,25,0,0,0,False,0,1007,994,2469667,2469669,2469667,0,0,267317,378960,11.6573,-0.39974,0.197242,-100.0745,0.732422,-11.51367,977.6074,0.35375,1.895,0.16,10,-59,-59,46.66667,True,161,3,37.248878,-80.41806433,10,1.18,,,,1468454,4255,695
26,True,,1784156048.0856702,17298921000000,17298921000000,17299625000000,17299273000000,704.0,2470.927,2470.927,17299.625,17299.625,,14828.340499999998,True,25,0,0,0,False,0,1007,995,2470927,2470928,2470927,0,-0.04298935,267317,379118,11.6573,-0.389791,-0.166332,-104.7844,2.197266,-23.23242,1001.045,2.29125,3.145,-15.9025,12,-59,-58,46.66667,True,328,3,37.2488785,-80.4180625,10,1.28,,,,1469287,4257,695
27,True,,1784156049.0636215,17299890000000,17299890000000,17300656000000,17300273000000,766.0,2471.907,2471.907,17300.656,17300.656,,14828.3405,True,25,0,0,0,False,0,1007,996,2471907,2471908,2471907,0,-0.064484025,267284,379543,11.6573,0.151656,-1.85121,-110.1885,55.9082,7.529297,1044.014,1.04125,3.3325,-19.5275,17,-58,-58,47.22222,True,178,3,37.24888217,-80.418066,9,1.28,,,,1469856,4259,696
28,True,,1784156050.0439153,17300875000000,17300875000000,17301578000000,17301226500000,703.0,2472.891,2472.891,17301.578,17301.578,,14828.340499999998,True,25,0,0,0,False,0,1007,997,2472891,2472892,2472891,0,0,267285,379714,11.6573,-0.311538,-0.587419,-110.5943,2.197266,-8.583984,981.5137,0.29125,0.5825,0.16,21,-58,-60,47.22222,True,185,3,37.24888333,-80.4180695,9,1.28,,,,1470427,4261,697
29,True,,1784156051.0271316,17301859000000,17301859000000,17302609000000,17302234000000,750.0,2473.88,2473.88,17302.609,17302.609,,14828.340499999998,True,25,0,0,0,False,0,1007,998,2473880,2473881,2473880,0,0,267285,379714,11.6573,-0.488968,-0.333022,-110.4971,2.197266,-10.53711,980.0488,-0.45875,1.7075,-0.215,21,-57,-59,47.22222,True,190,3,37.2488885,-80.41807117,9,1.28,,,,1470998,4263,698
30,True,,1784156051.9716666,17302796000000,17302796000000,17303515000000,17303155500000,719.0,2474.823,2474.823,17303.515,17303.515,,14828.3385,True,25,0,0,0,False,0,1007,999,2474823,2474824,2474823,0,0,267285,379714,11.6573,-0.440715,-0.11352,-109.9139,1.220703,-10.53711,979.5605,0.16625,1.52,0.2225,20,-56,-59,46.66667,True,147,3,37.248889,-80.41807333,10,1.19,,,,1471571,4265,699
