sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784070692.830907,969951109000000,969951109000000,969951875000000,969951492000000,766.0,3316.06,3316.06,969951.875,969951.875,,966635.4319999999,False,1,0,0,0,False,0,1007,875,3316060,3316062,3316060,0,0,229359,289676,11.88081,7.820958,-0.269157,-136.3969,-86.42578,76.00586,1003.145,2.78125,-7.6425,-61.58375,11,-25,-31,48.33333,True,236,3,37.24882,-80.418103,5,2.72,,,,1563967,3310,314
1,True,,1784070694.089349,969952375000000,969952375000000,969953406000000,969952890500000,1031.0,3317.24,3317.24,969953.406,969953.406,,966635.54125,False,2,0,0,0,False,0,1007,876,3317240,3317241,3317240,0,0,229359,289676,11.88081,17.3377,-1.773956,-168.7469,-85.9375,74.54102,1004.121,2.96875,-7.5175,-62.08375,8,-25,-32,48.88889,True,377,3,37.24880783,-80.41811783,5,2.72,,,,1564625,3312,314
2,True,,1784070695.1631422,969953437000000,969953453000000,969954109000000,969953781000000,656.0,3318.308,3318.308,969954.109,969954.109,,966635.473,False,3,0,0,0,False,0,1007,877,3318308,3318309,3318308,0,0,229359,289676,11.88501,27.02369,8.13473,119.0058,-85.9375,75.0293,1001.68,2.46875,-7.5175,-62.08375,10,-26,-31,48.88889,True,327,3,37.24881217,-80.41810717,5,2.72,,,,1565025,3314,315
3,True,,1784070696.0349295,969954312000000,969954312000000,969955250000000,969954781000000,938.0,3319.168,3319.168,969955.25,969955.25,,966635.5430000001,False,4,0,0,0,False,0,1007,878,3319168,3319169,3319168,0,0,229359,289676,11.88501,26.12122,12.07884,90.06582,-86.91406,78.44727,1000.215,2.53125,-8.3925,-61.52125,12,-24,-31,48.88889,True,94,3,37.2488015,-80.41810033,4,3.84,,,,1565423,3316,316
4,True,,1784070697.0331464,969955312000000,969955312000000,969956281000000,969955796500000,969.0,3320.16,3320.16,969956.281,969956.281,,966635.613,True,5,0,0,0,False,0,1007,879,3320160,3320161,3320160,0,0,229359,289676,11.88501,25.11057,15.2241,59.03711,-87.40234,75.51758,1003.145,2.15625,-7.0175,-61.39625,11,-25,-30,48.33333,True,190,3,37.24881417,-80.41809117,5,2.72,,,,1565963,3318,317
5,True,,1784070698.0613983,969956343000000,969956343000000,969957281000000,969956812000000,938.0,3321.217,3321.217,969957.281,969957.296,,966635.604,True,6,0,0,0,False,0,1007,880,3321217,3321218,3321217,0,0,229359,289676,11.88501,17.44242,21.50747,-14.56801,-84.47266,74.05273,1002.656,2.34375,-9.08,-61.58375,11,-25,-31,48.88889,True,255,3,37.248817,-80.41810117,6,2.72,,,,1566505,3320,318
6,True,,1784070699.0762706,969957359000000,969957359000000,969958312000000,969957835500000,953.0,3322.241,3322.241,969958.312,969958.312,,966635.5950000001,True,7,0,0,0,False,0,1007,881,3322241,3322242,3322241,0,0,229361,289676,11.88501,4.016777,11.75057,-82.7975,-99.60938,74.54102,994.3555,2.53125,-5.33,-61.64625,7,-25,-34,48.88889,True,222,3,37.248822,-80.41809983,5,2.73,,,,1567043,3322,319
7,True,,1784070700.0821173,969958359000000,969958359000000,969959125000000,969958742000000,766.0,3323.214,3323.214,969959.125,969959.125,,966635.59475,True,8,0,0,0,False,0,1007,882,3323214,3323215,3323214,-0.150462725,-0.12896805,230017,290327,11.88501,12.70907,-6.448168,-146.9541,-130.3711,67.2168,1097.871,-0.78125,13.1075,-63.58375,3,-33,-41,48.88889,True,239,3,37.248824,-80.41810633,5,2.73,,,,1567454,3324,320
8,True,,1784070700.9732928,969959250000000,969959250000000,969960156000000,969959703000000,906.0,3324.136,3324.136,969960.156,969960.156,,966635.5945,True,9,0,0,0,False,0,1007,883,3324136,3324138,3324136,-0.150462725,-0.12896805,230859,291193,11.88501,14.94958,2.1903,178.6089,-143.5547,163.4082,1064.18,3.40625,-15.5175,-61.33375,10,-19,-42,48.88889,True,1162,3,37.248824,-80.41810633,4,30.28,,,,1567901,3324,321
9,True,,1784070701.963035,969960250000000,969960250000000,969961187000000,969960718500000,937.0,3325.115,3325.115,969961.187,969961.187,,966635.59475,True,10,0,0,0,False,0,1007,884,3325115,3325116,3325115,-0.126616599,-0.147657238,231761,292093,11.88501,17.97829,2.773694,158.3156,-150.8789,48.66211,827.8516,-0.34375,-10.705,-71.70876,11,-27,-48,48.88889,True,179,3,37.2487985,-80.41811783,5,2.73,,,,1568445,3326,322
