sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_rx_ns,http_latency_ms,T,millis,L,R,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,False,"HTTPConnectionPool(host='192.168.4.1', port=80): Max retries exceeded with url: /js?cmd=%7B%22T%22%3A147%7D (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D1F6F63CB0>: Failed to establish a new connection: [WinError 10051] A socket operation was attempted to an unreachable network'))",1783526083.025402,425345765000000,425345781000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,False,"HTTPConnectionPool(host='192.168.4.1', port=80): Max retries exceeded with url: /js?cmd=%7B%22T%22%3A147%7D (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D1F70AE240>: Failed to establish a new connection: [WinError 10051] A socket operation was attempted to an unreachable network'))",1783526084.041911,425346781000000,425346796000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,False,"HTTPConnectionPool(host='192.168.4.1', port=80): Max retries exceeded with url: /js?cmd=%7B%22T%22%3A147%7D (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D1F704AC00>: Failed to establish a new connection: [WinError 10051] A socket operation was attempted to an unreachable network'))",1783526085.0596926,425347812000000,425347828000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,1783526086.116483,425348859000000,425349265000000,406.0,1007,216311,0,0,12.37689,0.037548,-0.059405,-130.0572,2.158203,-1.396484,977.8711,0.035,-0.4175,-0.5075,30,-37,-43,48.88889,True,65,37.24893567,-80.41813133,7,2.01,671.2,0.072022222,0,133368,331,0
4,True,,1783526087.5467756,425350296000000,425350687000000,391.0,1007,217732,0,0,12.37689,0.046447,-0.784847,-130.5031,0.205078,-4.326172,978.8477,0.41,-14.48,-0.0075,30,-37,-44,48.88889,True,368,37.24893617,-80.41813117,7,2.01,671.3,0.123466666,0,134454,334,0
5,True,,1783526089.003359,425351750000000,425352156000000,406.0,1007,219200,0,0,12.37689,-0.144899,0.09885,-130.1851,-3.701172,-1.396484,981.2891,0.41,-0.98,-0.445,31,-37,-44,48.88889,True,837,37.24893617,-80.418131,7,2.01,671.6,0.08231111,0,135313,336,0
6,True,,1783526090.411564,425353156000000,425353562000000,406.0,1007,220611,0,0,12.3811,-0.193235,-0.70826,-130.8428,2.158203,-10.67383,976.8945,-0.34,-15.5425,-0.195,32,-36,-43,48.88889,True,248,37.2489405,-80.41813217,7,2.01,671.5,0.077166666,0,136392,340,0
7,True,,1783526091.8189936,425354562000000,425354953000000,391.0,1007,222005,0,0,12.3811,-0.089181,0.320555,-130.5933,1.181641,-0.419922,978.3594,-0.4025,-0.105,-0.32,33,-36,-44,48.88889,True,641,37.248943,-80.41813183,7,2.01,671.9,0.180055554,0,137343,342,0
8,True,,1783526093.2161117,425355968000000,425356375000000,407.0,1007,223416,0,0,12.3811,0.157888,-0.42335,-130.8093,5.087891,1.044922,983.2422,-0.34,0.27,-0.1325,31,-37,-43,48.33333,True,51,37.24893367,-80.41812933,7,2.01,671.8,0.236644442,0,138254,346,0
9,True,,1783526094.628958,425357375000000,425357796000000,421.0,1007,224837,0,0,12.3811,-0.031646,-0.10154,-130.7804,-0.771484,0.556641,980.3125,-0.1525,0.395,-0.195,31,-35,-43,48.88889,True,353,37.24892417,-80.4181265,7,2.01,672,0.607044439,0,139348,348,0
