sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783617123.9340749,516386687000000,516386687000000,516387203000000,516386945000000,516.0,107.936,107.936,516387.203,516387.203,,516279.009,False,1,0,False,0,1007,0,107936,107937,107936,0,0,1,0,0.61998,-0.220383,-0.037969,-124.0011,-4.804688,8.525391,992.9004,-0.09,0.085,0.22875,29,-42,-49,45.55556,False,4294967295,0,,,0,99.99,,,,7964,0,0
1,True,,1783617125.507118,516388250000000,516388250000000,516388781000000,516388515500000,531.0,109.528,109.528,516388.781,516388.781,,516278.99825,False,2,0,False,0,1007,1,109528,109529,109528,0,0,1,0,0.61998,0.159186,-0.306371,-123.5279,10.33203,-6.611328,982.1582,-0.4025,0.585,0.16625,28,-43,-47,46.11111,False,4294967295,0,,,0,99.99,,,,8480,0,0
2,True,,1783617127.0447042,516389796000000,516389796000000,516390296000000,516390046000000,500.0,111.046,111.046,516390.296,516390.296,,516279.0,False,3,0,False,0,1007,2,111046,111047,111046,0,0,1,0,0.61998,0.024466,-0.081619,-124.2189,1.542969,-3.193359,980.6934,0.035,-0.165,-0.02125,29,-43,-48,46.11111,False,4294967295,0,,,0,99.99,,,,8738,0,0
3,True,,1783617128.561778,516391312000000,516391312000000,516391812000000,516391562000000,500.0,112.562,112.562,516391.812,516391.812,,516279.0,False,4,0,False,0,1007,3,112562,112563,112562,0,0,1,0,0.61998,0.014613,0.147406,-123.2265,0.566406,-0.263672,980.6934,-0.215,0.085,0.04125,30,-44,-49,46.11111,False,4294967295,0,,,0,99.99,,,,9254,0,0
4,True,,1783617130.0792813,516392828000000,516392828000000,516393343000000,516393085500000,515.0,114.083,114.083,516393.343,516393.343,,516279.0,True,5,0,False,0,1007,4,114083,114084,114083,0,0,1,0,0.61998,0.104861,-0.034512,-123.0456,-0.410156,-0.751953,979.7168,0.035,-0.3525,-0.08375,28,-43,-49,46.11111,False,4294967295,0,,,0,99.99,,,,9512,0,0
5,True,,1783617131.6029623,516394343000000,516394343000000,516394859000000,516394601000000,516.0,115.604,115.604,516394.859,516394.859,,516279.0,True,6,0,False,0,1007,5,115604,115605,115604,0,0,1,0,0.61998,0.07668,-0.049576,-122.9516,-0.410156,-1.240234,979.7168,0.035,-0.165,-0.08375,27,-43,-48,45.55556,False,4294967295,0,,,0,99.99,,,,10028,0,0
6,True,,1783617133.1218889,516395875000000,516395875000000,516396390000000,516396132500000,515.0,117.126,117.126,516396.39,516396.39,,516279.0,True,7,0,False,0,1007,6,117126,117128,117126,0,0,1,0,0.61998,0.099578,0.108334,-123.2462,1.542969,1.201172,982.6465,0.035,-0.1025,-0.20875,28,-43,-48,46.11111,False,4294967295,0,,,0,99.99,,,,10329,0,0
7,True,,1783617134.6550984,516397406000000,516397406000000,516397921000000,516397663500000,515.0,118.66,118.66,516397.921,516397.921,,516279.00125,True,8,0,False,0,1007,7,118660,118661,118660,0,0,1,0,0.61998,0.022734,0.107926,-123.4005,-0.410156,-1.728516,982.1582,0.16,-0.04,-0.14625,28,-42,-49,46.11111,False,4294967295,0,,,0,99.99,,,,10808,0,0
8,True,,1783617136.1853957,516398937000000,516398937000000,516399453000000,516399195000000,516.0,120.186,120.186,516399.453,516399.453,,516279.0025,True,9,0,False,0,1007,8,120186,120188,120186,0,0,1,0,0.61611,0.012611,0.101076,-123.4842,-0.410156,-2.705078,980.6934,-0.09,-0.1025,0.10375,28,-43,-49,46.11111,False,4294967295,0,,,0,99.99,,,,11162,0,0
9,True,,1783617137.703195,516400453000000,516400453000000,516401000000000,516400726500000,547.0,121.733,121.733,516401.0,516401.0,,516279.00125,True,10,0,False,0,1007,9,121733,121734,121733,0,0,1,0,0.61611,-0.958218,-0.208332,-123.4127,14.23828,-10.51758,976.7871,-0.0275,-0.04,0.04125,28,-41,-48,46.11111,False,4294967295,0,,,0,99.99,,,,11600,0,0
10,True,,1783617139.2615113,516402000000000,516402000000000,516402562000000,516402281000000,562.0,123.314,123.314,516402.562,516402.562,,516279.0,True,11,0,False,0,1007,10,123314,123316,123314,0,0,1,0,0.61611,0.067854,0.210584,-122.0562,2.03125,-0.263672,978.7402,-0.34,0.2725,-0.20875,28,-44,-49,46.11111,False,4294967295,0,,,0,99.99,,,,12077,0,0
11,True,,1783617140.830937,516403578000000,516403578000000,516404093000000,516403835500000,515.0,124.83,124.83,516404.093,516404.093,,516279.00125,True,12,0,False,0,1007,11,124830,124831,124830,0,0,1,0,0.61611,0.016438,0.110131,-122.4888,0.078125,0.712891,978.7402,0.66,-0.1025,-0.27125,28,-45,-49,46.11111,False,4294967295,0,,,0,99.99,,,,12392,0,0
12,True,,1783617142.3479722,516405093000000,516405093000000,516405609000000,516405351000000,516.0,126.359,126.359,516405.609,516405.609,,516279.0,True,13,0,False,0,1007,12,126359,126360,126359,0,0,1,0,0.61611,0.127101,-0.086867,-122.3424,0.078125,-0.263672,977.7637,-0.215,-0.04,-0.20875,28,-45,-49,46.11111,False,4294967295,0,,,0,99.99,,,,12913,0,0
