outer_sequence,sequence,service,ideal_qualified,degraded_qualified,practical_qualified,classification,practical_restores,observability,degraded_delivery_status,ideal_delivery_status,practical_intervention_status,degraded_failure_component,ideal_failure_component,practical_failure_component,degraded_coverage,degraded_physical_satisfaction,degraded_freshness_satisfaction,degraded_joint_satisfaction,degraded_mean_position_discrepancy_m,degraded_p95_position_discrepancy_m,degraded_mean_heading_discrepancy_deg,degraded_p95_heading_discrepancy_deg,ideal_coverage,ideal_physical_satisfaction,ideal_freshness_satisfaction,ideal_joint_satisfaction,ideal_mean_position_discrepancy_m,ideal_p95_position_discrepancy_m,ideal_mean_heading_discrepancy_deg,ideal_p95_heading_discrepancy_deg,practical_coverage,practical_physical_satisfaction,practical_freshness_satisfaction,practical_joint_satisfaction,practical_mean_position_discrepancy_m,practical_p95_position_discrepancy_m,practical_mean_heading_discrepancy_deg,practical_p95_heading_discrepancy_deg,held_minus_ideal_mean_position_m,held_minus_ideal_mean_heading_deg
ordinary_loso,building00,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.1649728129359182,1.0,0.1649728129359182,1.8306572579682436,4.163077759395894,2.1822685414212617,7.918202846549761,1.0,0.0435562387906738,1.0,0.0435562387906738,1.7836105890770424,3.7331361910929033,1.1848998473792618,4.6758263551290655,1.0,0.0521820821590229,1.0,0.0521820821590229,1.787737137156007,3.8595699986991328,1.4356676423583934,4.858388713578101,0.04704666889120124,0.9973686940419999
ordinary_loso,building00,local_10s,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.5455824503976799,1.0,0.5455824503976799,0.7000294581015144,2.4216021920068496,2.9930900799311253,10.089105123567096,1.0,0.7487294340597811,1.0,0.7487294340597811,0.4723724983993508,1.9262778202556357,1.1952623516992276,4.85632138667556,1.0,0.7018692393832371,1.0,0.7018692393832371,0.5284384708913873,2.041092628989486,1.6538105170711344,5.452113839508789,0.2276569597021636,1.7978277282318977
ordinary_loso,building00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.655127218850614,1.0,0.655127218850614,0.0776477173212521,0.1765616969382258,1.689144224353279,6.435676061830925,1.0,0.9374875345471124,1.0,0.9374875345471124,0.0525999857289688,0.115870191265037,0.2925027023295913,0.9570912022499968,1.0,0.8441747157876742,1.0,0.8441747157876742,0.0585652159404362,0.1265301359873832,0.7854403771324109,3.1506450728243425,0.025047731592283302,1.3966415220236876
ordinary_loso,building00,local_5s,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.5082196872230322,1.0,0.5082196872230322,0.351416430173638,1.2892527413436197,2.58868209741043,9.173174618054782,1.0,0.7623009406181205,1.0,0.7623009406181205,0.24221811026066,1.1571257033992024,0.8900935260126669,3.854562819237085,1.0,0.6895102495925894,1.0,0.6895102495925894,0.2694330886559035,1.191084439813869,1.349167165149871,4.651034888131818,0.10919831991297799,1.6985885713977629
ordinary_loso,building01,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.1179077352055169,1.0,0.1179077352055169,2.5194434321103123,6.247908245007284,3.214478719461088,11.818609655971777,1.0,0.0238504244778051,1.0,0.0238504244778051,2.5079082558375347,6.635080541805766,2.154130779868197,11.338557376684385,1.0,0.0654766350486718,1.0,0.0654766350486718,2.5031203389300285,6.473937549655434,2.416302260458337,10.75107798801774,0.011535176272777559,1.0603479395928912
ordinary_loso,building01,local_10s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.5527629367647428,1.0,0.5527629367647428,0.8312444482833895,3.2953899167707763,3.4776721539502424,11.281430059732878,1.0,0.8268241904331903,1.0,0.8268241904331903,0.5393380017203365,3.1661612502823995,1.1577546489921906,5.957871396432002,1.0,0.7645922692954072,1.0,0.7645922692954072,0.6157614590433873,3.1829165543710105,1.8166728645855583,6.479406977451567,0.291906446563053,2.3199175049580516
ordinary_loso,building01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6227919376136731,1.0,0.6227919376136731,0.0900852670419314,0.1736648433961897,1.8457323873128584,6.988457735625207,1.0,0.9419239106061738,1.0,0.9419239106061738,0.0621411442234113,0.1160795722999311,0.2556545069796883,0.7797074914466258,1.0,0.8442584149288687,1.0,0.8442584149288687,0.0685643777188811,0.1198638363617609,0.8153589152766244,3.089637760070808,0.0279441228185201,1.59007788033317
ordinary_loso,building01,local_5s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.517804932903516,1.0,0.517804932903516,0.4142191433832513,1.4265317275256022,3.010921360461959,10.440710133595044,1.0,0.8229502461453881,1.0,0.8229502461453881,0.2768090098987445,1.2432703756782828,0.7680118111862405,3.271331824869323,1.0,0.7434340405327736,1.0,0.7434340405327736,0.3119587883166994,1.2717848632090871,1.4223963767505785,5.048580825322714,0.13741013348450676,2.2429095492757187
ordinary_loso,building02,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.641088302378625,1.0,0.641088302378625,3.7901741139436975,23.78835107397913,2.3583114197518884,10.002435797987848,1.0,0.7556026211940191,1.0,0.7556026211940191,3.5485307436771056,24.18028095195445,1.6333616970954192,6.946425895473477,1.0,0.7581912313095108,1.0,0.7581912313095108,3.5950376876928583,24.000455457813462,1.8482773258178256,7.745026134758571,0.24164337026659188,0.7249497226564692
ordinary_loso,building02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6981544173856067,1.0,0.6981544173856067,0.6222729409361976,1.7868204923160242,2.054315216689506,7.809437480845049,1.0,0.9006952786574933,1.0,0.9006952786574933,0.3962114464016519,0.9739371404740176,0.6377974732853969,2.5318974080718646,1.0,0.8519347675730771,1.0,0.8519347675730771,0.4564220585360405,1.1492161104069103,1.080813952107322,4.198563158686832,0.22606149453454566,1.4165177434041087
