dataset,domain,subsystem,horizon_s,normalized_tolerance,n_contract_units,n_components,service_validity,median_normalized_p95_error
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,60,0.01,144,3,0.0,0.17909356159229145
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,60,0.02,144,3,0.0,0.17909356159229145
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,60,0.05,144,3,0.2569444444444444,0.17909356159229145
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,60,0.1,144,3,0.3888888888888889,0.17909356159229145
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,60,0.2,144,3,0.5833333333333334,0.17909356159229145
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,60,0.5,144,3,0.8333333333333334,0.17909356159229145
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,300,0.01,33,3,0.0,0.18430156058785335
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,300,0.02,33,3,0.0,0.18430156058785335
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,300,0.05,33,3,0.24242424242424243,0.18430156058785335
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,300,0.1,33,3,0.30303030303030304,0.18430156058785335
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,300,0.2,33,3,0.5454545454545454,0.18430156058785335
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,300,0.5,33,3,0.7878787878787878,0.18430156058785335
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,600,0.01,18,3,0.0,0.23089947512746867
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,600,0.02,18,3,0.0,0.23089947512746867
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,600,0.05,18,3,0.2222222222222222,0.23089947512746867
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,600,0.1,18,3,0.2222222222222222,0.23089947512746867
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,600,0.2,18,3,0.4444444444444444,0.23089947512746867
FreeTwinEV_1S4P,battery_electrothermal,ID22_3D_CFD_validation,600,0.5,18,3,0.7222222222222222,0.23089947512746867
MAGNET,thermal_heat_pipe,10_thermowell_forecast,60,0.01,230,10,0.8565217391304348,0.0014319247574380856
MAGNET,thermal_heat_pipe,10_thermowell_forecast,60,0.02,230,10,0.9130434782608695,0.0014319247574380856
MAGNET,thermal_heat_pipe,10_thermowell_forecast,60,0.05,230,10,0.9434782608695652,0.0014319247574380856
MAGNET,thermal_heat_pipe,10_thermowell_forecast,60,0.1,230,10,0.9652173913043478,0.0014319247574380856
MAGNET,thermal_heat_pipe,10_thermowell_forecast,60,0.2,230,10,0.9782608695652174,0.0014319247574380856
MAGNET,thermal_heat_pipe,10_thermowell_forecast,60,0.5,230,10,1.0,0.0014319247574380856
MAGNET,thermal_heat_pipe,10_thermowell_forecast,300,0.01,230,10,0.5217391304347826,0.008852877546501076
MAGNET,thermal_heat_pipe,10_thermowell_forecast,300,0.02,230,10,0.6826086956521739,0.008852877546501076
