dataset,domain,horizon_s,normalized_tolerance,service_validity,n_subsystems,n_contract_units,n_components
FreeTwinEV_1S4P,battery_electrothermal,60,0.01,0.0,1,144,3
FreeTwinEV_1S4P,battery_electrothermal,60,0.02,0.0,1,144,3
FreeTwinEV_1S4P,battery_electrothermal,60,0.05,0.2569444444444444,1,144,3
FreeTwinEV_1S4P,battery_electrothermal,60,0.1,0.3888888888888889,1,144,3
FreeTwinEV_1S4P,battery_electrothermal,60,0.2,0.5833333333333334,1,144,3
FreeTwinEV_1S4P,battery_electrothermal,60,0.5,0.8333333333333334,1,144,3
FreeTwinEV_1S4P,battery_electrothermal,300,0.01,0.0,1,33,3
FreeTwinEV_1S4P,battery_electrothermal,300,0.02,0.0,1,33,3
FreeTwinEV_1S4P,battery_electrothermal,300,0.05,0.24242424242424243,1,33,3
FreeTwinEV_1S4P,battery_electrothermal,300,0.1,0.30303030303030304,1,33,3
FreeTwinEV_1S4P,battery_electrothermal,300,0.2,0.5454545454545454,1,33,3
FreeTwinEV_1S4P,battery_electrothermal,300,0.5,0.7878787878787878,1,33,3
FreeTwinEV_1S4P,battery_electrothermal,600,0.01,0.0,1,18,3
FreeTwinEV_1S4P,battery_electrothermal,600,0.02,0.0,1,18,3
FreeTwinEV_1S4P,battery_electrothermal,600,0.05,0.2222222222222222,1,18,3
FreeTwinEV_1S4P,battery_electrothermal,600,0.1,0.2222222222222222,1,18,3
FreeTwinEV_1S4P,battery_electrothermal,600,0.2,0.4444444444444444,1,18,3
FreeTwinEV_1S4P,battery_electrothermal,600,0.5,0.7222222222222222,1,18,3
MAGNET,thermal_heat_pipe,60,0.01,0.8565217391304348,1,230,10
MAGNET,thermal_heat_pipe,60,0.02,0.9130434782608695,1,230,10
MAGNET,thermal_heat_pipe,60,0.05,0.9434782608695652,1,230,10
MAGNET,thermal_heat_pipe,60,0.1,0.9652173913043478,1,230,10
MAGNET,thermal_heat_pipe,60,0.2,0.9782608695652174,1,230,10
MAGNET,thermal_heat_pipe,60,0.5,1.0,1,230,10
MAGNET,thermal_heat_pipe,300,0.01,0.5217391304347826,1,230,10
MAGNET,thermal_heat_pipe,300,0.02,0.6826086956521739,1,230,10
MAGNET,thermal_heat_pipe,300,0.05,0.8217391304347826,1,230,10
MAGNET,thermal_heat_pipe,300,0.1,0.9260869565217391,1,230,10
MAGNET,thermal_heat_pipe,300,0.2,0.9652173913043478,1,230,10
MAGNET,thermal_heat_pipe,300,0.5,0.9956521739130435,1,230,10
MAGNET,thermal_heat_pipe,600,0.01,0.2826086956521739,1,230,10
MAGNET,thermal_heat_pipe,600,0.02,0.39565217391304347,1,230,10
MAGNET,thermal_heat_pipe,600,0.05,0.6347826086956522,1,230,10
MAGNET,thermal_heat_pipe,600,0.1,0.7782608695652173,1,230,10
MAGNET,thermal_heat_pipe,600,0.2,0.8956521739130435,1,230,10
MAGNET,thermal_heat_pipe,600,0.5,0.9695652173913043,1,230,10
TUWien_SNG,biomass_to_sng_process,60,0.01,0.03857142857142857,2,3930,7
TUWien_SNG,biomass_to_sng_process,60,0.02,0.08035714285714286,2,3930,7
TUWien_SNG,biomass_to_sng_process,60,0.05,0.1895954487989886,2,3930,7
TUWien_SNG,biomass_to_sng_process,60,0.1,0.4152038558786346,2,3930,7
TUWien_SNG,biomass_to_sng_process,60,0.2,0.7329535398230089,2,3930,7
TUWien_SNG,biomass_to_sng_process,60,0.5,0.8539949431099874,2,3930,7
TUWien_SNG,biomass_to_sng_process,300,0.01,0.0017543859649122807,2,798,7
TUWien_SNG,biomass_to_sng_process,300,0.02,0.015789473684210527,2,798,7
TUWien_SNG,biomass_to_sng_process,300,0.05,0.11052631578947368,2,798,7
TUWien_SNG,biomass_to_sng_process,300,0.1,0.31008771929824563,2,798,7
TUWien_SNG,biomass_to_sng_process,300,0.2,0.6649122807017545,2,798,7
TUWien_SNG,biomass_to_sng_process,300,0.5,0.8429824561403509,2,798,7
TUWien_SNG,biomass_to_sng_process,600,0.01,0.0017543859649122807,2,399,7
TUWien_SNG,biomass_to_sng_process,600,0.02,0.007017543859649123,2,399,7
TUWien_SNG,biomass_to_sng_process,600,0.05,0.07719298245614035,2,399,7
TUWien_SNG,biomass_to_sng_process,600,0.1,0.25701754385964914,2,399,7
TUWien_SNG,biomass_to_sng_process,600,0.2,0.6175438596491227,2,399,7
TUWien_SNG,biomass_to_sng_process,600,0.5,0.8245614035087718,2,399,7
