dataset,domain,subsystem,segment,component,unit,horizon_s,n_points,normalized_p95_error,scale,unit_id,semantics
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-01,degC,60,62,0.0028816713979356572,4.087781149999998,0:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-01,degC,300,302,0.0032344503205031867,4.087781149999998,0:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-01,degC,600,600,0.007358423582534805,4.087781149999998,0:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-02,degC,60,62,0.0023910942385578986,4.6027229999999975,0:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-02,degC,300,302,0.0034655540439306764,4.6027229999999975,0:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-02,degC,600,600,0.005215047365069364,4.6027229999999975,0:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-03,degC,60,62,0.010695034888338228,12.860793000000001,0:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-03,degC,300,302,0.05468405098350704,12.860793000000001,0:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-03,degC,600,600,0.10730326961988686,12.860793000000001,0:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-04,degC,60,62,0.015076677822440567,34.57984929999999,0:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-04,degC,300,302,0.07223788331614188,34.57984929999999,0:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-04,degC,600,600,0.142470950480801,34.57984929999999,0:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-05,degC,60,62,0.015480534308712757,125.92503189999996,0:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-05,degC,300,302,0.08007327154926257,125.92503189999996,0:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-05,degC,600,600,0.15262901844577598,125.92503189999996,0:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-06,degC,60,62,0.003161110141590882,193.69339839999992,0:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-06,degC,300,302,0.017799831667233482,193.69339839999992,0:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-06,degC,600,600,0.023287049435042253,193.69339839999992,0:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-07,degC,60,62,0.007255883323732733,101.20897665000007,0:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-07,degC,300,302,0.031251078038883426,101.20897665000007,0:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-07,degC,600,600,0.0532374364506749,101.20897665000007,0:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-08,degC,60,62,0.008693313022593907,82.47154725000007,0:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-08,degC,300,302,0.046143040028520016,82.47154725000007,0:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-08,degC,600,600,0.07112807269599747,82.47154725000007,0:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-09,degC,60,62,0.009374733704477578,108.34815115000004,0:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
