dataset,file,column,clean_column,numeric_fraction,median_numeric,min_numeric,max_numeric
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Time (s),time_s,1.0,40071.5,20.0,80123.0
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Date/Time,date_time,1.0,44650.821765,44650.35821,44651.28533
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-01,heat_pipe_tc_01,1.0,25.118096,15.073791,30.045124
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-02,heat_pipe_tc_02,1.0,25.956477,16.411521,31.096331
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-03,heat_pipe_tc_03,1.0,33.37685,19.338877,44.684005
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-04,heat_pipe_tc_04,1.0,52.858633,23.165105,90.987268
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-05,heat_pipe_tc_05,1.0,116.566242,30.442167,300.294572
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-06,heat_pipe_tc_06,1.0,195.764138,52.412975,575.297363
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-07,heat_pipe_tc_07,1.0,211.779939,55.107509,586.998427
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-08,heat_pipe_tc_08,1.0,211.188208,54.84681,587.433267
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-09,heat_pipe_tc_09,1.0,198.100277,52.24215,586.343483
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heat Pipe TC-10,heat_pipe_tc_10,1.0,168.85419,47.552086,479.656065
MAGNET_physical,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\MAGNET_Heat_Pipe_2022-03-30.csv,Heater Temp,heater_temp,1.0,210.0,0.0,600.3
MAGNET_forecast,C:\Users\shrey\Documents\DigitalTwinDivergence\magnet_tfp\data\ML_MAGNET_2022-03-30.csv,Time (s),time_s,1.0,12303.5,3799.0,23228.0
