outer_sequence,sequence,replicate,source,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_episodes,failure_duration_s,max_failure_episode_s,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,mean_aoi_s,max_aoi_s,eligible_samples,observable_samples,qualified,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,0,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.9578596461236003,1.0,0.9578596461236003,52,49.3,5.0,0.03790280065226482,0.08235645310750213,0.17637775864309116,0.5584455891638396,0.0,0.0,11699,11699,1,1.0,0.8586206896551725,1.0,0.8586206896551725
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,25,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.9298230618001538,1.0,0.9298230618001538,258,82.1,5.0,0.03868705100732597,0.086521098783703,0.4308562325786751,1.7235433215096951,0.09999999999999999,0.1,11699,11699,1,0.996551724137931,0.8442906574394463,1.0,0.8442906574394463
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,50,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.9298230618001538,1.0,0.9298230618001538,258,82.1,5.0,0.03868705100732597,0.086521098783703,0.4308562325786751,1.7235433215096951,0.09999999999999999,0.1,11699,11699,1,0.996551724137931,0.8442906574394463,1.0,0.8442906574394463
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,100,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.9298230618001538,1.0,0.9298230618001538,258,82.1,5.0,0.03868705100732597,0.086521098783703,0.4308562325786751,1.7235433215096951,0.09999999999999999,0.1,11699,11699,1,0.996551724137931,0.8442906574394463,1.0,0.8442906574394463
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,200,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.8185314984186682,1.0,0.8185314984186682,595,212.30000000000004,4.4,0.046988739327749496,0.10633551505076823,0.8427408877761344,3.3841252528925816,0.19999999999999998,0.2,11699,11699,1,0.993103448275862,0.8194444444444444,1.0,0.8194444444444444
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,0,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.943413967005727,1.0,0.943413967005727,227,66.2,5.0,0.03845239483519325,0.08456424962632281,0.3058631662240465,1.3084952383929682,0.0499957261304385,0.1,11699,11699,1,1.0,0.8517241379310345,1.0,0.8517241379310345
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,25,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.873749893153261,1.0,0.873749893153261,758,147.70000000000005,5.0,0.042961080838269765,0.09947284805833882,0.6398879962394642,2.7065505152825358,0.15000427386956147,0.2,11699,11699,1,0.996551724137931,0.8269896193771626,1.0,0.8269896193771626
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,50,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.873749893153261,1.0,0.873749893153261,758,147.70000000000005,5.0,0.042961080838269765,0.09947284805833882,0.6398879962394642,2.7065505152825358,0.15000427386956147,0.2,11699,11699,1,0.996551724137931,0.8269896193771626,1.0,0.8269896193771626
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,100,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.873749893153261,1.0,0.873749893153261,758,147.70000000000005,5.0,0.042961080838269765,0.09947284805833882,0.6398879962394642,2.7065505152825358,0.15000427386956147,0.2,11699,11699,1,0.996551724137931,0.8269896193771626,1.0,0.8269896193771626
building00,building00,replicate_01_base42,results\doubly_nested_loso_slurm\outer_building00\outer_test\target_building00\v2\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,200,1.3143264915510757,1.5847519374997918,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.0,0.7728865715018378,1.0,0.7728865715018378,817,265.70000000000005,4.3,0.051579584863879695,0.12345029843163685,1.040569718034576,4.141373616589678,0.2499957261304385,0.3,11699,11699,0,0.993103448275862,0.7951388888888888,1.0,0.7951388888888888
