outer_sequence,sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,qualified
building00,building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,0,1.0,0.14755031741964872,1.0,0.14755031741964872,998.1333333333332,227.23333333333335,0.44996156802459647,0.9,1.0,0.918888888888889,1.0,0.918888888888889,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.9420677337676127,4.202438817603606,2.016851340176624,8.639659143951013,0
building00,building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,25,1.0,0.1668517095112022,1.0,0.1668517095112022,975.5333333333334,227.20000000000002,0.5499701084635751,1.0,0.9966666666666667,0.9264214046822743,1.0,0.9264214046822743,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.9822610646805314,4.301506861195168,2.3321059521819034,9.919168600084765,0
building00,building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,50,1.0,0.1668517095112022,1.0,0.1668517095112022,975.5333333333334,227.20000000000002,0.5499701084635751,1.0,0.9966666666666667,0.9264214046822743,1.0,0.9264214046822743,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.9822610646805314,4.301506861195168,2.3321059521819034,9.919168600084765,0
building00,building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,100,1.0,0.1668517095112022,1.0,0.1668517095112022,975.5333333333334,227.20000000000002,0.5499701084635751,1.0,0.9966666666666667,0.9264214046822743,1.0,0.9264214046822743,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.9822610646805314,4.301506861195168,2.3321059521819034,9.919168600084765,0
building00,building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,200,1.0,0.18430267315740032,0.8999914595610216,0.1650866854556324,977.6,227.20000000000002,0.6499786489025536,1.1,0.9933333333333333,0.9116331096196868,0.9026845637583892,0.8467561521252795,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,2.0313298638371062,4.403730391420383,2.66339962862221,11.31936599096047,0
building00,building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,0,1.0,0.08600222051413442,1.0,0.08600222051413442,1070.2,284.3,0.1999829191220429,0.4000000000000001,1.0,0.9066666666666667,1.0,0.9066666666666667,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8579356322849634,3.928698077506142,1.2145775529423417,4.5953171892745805,0
building00,building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,25,1.0,0.12491815412645542,1.0,0.12491815412645542,1024.6333333333334,229.63333333333335,0.29999145956102147,0.5,0.9966666666666667,0.9353400222965441,1.0,0.9353400222965441,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8769268394092091,4.020505601401383,1.5131720826563562,5.954559861657278,0
building00,building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,50,1.0,0.12491815412645542,1.0,0.12491815412645542,1024.6333333333334,229.63333333333335,0.29999145956102147,0.5,0.9966666666666667,0.9353400222965441,1.0,0.9353400222965441,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8769268394092091,4.020505601401383,1.5131720826563562,5.954559861657278,0
building00,building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,100,1.0,0.12491815412645542,1.0,0.12491815412645542,1024.6333333333334,229.63333333333335,0.29999145956102147,0.5,0.9966666666666667,0.9353400222965441,1.0,0.9353400222965441,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8769268394092091,4.020505601401383,1.5131720826563562,5.954559861657278,0
building00,building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,200,1.0,0.16457425911691861,1.0,0.16457425911691861,978.2000000000002,228.36666666666667,0.4000000000000001,0.6,0.9933333333333333,0.9642058165548099,1.0,0.9642058165548099,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.9024816414210541,4.114919698251644,1.8467824054324222,7.51469050417721,0
