scope,service,method,target_acceptance,accepted_count,condition_count,false_qualified_count,achieved_acceptance,selective_risk,selective_risk_ci_low,selective_risk_ci_high,n_physical_sequences
pooled,all,aoi_only,0.1,90,800,4,0.1125,0.044444444444444446,0.0,0.13333333333333333,10
pooled,all,aoi_only,0.15,110,800,10,0.1375,0.09090909090909091,0.00909090909090909,0.2,10
pooled,all,aoi_only,0.2,160,800,28,0.2,0.175,0.05625,0.30625,10
pooled,all,aoi_only,0.25,160,800,28,0.2,0.175,0.05625,0.3125,10
pooled,all,aoi_only,0.3,250,800,60,0.3125,0.24,0.12,0.368,10
pooled,all,aoi_only,0.35,250,800,60,0.3125,0.24,0.11590000000000004,0.368,10
pooled,all,aoi_only,0.4,330,800,94,0.4125,0.28484848484848485,0.13333333333333333,0.4393939393939394,10
pooled,all,aoi_only,0.45,350,800,106,0.4375,0.3028571428571429,0.15142857142857144,0.46285714285714286,10
pooled,all,aoi_only,0.5,390,800,124,0.4875,0.31794871794871793,0.1641025641025641,0.4794871794871795,10
pooled,all,common,0.1,0,800,0,0.0,,,,10
pooled,all,common,0.15,0,800,0,0.0,,,,10
pooled,all,common,0.2,0,800,0,0.0,,,,10
pooled,all,common,0.25,200,800,30,0.25,0.15,0.075,0.225,10
pooled,all,common,0.3,200,800,30,0.25,0.15,0.075,0.225,10
pooled,all,common,0.35,236,800,30,0.295,0.1271186440677966,0.05514705882352941,0.21226415094339623,10
pooled,all,common,0.4,308,800,54,0.385,0.17532467532467533,0.07792207792207792,0.27364864864864863,10
pooled,all,common,0.45,348,800,63,0.435,0.1810344827586207,0.08430150901489417,0.27586206896551724,10
pooled,all,common,0.5,400,800,81,0.5,0.2025,0.09,0.315,10
pooled,all,motion_logistic,0.1,88,800,45,0.11,0.5113636363636364,0.0,0.6,10
pooled,all,motion_logistic,0.15,126,800,49,0.1575,0.3888888888888889,0.0,0.5697674418604651,10
pooled,all,motion_logistic,0.2,153,800,50,0.19125,0.32679738562091504,0.0,0.5300353356890459,10
pooled,all,motion_logistic,0.25,199,800,55,0.24875,0.27638190954773867,0.0,0.48909657320872274,10
pooled,all,motion_logistic,0.3,237,800,56,0.29625,0.23628691983122363,0.0,0.45402338872346554,10
pooled,all,motion_logistic,0.35,271,800,61,0.33875,0.22509225092250923,0.017543859649122806,0.4363755980861242,10
pooled,all,motion_logistic,0.4,312,800,71,0.39,0.22756410256410256,0.05243407937658572,0.4239421360813652,10
pooled,all,motion_logistic,0.45,358,800,87,0.4475,0.2430167597765363,0.08484848484848485,0.41690223755218353,10
pooled,all,motion_logistic,0.5,396,800,108,0.495,0.2727272727272727,0.11887117621714778,0.4245091913151739,10
pooled,all,service_empirical,0.1,0,800,0,0.0,,,,10
pooled,all,service_empirical,0.15,200,800,4,0.25,0.02,0.0,0.04878048780487805,10
pooled,all,service_empirical,0.2,200,800,4,0.25,0.02,0.0,0.049019607843137254,10
pooled,all,service_empirical,0.25,200,800,4,0.25,0.02,0.0,0.04854368932038835,10
pooled,all,service_empirical,0.3,226,800,4,0.2825,0.017699115044247787,0.0,0.04504504504504504,10
pooled,all,service_empirical,0.35,276,800,13,0.345,0.04710144927536232,0.0,0.11428571428571428,10
pooled,all,service_empirical,0.4,295,800,25,0.36875,0.0847457627118644,0.01384083044982699,0.16556345144921306,10
pooled,all,service_empirical,0.45,336,800,35,0.42,0.10416666666666667,0.02631578947368421,0.19765473634602274,10
pooled,all,service_empirical,0.5,349,800,41,0.43625,0.1174785100286533,0.02586206896551724,0.22,10
