family,horizon_s,position_tolerance_m,heading_tolerance_deg,baseline_metric,kendall_tau_service_pass_vs_negative_error
global_synchronization,0.0,0.5,2.0,ate_m,0.7333333333333333
global_synchronization,0.0,0.5,2.0,rpe1_m,0.37777777777777777
global_synchronization,0.0,0.5,2.0,rpe5_m,0.3333333333333333
global_synchronization,0.0,0.5,2.0,rpe10_m,0.3333333333333333
global_synchronization,0.0,0.5,2.0,dp_p95_m,0.6888888888888888
global_synchronization,0.0,0.5,2.0,heading_mae_deg,0.5555555555555555
global_synchronization,0.0,0.5,2.0,dtheta_p95_deg,0.5555555555555555
global_synchronization,0.0,0.5,5.0,ate_m,0.7333333333333333
global_synchronization,0.0,0.5,5.0,rpe1_m,0.37777777777777777
global_synchronization,0.0,0.5,5.0,rpe5_m,0.3333333333333333
global_synchronization,0.0,0.5,5.0,rpe10_m,0.3333333333333333
global_synchronization,0.0,0.5,5.0,dp_p95_m,0.6888888888888888
global_synchronization,0.0,0.5,5.0,heading_mae_deg,0.5555555555555555
global_synchronization,0.0,0.5,5.0,dtheta_p95_deg,0.5555555555555555
global_synchronization,0.0,0.5,10.0,ate_m,0.7333333333333333
global_synchronization,0.0,0.5,10.0,rpe1_m,0.37777777777777777
global_synchronization,0.0,0.5,10.0,rpe5_m,0.3333333333333333
global_synchronization,0.0,0.5,10.0,rpe10_m,0.3333333333333333
global_synchronization,0.0,0.5,10.0,dp_p95_m,0.6888888888888888
global_synchronization,0.0,0.5,10.0,heading_mae_deg,0.5555555555555555
global_synchronization,0.0,0.5,10.0,dtheta_p95_deg,0.5555555555555555
global_synchronization,0.0,0.5,20.0,ate_m,0.7333333333333333
global_synchronization,0.0,0.5,20.0,rpe1_m,0.37777777777777777
global_synchronization,0.0,0.5,20.0,rpe5_m,0.3333333333333333
global_synchronization,0.0,0.5,20.0,rpe10_m,0.3333333333333333
global_synchronization,0.0,0.5,20.0,dp_p95_m,0.6888888888888888
global_synchronization,0.0,0.5,20.0,heading_mae_deg,0.5555555555555555
global_synchronization,0.0,0.5,20.0,dtheta_p95_deg,0.5555555555555555
global_synchronization,0.0,0.5,30.0,ate_m,0.7333333333333333
global_synchronization,0.0,0.5,30.0,rpe1_m,0.37777777777777777
global_synchronization,0.0,0.5,30.0,rpe5_m,0.3333333333333333
global_synchronization,0.0,0.5,30.0,rpe10_m,0.3333333333333333
global_synchronization,0.0,0.5,30.0,dp_p95_m,0.6888888888888888
global_synchronization,0.0,0.5,30.0,heading_mae_deg,0.5555555555555555
global_synchronization,0.0,0.5,30.0,dtheta_p95_deg,0.5555555555555555
global_synchronization,0.0,0.5,45.0,ate_m,0.7333333333333333
global_synchronization,0.0,0.5,45.0,rpe1_m,0.37777777777777777
global_synchronization,0.0,0.5,45.0,rpe5_m,0.3333333333333333
global_synchronization,0.0,0.5,45.0,rpe10_m,0.3333333333333333
global_synchronization,0.0,0.5,45.0,dp_p95_m,0.6888888888888888
global_synchronization,0.0,0.5,45.0,heading_mae_deg,0.5555555555555555
global_synchronization,0.0,0.5,45.0,dtheta_p95_deg,0.5555555555555555
global_synchronization,0.0,1.0,2.0,ate_m,0.7640931774583409
global_synchronization,0.0,1.0,2.0,rpe1_m,0.40451991747794525
global_synchronization,0.0,1.0,2.0,rpe5_m,0.35957325998039574
global_synchronization,0.0,1.0,2.0,rpe10_m,0.35957325998039574
