sequence,family,horizon_s,grid_average_valid_fraction,position_grid_average_valid_fraction,heading_grid_average_valid_fraction,grid_min_valid_fraction,grid_max_valid_fraction,n_grid_points
building00,global_synchronization,0.0,0.6353009259259259,0.6375,0.9961111111111111,0.01,1.0,36
building00,local_relative_motion,1.0,0.9587333333333332,0.9593333333333333,0.9988333333333332,0.895,0.9983333333333332,25
building00,local_relative_motion,5.0,0.7368333333333333,0.7433333333333334,0.9833333333333333,0.35,0.9916666666666668,25
building00,local_relative_motion,10.0,0.5379999999999999,0.5483333333333333,0.9616666666666667,0.0916666666666666,0.9583333333333334,25
building01,global_synchronization,0.0,0.670788661468486,0.679093567251462,0.9873294346978558,0.0219298245614035,1.0,36
building01,local_relative_motion,1.0,0.9540350877192982,0.9551169590643275,0.9980994152046783,0.8735380116959064,0.9992690058479532,25
building01,local_relative_motion,5.0,0.7617582417582418,0.7684981684981684,0.9846153846153847,0.3516483516483517,0.989010989010989,25
building01,local_relative_motion,10.0,0.6079411764705882,0.6147058823529412,0.9705882352941176,0.1397058823529411,0.9632352941176472,25
building02,global_synchronization,0.0,0.8773383217530732,0.8853554249064671,0.9861927667913771,0.6606092998396579,1.0,36
building02,local_relative_motion,1.0,0.971651523249599,0.9716729021913415,0.9998931052912882,0.92089791555318,1.0,25
building02,local_relative_motion,5.0,0.7497326203208555,0.7529411764705882,0.9914438502673797,0.302139037433155,0.9946524064171124,25
building02,local_relative_motion,10.0,0.5940106951871656,0.5978609625668448,0.9775401069518717,0.1443850267379679,0.962566844919786,25
parking00,global_synchronization,0.0,0.5705896686159844,0.5764619883040936,0.9887426900584795,0.0114035087719298,1.0,36
parking00,local_relative_motion,1.0,0.9787368421052632,0.9789473684210526,0.9985964912280701,0.936842105263158,0.9982456140350876,25
parking00,local_relative_motion,5.0,0.7889473684210526,0.7921052631578948,0.987719298245614,0.2763157894736842,0.9824561403508772,25
parking00,local_relative_motion,10.0,0.6136842105263158,0.6175438596491228,0.9824561403508772,0.0614035087719298,0.9824561403508772,25
parking01,global_synchronization,0.0,0.45866121078585664,0.559017941454202,0.7854894554611268,0.121813031161473,1.0,36
parking01,local_relative_motion,1.0,0.9935788479697828,0.9945231350330501,0.9990557129367328,0.9688385269121812,1.0,25
parking01,local_relative_motion,5.0,0.7963981042654028,0.8,0.9962085308056872,0.1421800947867298,1.0,25
parking01,local_relative_motion,10.0,0.6007619047619047,0.6095238095238095,0.9847619047619048,0.019047619047619,1.0,25
parking02,global_synchronization,0.0,0.18601822363765033,0.32550424628450103,0.48858811040339706,0.0023885350318471,0.9148089171974524,36
parking02,local_relative_motion,1.0,0.9937898089171975,0.9941082802547772,0.9996815286624203,0.9721337579617836,1.0,25
parking02,local_relative_motion,5.0,0.9467729083665338,0.950597609561753,0.9960159362549801,0.7928286852589641,1.0,25
parking02,local_relative_motion,10.0,0.8367999999999999,0.8432,0.992,0.424,1.0,25
playground00,global_synchronization,0.0,1.0,1.0,1.0,1.0,1.0,36
playground00,local_relative_motion,1.0,0.9998491704374058,1.0,0.9998491704374058,0.9992458521870288,1.0,25
playground00,local_relative_motion,5.0,0.9456603773584905,0.9471698113207547,0.9977358490566037,0.7471698113207547,1.0,25
playground00,local_relative_motion,10.0,0.8033333333333332,0.8060606060606061,0.9954545454545455,0.2121212121212121,1.0,25
street00,global_synchronization,0.0,0.9871327992231124,0.9871327992231124,1.0,0.9227967953386744,1.0,36
street00,local_relative_motion,1.0,0.9986890021849963,0.9991260014566643,0.9995630007283322,0.9934450109249818,1.0,25
street00,local_relative_motion,5.0,0.9221897810218977,0.9233576642335767,0.9985401459854014,0.6678832116788321,1.0,25
street00,local_relative_motion,10.0,0.7897810218978101,0.7927007299270074,0.9941605839416059,0.2700729927007299,1.0,25
street01,global_synchronization,0.0,0.9553952991452991,0.9559294871794872,0.9994658119658121,0.7323717948717948,1.0,36
street01,local_relative_motion,1.0,0.9908333333333335,0.9915064102564104,0.999198717948718,0.9647435897435898,1.0,25
street01,local_relative_motion,5.0,0.8618473895582329,0.8650602409638555,0.9943775100401606,0.4899598393574297,1.0,25
street01,local_relative_motion,10.0,0.7161290322580645,0.7193548387096774,0.9919354838709676,0.2096774193548387,1.0,25
street02,global_synchronization,0.0,0.9426113931190074,0.94331641285956,0.9992748368382885,0.6562726613488035,1.0,36
street02,local_relative_motion,1.0,0.9900217548948514,0.9910079767947788,0.9988397389412618,0.9637418419144308,1.0,25
street02,local_relative_motion,5.0,0.8337454545454546,0.8356363636363636,0.9956363636363637,0.3781818181818182,1.0,25
street02,local_relative_motion,10.0,0.6764963503649635,0.6788321167883211,0.9912408759124088,0.1094890510948905,1.0,25
