local_horizon_s,sequence_a,sequence_b,local_score_difference_a_minus_b,global_score_difference_a_minus_b,ordering
1.0,building00,building01,0.004698245614034979,-0.03548773554256013,inversion
1.0,building00,building02,-0.01291818991626581,-0.24203739582714734,concordant
1.0,building00,parking00,-0.020003508771930023,0.06471125730994154,inversion
1.0,building00,parking01,-0.03484551463644958,0.17663971514006926,inversion
1.0,building00,parking02,-0.035056475583864266,0.4492827022882756,inversion
1.0,building00,playground00,-0.04111583710407263,-0.3646990740740741,concordant
1.0,building00,street00,-0.03995566885166313,-0.35183187329718646,concordant
1.0,building00,street01,-0.03210000000000024,-0.3200943732193732,concordant
1.0,building00,street02,-0.03128842156151823,-0.3073104671930815,concordant
1.0,building01,building02,-0.01761643553030079,-0.2065496602845872,concordant
1.0,building01,parking00,-0.024701754385965002,0.10019899285250167,inversion
1.0,building01,parking01,-0.03954376025048456,0.2121274506826294,inversion
1.0,building01,parking02,-0.039754721197899245,0.48477043783083573,inversion
1.0,building01,playground00,-0.04581408271810761,-0.32921133853151396,concordant
1.0,building01,street00,-0.04465391446569811,-0.31634413775462633,concordant
1.0,building01,street01,-0.03679824561403522,-0.28460663767681305,concordant
1.0,building01,street02,-0.03598666717555321,-0.2718227316505214,concordant
1.0,building02,parking00,-0.007085318855664213,0.3067486531370889,inversion
1.0,building02,parking01,-0.021927324720183772,0.4186771109672166,inversion
1.0,building02,parking02,-0.022138285667598456,0.6913200981154229,inversion
1.0,building02,playground00,-0.028197647187806818,-0.12266167824692675,concordant
1.0,building02,street00,-0.02703747893539732,-0.10979447747003912,concordant
1.0,building02,street01,-0.01918181008373443,-0.07805697739222583,concordant
1.0,building02,street02,-0.01837023164525242,-0.06527307136593419,concordant
1.0,parking00,parking01,-0.014842005864519559,0.11192845783012773,inversion
1.0,parking00,parking02,-0.015052966811934243,0.38457144497833406,inversion
1.0,parking00,playground00,-0.021112328332142605,-0.42941033138401563,concordant
1.0,parking00,street00,-0.019952160079733106,-0.416543130607128,concordant
1.0,parking00,street01,-0.012096491228070216,-0.3848056305293147,concordant
1.0,parking00,street02,-0.011284912789588208,-0.37202172450302307,concordant
1.0,parking01,parking02,-0.00021096094741468452,0.27264298714820634,inversion
1.0,parking01,playground00,-0.006270322467623046,-0.5413387892141434,concordant
1.0,parking01,street00,-0.005110154215213547,-0.5284715884372557,concordant
1.0,parking01,street01,0.002745514636449342,-0.49673408835944244,inversion
1.0,parking01,street02,0.00355709307493135,-0.4839501823331508,inversion
1.0,parking02,playground00,-0.006059361520208362,-0.8139817763623497,concordant
1.0,parking02,street00,-0.0048991932677988625,-0.8011145755854621,concordant
1.0,parking02,street01,0.0029564755838640266,-0.7693770755076488,inversion
1.0,parking02,street02,0.0037680540223460346,-0.7565931694813571,inversion
1.0,playground00,street00,0.0011601682524094992,0.012867200776887633,concordant
1.0,playground00,street01,0.009015837104072388,0.04460470085470092,concordant
1.0,playground00,street02,0.009827415542554396,0.057388606880992565,concordant
1.0,street00,street01,0.00785566885166289,0.031737500077813285,concordant
1.0,street00,street02,0.008667247290144897,0.04452140610410493,concordant
1.0,street01,street02,0.000811578438482008,0.012783906026291647,concordant
5.0,building00,building01,-0.024924908424908465,-0.03548773554256013,concordant
5.0,building00,building02,-0.012899286987522185,-0.24203739582714734,concordant
5.0,building00,parking00,-0.05211403508771928,0.06471125730994154,inversion
5.0,building00,parking01,-0.059564770932069466,0.17663971514006926,inversion
5.0,building00,parking02,-0.2099395750332005,0.4492827022882756,inversion
5.0,building00,playground00,-0.20882704402515717,-0.3646990740740741,concordant
5.0,building00,street00,-0.1853564476885644,-0.35183187329718646,concordant
5.0,building00,street01,-0.12501405622489958,-0.3200943732193732,concordant
5.0,building00,street02,-0.09691212121212123,-0.3073104671930815,concordant
5.0,building01,building02,0.01202562143738628,-0.2065496602845872,inversion
5.0,building01,parking00,-0.027189126662810814,0.10019899285250167,inversion
5.0,building01,parking01,-0.034639862507161,0.2121274506826294,inversion
5.0,building01,parking02,-0.18501466660829202,0.48477043783083573,inversion
5.0,building01,playground00,-0.1839021356002487,-0.32921133853151396,concordant
5.0,building01,street00,-0.16043153926365594,-0.31634413775462633,concordant
5.0,building01,street01,-0.10008914779999112,-0.28460663767681305,concordant
5.0,building01,street02,-0.07198721278721276,-0.2718227316505214,concordant
5.0,building02,parking00,-0.039214748100197094,0.3067486531370889,inversion
5.0,building02,parking01,-0.04666548394454728,0.4186771109672166,inversion
5.0,building02,parking02,-0.1970402880456783,0.6913200981154229,inversion
