service_id,sequence,family,horizon_s,position_tolerance_m,heading_tolerance_deg,n_physical_windows,service_valid_fraction,position_pass_fraction,heading_pass_fraction
local_1s_tight,building00,local_relative_motion,1.0,0.1,2.0,1200,0.9433333333333334,0.9433333333333334,1.0
local_1s_tight,building01,local_relative_motion,1.0,0.1,2.0,1368,0.9349415204678364,0.9349415204678364,1.0
local_1s_tight,building02,local_relative_motion,1.0,0.1,2.0,1871,0.9663281667557456,0.9663281667557456,1.0
local_1s_tight,parking00,local_relative_motion,1.0,0.1,2.0,1140,0.974561403508772,0.974561403508772,0.9982456140350876
local_1s_tight,parking01,local_relative_motion,1.0,0.1,2.0,1059,0.9990557129367328,0.9990557129367328,1.0
local_1s_tight,parking02,local_relative_motion,1.0,0.1,2.0,1256,0.9968152866242038,0.9968152866242038,1.0
local_1s_tight,playground00,local_relative_motion,1.0,0.1,2.0,1326,1.0,1.0,1.0
local_1s_tight,street00,local_relative_motion,1.0,0.1,2.0,1373,1.0,1.0,1.0
local_1s_tight,street01,local_relative_motion,1.0,0.1,2.0,1248,0.9919871794871796,0.9919871794871796,1.0
local_1s_tight,street02,local_relative_motion,1.0,0.1,2.0,1379,0.9912980420594634,0.9912980420594634,1.0
local_5s_moderate,building00,local_relative_motion,5.0,0.2,5.0,240,0.8166666666666667,0.8166666666666667,1.0
local_5s_moderate,building01,local_relative_motion,5.0,0.2,5.0,273,0.8534798534798534,0.8534798534798534,1.0
local_5s_moderate,building02,local_relative_motion,5.0,0.2,5.0,374,0.8609625668449198,0.8609625668449198,1.0
local_5s_moderate,parking00,local_relative_motion,5.0,0.2,5.0,228,0.9517543859649122,0.9517543859649122,1.0
local_5s_moderate,parking01,local_relative_motion,5.0,0.2,5.0,211,0.995260663507109,0.995260663507109,1.0
local_5s_moderate,parking02,local_relative_motion,5.0,0.2,5.0,251,0.9840637450199204,0.9840637450199204,1.0
local_5s_moderate,playground00,local_relative_motion,5.0,0.2,5.0,265,1.0,1.0,1.0
local_5s_moderate,street00,local_relative_motion,5.0,0.2,5.0,274,1.0,1.0,1.0
local_5s_moderate,street01,local_relative_motion,5.0,0.2,5.0,249,0.9759036144578314,0.9759036144578314,1.0
local_5s_moderate,street02,local_relative_motion,5.0,0.2,5.0,275,0.9745454545454544,0.9745454545454544,1.0
local_10s_preview,building00,local_relative_motion,10.0,0.5,10.0,120,0.8416666666666667,0.8416666666666667,1.0
local_10s_preview,building01,local_relative_motion,10.0,0.5,10.0,136,0.9117647058823528,0.9117647058823528,1.0
local_10s_preview,building02,local_relative_motion,10.0,0.5,10.0,187,0.9037433155080212,0.9037433155080212,1.0
local_10s_preview,parking00,local_relative_motion,10.0,0.5,10.0,114,0.9385964912280702,0.9385964912280702,1.0
local_10s_preview,parking01,local_relative_motion,10.0,0.5,10.0,105,1.0,1.0,1.0
local_10s_preview,parking02,local_relative_motion,10.0,0.5,10.0,125,0.992,0.992,1.0
local_10s_preview,playground00,local_relative_motion,10.0,0.5,10.0,132,1.0,1.0,1.0
local_10s_preview,street00,local_relative_motion,10.0,0.5,10.0,137,1.0,1.0,1.0
local_10s_preview,street01,local_relative_motion,10.0,0.5,10.0,124,0.9919354838709676,0.9919354838709676,1.0
local_10s_preview,street02,local_relative_motion,10.0,0.5,10.0,137,0.9854014598540146,0.9854014598540146,1.0
global_state_tracking,building00,global_synchronization,0.0,1.0,5.0,1200,0.0133333333333333,0.0133333333333333,1.0
global_state_tracking,building01,global_synchronization,0.0,1.0,5.0,1368,0.0862573099415204,0.0862573099415204,1.0
global_state_tracking,building02,global_synchronization,0.0,1.0,5.0,1871,0.7926242650988776,0.7926242650988776,1.0
global_state_tracking,parking00,global_synchronization,0.0,1.0,5.0,1140,0.0219298245614035,0.0219298245614035,1.0
global_state_tracking,parking01,global_synchronization,0.0,1.0,5.0,1059,0.1728045325779036,0.1728045325779036,0.5684608120868744
global_state_tracking,parking02,global_synchronization,0.0,1.0,5.0,1256,0.0087579617834394,0.0087579617834394,0.1098726114649681
global_state_tracking,playground00,global_synchronization,0.0,1.0,5.0,1326,1.0,1.0,1.0
global_state_tracking,street00,global_synchronization,0.0,1.0,5.0,1373,1.0,1.0,1.0
global_state_tracking,street01,global_synchronization,0.0,1.0,5.0,1248,1.0,1.0,1.0
global_state_tracking,street02,global_synchronization,0.0,1.0,5.0,1379,1.0,1.0,1.0
