sequence,method,family,horizon_s,surface_range,nondegenerate
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.15079365079365079,True
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,local_relative_motion,1.0,0.4841269841269841,True
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,local_relative_motion,5.0,0.7777777777777778,True
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,local_relative_motion,10.0,0.5384615384615385,True
ts_2022_06_09_13h16m39s_one_row,physics_only,global_synchronization,0.0,0.15079365079365079,True
ts_2022_06_09_13h16m39s_one_row,physics_only,local_relative_motion,1.0,0.6666666666666666,True
ts_2022_06_09_13h16m39s_one_row,physics_only,local_relative_motion,5.0,0.7777777777777778,True
ts_2022_06_09_13h16m39s_one_row,physics_only,local_relative_motion,10.0,0.6153846153846154,True
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,global_synchronization,0.0,0.1750841750841751,True
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,local_relative_motion,1.0,0.6515151515151516,True
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,local_relative_motion,5.0,0.78125,True
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,local_relative_motion,10.0,0.65625,True
ts_2022_06_15_11h48m34s_four_rows,physics_only,global_synchronization,0.0,0.1750841750841751,True
ts_2022_06_15_11h48m34s_four_rows,physics_only,local_relative_motion,1.0,0.8114478114478115,True
ts_2022_06_15_11h48m34s_four_rows,physics_only,local_relative_motion,5.0,0.796875,True
ts_2022_06_15_11h48m34s_four_rows,physics_only,local_relative_motion,10.0,0.59375,True
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,global_synchronization,0.0,0.25821596244131456,True
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,local_relative_motion,1.0,0.4225352112676056,True
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,local_relative_motion,5.0,0.891304347826087,True
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,local_relative_motion,10.0,0.6956521739130435,True
ts_2022_09_01_11h20m00s_two_random,physics_only,global_synchronization,0.0,0.25821596244131456,True
ts_2022_09_01_11h20m00s_two_random,physics_only,local_relative_motion,1.0,0.5492957746478873,True
ts_2022_09_01_11h20m00s_two_random,physics_only,local_relative_motion,5.0,0.9130434782608696,True
ts_2022_09_01_11h20m00s_two_random,physics_only,local_relative_motion,10.0,0.6956521739130435,True
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,global_synchronization,0.0,0.25,True
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,local_relative_motion,1.0,0.5387931034482759,True
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,local_relative_motion,5.0,0.62,True
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,local_relative_motion,10.0,0.44,True
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,global_synchronization,0.0,0.2629310344827586,True
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,local_relative_motion,1.0,0.38362068965517243,True
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,local_relative_motion,5.0,0.6,True
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,local_relative_motion,10.0,0.44,True
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,global_synchronization,0.0,0.10091743119266056,True
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,local_relative_motion,1.0,0.481651376146789,True
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,local_relative_motion,5.0,0.8,True
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,local_relative_motion,10.0,0.7428571428571429,True
ts_2022_09_06_12h37m11s_four_rows,physics_only,global_synchronization,0.0,0.08256880733944955,True
ts_2022_09_06_12h37m11s_four_rows,physics_only,local_relative_motion,1.0,0.4311926605504588,True
ts_2022_09_06_12h37m11s_four_rows,physics_only,local_relative_motion,5.0,0.8,True
ts_2022_09_06_12h37m11s_four_rows,physics_only,local_relative_motion,10.0,0.7142857142857143,True
