sequence,method,family,horizon_s,position_grid_average_validity,joint_grid_average_validity_secondary,n_grid_points
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.07275132275132275,0.04872134038800705,36
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,local_relative_motion,1.0,0.7968253968253969,0.5928571428571429,25
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,local_relative_motion,5.0,0.45555555555555555,0.2659259259259259,25
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,local_relative_motion,10.0,0.27692307692307694,0.20461538461538464,25
ts_2022_06_09_13h16m39s_one_row,physics_only,global_synchronization,0.0,0.07142857142857142,0.04872134038800705,36
ts_2022_06_09_13h16m39s_one_row,physics_only,local_relative_motion,1.0,0.7507936507936508,0.5584126984126985,25
ts_2022_06_09_13h16m39s_one_row,physics_only,local_relative_motion,5.0,0.4074074074074074,0.2311111111111111,25
ts_2022_06_09_13h16m39s_one_row,physics_only,local_relative_motion,10.0,0.2,0.15384615384615385,25
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,global_synchronization,0.0,0.08585858585858586,0.04105873550317995,36
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,local_relative_motion,1.0,0.8195286195286196,0.56996632996633,25
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,local_relative_motion,5.0,0.39375,0.2671875,25
ts_2022_06_15_11h48m34s_four_rows,frozen_v2_checkpoint,local_relative_motion,10.0,0.18125,0.09,25
ts_2022_06_15_11h48m34s_four_rows,physics_only,global_synchronization,0.0,0.08529741863075196,0.0409652076318743,36
ts_2022_06_15_11h48m34s_four_rows,physics_only,local_relative_motion,1.0,0.7683501683501683,0.5338720538720538,25
ts_2022_06_15_11h48m34s_four_rows,physics_only,local_relative_motion,5.0,0.33125,0.229375,25
ts_2022_06_15_11h48m34s_four_rows,physics_only,local_relative_motion,10.0,0.15,0.07,25
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,global_synchronization,0.0,0.12284820031298906,0.0649452269170579,36
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,local_relative_motion,1.0,0.8521126760563381,0.6713615023474179,25
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,local_relative_motion,5.0,0.5217391304347827,0.38304347826086954,25
ts_2022_09_01_11h20m00s_two_random,frozen_v2_checkpoint,local_relative_motion,10.0,0.2956521739130435,0.19130434782608696,25
ts_2022_09_01_11h20m00s_two_random,physics_only,global_synchronization,0.0,0.12284820031298906,0.06507563901930098,36
ts_2022_09_01_11h20m00s_two_random,physics_only,local_relative_motion,1.0,0.8262910798122065,0.6550234741784037,25
ts_2022_09_01_11h20m00s_two_random,physics_only,local_relative_motion,5.0,0.4434782608695652,0.3243478260869565,25
ts_2022_09_01_11h20m00s_two_random,physics_only,local_relative_motion,10.0,0.26956521739130435,0.17217391304347823,25
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,global_synchronization,0.0,0.09123563218390804,0.039511494252873564,36
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,local_relative_motion,1.0,0.6224137931034482,0.49991379310344825,25
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,local_relative_motion,5.0,0.28,0.2016,25
ts_2022_09_01_12h32m56s_double_loop_corridor,frozen_v2_checkpoint,local_relative_motion,10.0,0.12,0.0704,25
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,global_synchronization,0.0,0.09339080459770116,0.03975095785440613,36
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,local_relative_motion,1.0,0.6586206896551724,0.5229310344827587,25
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,local_relative_motion,5.0,0.332,0.2464,25
ts_2022_09_01_12h32m56s_double_loop_corridor,physics_only,local_relative_motion,10.0,0.152,0.0848,25
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,global_synchronization,0.0,0.04089979550102249,0.020023858214042265,36
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,local_relative_motion,1.0,0.8061349693251533,0.6068711656441718,25
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,local_relative_motion,5.0,0.4542857142857143,0.31285714285714283,25
ts_2022_09_06_12h37m11s_four_rows,frozen_v2_checkpoint,local_relative_motion,10.0,0.27428571428571424,0.1737142857142857,25
ts_2022_09_06_12h37m11s_four_rows,physics_only,global_synchronization,0.0,0.0382262996941896,0.01996262317363235,36
ts_2022_09_06_12h37m11s_four_rows,physics_only,local_relative_motion,1.0,0.8207951070336391,0.6282568807339449,25
ts_2022_09_06_12h37m11s_four_rows,physics_only,local_relative_motion,5.0,0.49142857142857144,0.34,25
ts_2022_09_06_12h37m11s_four_rows,physics_only,local_relative_motion,10.0,0.3028571428571428,0.19085714285714286,25
