sequence,method,trace_id,family,horizon_s,position_tolerance_m,heading_tolerance_deg,n_windows,position_valid_fraction,joint_valid_fraction,heading_valid_fraction
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.05,1.0,126,0.2857142857142857,0.1111111111111111,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.05,2.0,126,0.2857142857142857,0.20634920634920634,0.5476190476190477
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.05,5.0,126,0.2857142857142857,0.2698412698412698,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.05,10.0,126,0.2857142857142857,0.2698412698412698,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.05,20.0,126,0.2857142857142857,0.2698412698412698,0.9523809523809523
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.1,1.0,126,0.7222222222222222,0.2619047619047619,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.1,2.0,126,0.7222222222222222,0.4603174603174603,0.5476190476190477
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.1,5.0,126,0.7222222222222222,0.6428571428571429,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.1,10.0,126,0.7222222222222222,0.7063492063492064,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.1,20.0,126,0.7222222222222222,0.7063492063492064,0.9523809523809523
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.2,1.0,126,0.8809523809523809,0.2857142857142857,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.2,2.0,126,0.8809523809523809,0.5238095238095238,0.5476190476190477
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.2,5.0,126,0.8809523809523809,0.7698412698412699,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.2,10.0,126,0.8809523809523809,0.8492063492063492,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.2,20.0,126,0.8809523809523809,0.8571428571428571,0.9523809523809523
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.5,1.0,126,0.9126984126984127,0.29365079365079366,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.5,2.0,126,0.9126984126984127,0.5317460317460317,0.5476190476190477
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.5,5.0,126,0.9126984126984127,0.7777777777777778,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.5,10.0,126,0.9126984126984127,0.8571428571428571,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,0.5,20.0,126,0.9126984126984127,0.873015873015873,0.9523809523809523
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,1.0,1.0,126,0.9523809523809523,0.29365079365079366,0.29365079365079366
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,1.0,2.0,126,0.9523809523809523,0.5476190476190477,0.5476190476190477
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,1.0,5.0,126,0.9523809523809523,0.8015873015873016,0.8253968253968254
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,1.0,10.0,126,0.9523809523809523,0.8888888888888888,0.9285714285714286
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,1.0,1.0,20.0,126,0.9523809523809523,0.9047619047619048,0.9523809523809523
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.05,1.0,27,0.07407407407407407,0.0,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.05,2.0,27,0.07407407407407407,0.037037037037037035,0.3333333333333333
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.05,5.0,27,0.07407407407407407,0.037037037037037035,0.5185185185185185
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.05,10.0,27,0.07407407407407407,0.037037037037037035,0.7407407407407407
