metric,expected_value,recomputed_value,source_file,formula,tolerance,status,rounding_convention
Official V2 APE translation macro mean,1.635,1.634951586325073,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 APE rotation macro mean,3.011,3.0113289294229943,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 RPE50 translation macro mean,1.31,1.3098507447717376,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 RPE50 percent macro mean,2.62,2.619701489543475,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 RPE100 translation macro mean,2.217,2.2174917794987303,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 RPE100 percent macro mean,2.22,2.2174917794987303,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 RPE300 translation macro mean,3.635,3.634980995780345,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Official V2 RPE300 percent macro mean,1.21,1.2116603319267814,results/i2nav_official_benchmark/official_macro_summary.csv,Twin V2 sequence macro mean,0.005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Fixed Physics APE translation macro mean,3.299,3.2990018136214587,results/i2nav_official_benchmark/official_macro_summary.csv,Fixed sequence macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Fixed->V2 APE absolute macro difference,-1.664,-1.6640502272963855,results/i2nav_official_benchmark/official_method_comparison.csv,V2 macro mean - Fixed macro mean,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Fixed->V2 APE macro mean reduction percent,-50.44,-50.44102190018759,results/i2nav_official_benchmark/official_method_comparison.csv,100*(V2-Fixed)/Fixed,0.005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Fixed->V2 APE mean sequence-wise relative reduction percent,-34.89,-34.8942018758626,results/i2nav_official_benchmark/official_method_comparison.csv,mean over sequences of 100*(V2_s-Fixed_s)/Fixed_s,0.005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Fixed->V2 APE sequence wins,9,9.0,results/i2nav_official_benchmark/official_method_comparison.csv,count V2_s < Fixed_s,0.0,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
Fixed->V2 RPE50 sequence wins,10,10.0,results/i2nav_official_benchmark/official_method_comparison.csv,count V2_s < Fixed_s,0.0,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking02 official aligned APE translation,5.747,5.747199631918071,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean official APE,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking02 internal ATE,11.35,11.350360762519498,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean internal ATE,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking02 internal Dp p95,22.345,22.344767075273904,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean internal Dp p95,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking02 internal Dtheta p95,30.415,30.41531733182064,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean internal Dtheta p95,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking02 internal RPE10,0.097,0.0971390761221561,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean internal RPE10,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking01 official aligned APE translation,1.92,1.9196212887231707,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean official APE,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking01 internal ATE,4.071,4.071047086397852,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean internal ATE,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
parking01 internal Dp p95,7.763,7.762674126810559,results/i2nav_official_benchmark/official_internal_comparison.csv,seed-mean internal Dp p95,0.0005,PASS,manuscript values rounded to 3 decimals unless percent is reported to 2 decimals
