sequence,official_ape_translation_rmse_m,official_ape_rotation_rmse_deg,internal_ate_m,internal_heading_error_deg,Dp_p95_m,Dtheta_p95_deg,RPE1_m,RPE5_m,RPE10_m,alignment_effect_indicator
building00,1.4706701739117367,2.663762079352191,1.8689628976757269,0.675393810950364,3.5696561606868613,1.9612152823345133,0.1265648236250176,0.3150781804151357,0.4837512811271149,0.213108951632648
building01,1.5481419956287463,3.404754258247843,1.5138345453335325,0.7319741424155918,1.96058371700162,2.544735863587972,0.0914976031984984,0.2418513478701121,0.3775039649859361,-0.02266261554208036
building02,1.6590869354961963,1.873338871034245,1.6631636321780128,0.7429541910530636,4.735172000738296,2.8385283330095543,0.1186373137469405,0.2940723679236323,0.4603736353399199,0.002451169928768673
parking00,0.8849066341848394,2.153829651825027,2.106805054695964,0.6135520738788259,3.08575541036265,2.395108204863324,0.132211410111245,0.3180317860490944,0.4530273090166035,0.5799769740382831
parking01,1.9196212887231707,4.455686623866224,4.071047086397852,4.910776338575262,7.762674126810559,8.131906512287138,0.0227132535289462,0.0815032548129856,0.1536664547665578,0.5284698879713297
parking02,5.747199631918071,8.898550370649259,11.350360762519498,16.719753184745475,22.344767075273904,30.41531733182064,0.0193143325202352,0.054969582465349,0.0971390761221561,0.4936548932527203
playground00,0.2083085640384886,1.142866401512142,0.2422070374892205,0.2334005448141237,0.3756268799994445,0.5082774049477751,0.0134795522963691,0.0430711573993997,0.0803977503985333,0.13995659994908516
street00,0.7513494874687415,1.686234937865161,0.2988571165738128,0.2252406847717668,0.5178628801554773,0.6253211252375631,0.0171117177561414,0.0588146395537797,0.1002457510003571,-1.5140759439910159
street01,1.2646354950042302,1.9641036150386293,0.400366664735707,0.3343353357416578,0.7608475445672109,0.7844750374569776,0.0372906861249855,0.100742785364752,0.1659571748486062,-2.15869328391526
street02,0.8955956568765077,1.8701624848392209,0.4637887565486718,0.50196879442789,0.8523538609988107,1.1128801333290843,0.0326652975944069,0.0947754260217108,0.1604106564333498,-0.9310421915812881
