aoi_setting,condition,classification,failure_component,cases
aoi_0.2s,burst_2hz_2s_every_10s,delivery_limited,physical_and_freshness,34
aoi_0.2s,burst_2hz_2s_every_10s,persistent_under_ideal,physical_and_freshness,6
aoi_0.2s,burst_5hz_1s_every_8s,delivery_limited,freshness_only,5
aoi_0.2s,burst_5hz_1s_every_8s,delivery_limited,physical_and_freshness,29
aoi_0.2s,burst_5hz_1s_every_8s,persistent_under_ideal,physical_and_freshness,6
aoi_0.2s,degraded_2hz,delivery_limited,freshness_only,2
aoi_0.2s,degraded_2hz,delivery_limited,physical_and_freshness,32
aoi_0.2s,degraded_2hz,persistent_under_ideal,physical_and_freshness,6
aoi_0.2s,ideal_10hz,already_qualified,none,34
aoi_0.2s,ideal_10hz,persistent_under_ideal,physical_only,6
aoi_0.2s,nominal_5hz,already_qualified,none,8
aoi_0.2s,nominal_5hz,delivery_limited,freshness_only,19
aoi_0.2s,nominal_5hz,delivery_limited,none,4
aoi_0.2s,nominal_5hz,delivery_limited,physical_and_freshness,3
aoi_0.2s,nominal_5hz,persistent_under_ideal,physical_and_freshness,6
aoi_0.2s,stress_1hz,delivery_limited,physical_and_freshness,34
aoi_0.2s,stress_1hz,persistent_under_ideal,physical_and_freshness,6
aoi_0.3s,burst_2hz_2s_every_10s,delivery_limited,physical_and_freshness,34
aoi_0.3s,burst_2hz_2s_every_10s,persistent_under_ideal,physical_and_freshness,6
aoi_0.3s,burst_5hz_1s_every_8s,already_qualified,none,4
aoi_0.3s,burst_5hz_1s_every_8s,delivery_limited,none,1
aoi_0.3s,burst_5hz_1s_every_8s,delivery_limited,physical_only,29
aoi_0.3s,burst_5hz_1s_every_8s,persistent_under_ideal,physical_only,6
aoi_0.3s,degraded_2hz,delivery_limited,freshness_only,2
aoi_0.3s,degraded_2hz,delivery_limited,physical_and_freshness,32
aoi_0.3s,degraded_2hz,persistent_under_ideal,physical_and_freshness,6
aoi_0.3s,ideal_10hz,already_qualified,none,34
aoi_0.3s,ideal_10hz,persistent_under_ideal,physical_only,6
aoi_0.3s,nominal_5hz,already_qualified,none,31
aoi_0.3s,nominal_5hz,delivery_limited,physical_only,3
aoi_0.3s,nominal_5hz,persistent_under_ideal,physical_only,6
aoi_0.3s,stress_1hz,delivery_limited,physical_and_freshness,34
aoi_0.3s,stress_1hz,persistent_under_ideal,physical_and_freshness,6
aoi_0.5s,burst_2hz_2s_every_10s,delivery_limited,physical_and_freshness,34
aoi_0.5s,burst_2hz_2s_every_10s,persistent_under_ideal,physical_and_freshness,6
aoi_0.5s,burst_5hz_1s_every_8s,already_qualified,none,4
aoi_0.5s,burst_5hz_1s_every_8s,delivery_limited,none,1
aoi_0.5s,burst_5hz_1s_every_8s,delivery_limited,physical_only,29
aoi_0.5s,burst_5hz_1s_every_8s,persistent_under_ideal,physical_only,6
aoi_0.5s,degraded_2hz,delivery_limited,freshness_only,2
aoi_0.5s,degraded_2hz,delivery_limited,physical_and_freshness,32
aoi_0.5s,degraded_2hz,persistent_under_ideal,physical_and_freshness,6
aoi_0.5s,ideal_10hz,already_qualified,none,34
aoi_0.5s,ideal_10hz,persistent_under_ideal,physical_only,6
aoi_0.5s,nominal_5hz,already_qualified,none,31
aoi_0.5s,nominal_5hz,delivery_limited,physical_only,3
aoi_0.5s,nominal_5hz,persistent_under_ideal,physical_only,6
aoi_0.5s,stress_1hz,delivery_limited,physical_and_freshness,34
aoi_0.5s,stress_1hz,persistent_under_ideal,physical_and_freshness,6
original,burst_2hz_2s_every_10s,delivery_limited,physical_and_freshness,10
original,burst_2hz_2s_every_10s,delivery_limited,physical_only,24
original,burst_2hz_2s_every_10s,persistent_under_ideal,physical_only,6
original,burst_5hz_1s_every_8s,already_qualified,none,5
original,burst_5hz_1s_every_8s,delivery_limited,physical_only,29
original,burst_5hz_1s_every_8s,persistent_under_ideal,physical_only,6
original,degraded_2hz,already_qualified,none,2
original,degraded_2hz,delivery_limited,physical_and_freshness,7
original,degraded_2hz,delivery_limited,physical_only,25
original,degraded_2hz,persistent_under_ideal,physical_only,6
original,ideal_10hz,already_qualified,none,34
original,ideal_10hz,persistent_under_ideal,physical_only,6
original,nominal_5hz,already_qualified,none,31
original,nominal_5hz,delivery_limited,physical_only,3
original,nominal_5hz,persistent_under_ideal,physical_only,6
original,stress_1hz,delivery_limited,physical_and_freshness,24
original,stress_1hz,delivery_limited,physical_only,10
original,stress_1hz,persistent_under_ideal,physical_and_freshness,6
