sequence,replicate,condition,aoi_setting,service,original_aoi_limit_s,aoi_limit_s,rate_hz,delay_ms,jitter_sd_ms,loss_probability,burst_period_s,burst_duration_s,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building00,replicate_01_base42,ideal_10hz,original,local_1s,0.6,0.6,10.0,0.0,0.0,0.0,,0.0,1.0,0.960765877425421,1.0,0.960765877425421,11699,11699,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,original,local_5s,1.0,1.0,10.0,0.0,0.0,0.0,,0.0,1.0,0.8305171970151815,1.0,0.8305171970151815,11659,11659,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,original,local_10s,1.5,1.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.8426221035403566,1.0,0.8426221035403566,11609,11609,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,original,global,1.0,1.0,10.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,11709,11709,0.0,0.0,0
building00,replicate_01_base42,ideal_10hz,aoi_0.5s,local_1s,0.6,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.960765877425421,1.0,0.960765877425421,11699,11699,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.5s,local_5s,1.0,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.8305171970151815,1.0,0.8305171970151815,11659,11659,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.5s,local_10s,1.5,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.8426221035403566,1.0,0.8426221035403566,11609,11609,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.5s,global,1.0,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,11709,11709,0.0,0.0,0
building00,replicate_01_base42,ideal_10hz,aoi_0.3s,local_1s,0.6,0.3,10.0,0.0,0.0,0.0,,0.0,1.0,0.960765877425421,1.0,0.960765877425421,11699,11699,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.3s,local_5s,1.0,0.3,10.0,0.0,0.0,0.0,,0.0,1.0,0.8305171970151815,1.0,0.8305171970151815,11659,11659,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.3s,local_10s,1.5,0.3,10.0,0.0,0.0,0.0,,0.0,1.0,0.8426221035403566,1.0,0.8426221035403566,11609,11609,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.3s,global,1.0,0.3,10.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,11709,11709,0.0,0.0,0
building00,replicate_01_base42,ideal_10hz,aoi_0.2s,local_1s,0.6,0.2,10.0,0.0,0.0,0.0,,0.0,1.0,0.960765877425421,1.0,0.960765877425421,11699,11699,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.2s,local_5s,1.0,0.2,10.0,0.0,0.0,0.0,,0.0,1.0,0.8305171970151815,1.0,0.8305171970151815,11659,11659,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.2s,local_10s,1.5,0.2,10.0,0.0,0.0,0.0,,0.0,1.0,0.8426221035403566,1.0,0.8426221035403566,11609,11609,0.0,0.0,1
building00,replicate_01_base42,ideal_10hz,aoi_0.2s,global,1.0,0.2,10.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,11709,11709,0.0,0.0,0
building00,replicate_01_base42,nominal_5hz,original,local_1s,0.6,0.6,5.0,50.0,20.0,0.01,,0.0,1.0,0.8452004444824344,0.99991452260877,0.8452004444824344,11699,11699,0.15236344986750863,0.6000000000003638,1
building00,replicate_01_base42,nominal_5hz,original,local_5s,1.0,1.0,5.0,50.0,20.0,0.01,,0.0,1.0,0.7353117763101467,1.0,0.7353117763101467,11659,11659,0.1523715584526961,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,original,local_10s,1.5,1.5,5.0,50.0,20.0,0.01,,0.0,1.0,0.788095443190628,1.0,0.788095443190628,11609,11609,0.15238177276251044,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,original,global,1.0,1.0,5.0,50.0,20.0,0.01,,0.0,1.0,0.043983260739602015,1.0,0.043983260739602015,11709,11709,0.1523614313775714,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.5s,local_1s,0.6,0.5,5.0,50.0,20.0,0.01,,0.0,1.0,0.8452004444824344,0.99991452260877,0.8452004444824344,11699,11699,0.15236344986750863,0.6000000000003638,1
building00,replicate_01_base42,nominal_5hz,aoi_0.5s,local_5s,1.0,0.5,5.0,50.0,20.0,0.01,,0.0,1.0,0.7353117763101467,0.9999142293507162,0.7353117763101467,11659,11659,0.1523715584526961,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.5s,local_10s,1.5,0.5,5.0,50.0,20.0,0.01,,0.0,1.0,0.788095443190628,0.9999138599362564,0.788095443190628,11609,11609,0.15238177276251044,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.5s,global,1.0,0.5,5.0,50.0,20.0,0.01,,0.0,1.0,0.043983260739602015,0.9999145956102143,0.043983260739602015,11709,11709,0.1523614313775714,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,local_1s,0.6,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.8452004444824344,0.9904265321822378,0.8452004444824344,11699,11699,0.15236344986750863,0.6000000000003638,1
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,local_5s,1.0,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.7353117763101467,0.9903936872802127,0.7343682991680247,11659,11659,0.1523715584526961,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,local_10s,1.5,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.788095443190628,0.9903523128607116,0.7808596778361616,11609,11609,0.15238177276251044,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,global,1.0,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.043983260739602015,0.9904347083440089,0.042616790503031854,11709,11709,0.1523614313775714,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,local_1s,0.6,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.8452004444824344,0.691170185485939,0.6085990255577399,11699,11699,0.15236344986750863,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,local_5s,1.0,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.7353117763101467,0.691139891928982,0.5310060897160992,11659,11659,0.1523715584526961,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,local_10s,1.5,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.788095443190628,0.6911017314152812,0.555431131019037,11609,11609,0.15238177276251044,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,global,1.0,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.043983260739602015,0.6911777265351439,0.021009479887266206,11709,11709,0.1523614313775714,0.6000000000003638,0
building00,replicate_01_base42,degraded_2hz,original,local_1s,0.6,0.6,2.0,200.0,50.0,0.05,,0.0,1.0,0.5157705786819387,0.6683477220275237,0.39199931618087014,11699,11699,0.47269852124076794,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,original,local_5s,1.0,1.0,2.0,200.0,50.0,0.05,,0.0,1.0,0.42224890642422164,0.9865340080624411,0.4221631357749378,11659,11659,0.4726906252676695,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,original,local_10s,1.5,1.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.47368421052631576,0.9998277198725127,0.47368421052631576,11609,11609,0.47287449392676173,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,original,global,1.0,1.0,2.0,200.0,50.0,0.05,,0.0,1.0,0.17764113075412077,0.9862498932445127,0.17448116833205227,11709,11709,0.47293534887656846,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.5s,local_1s,0.6,0.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.5157705786819387,0.6683477220275237,0.39199931618087014,11699,11699,0.47269852124076794,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.5s,local_5s,1.0,0.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.42224890642422164,0.6682391285702033,0.3270434857191869,11659,11659,0.4726906252676695,1.6999999999989086,0
