sequence,condition,aoi_setting,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,mean_aoi_s,max_aoi_s,qualified
building00,burst_2hz_2s_every_10s,aoi_0.2s,global,1.0,0.15646084208728328,0.07973923192985453,0.005209667776923734,0.7314971389525784,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.2s,local_10s,1.0,0.43592614925201706,0.07965084560829243,0.02977574870072071,0.7312803284804126,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.2s,local_1s,1.0,0.3632219278000968,0.07980739094509502,0.027153317947402913,0.7313103684071924,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.2s,local_5s,1.0,0.2554821740000572,0.07973811361752009,0.020127512365268604,0.7302312948505382,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.3s,global,1.0,0.15646084208728328,0.22859908332621628,0.027300936601474646,0.7314971389525784,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.3s,local_10s,1.0,0.43592614925201706,0.22852958911189594,0.12231889051597898,0.7312803284804126,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.3s,local_1s,1.0,0.3632219278000968,0.22879448385901932,0.11528050830555318,0.7313103684071924,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.3s,local_5s,1.0,0.2554821740000572,0.2287503216399348,0.08471281127598136,0.7302312948505382,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.5s,global,1.0,0.15646084208728328,0.5323540296637913,0.08366783385999373,0.7314971389525784,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.5s,local_10s,1.0,0.43592614925201706,0.5323168805811583,0.291095988744365,0.7312803284804126,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.5s,local_1s,1.0,0.3632219278000968,0.5327235946092258,0.27458187309456644,0.7313103684071924,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,aoi_0.5s,local_5s,1.0,0.2554821740000572,0.5328358635674872,0.19555708036709837,0.7302312948505382,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,original,global,1.0,0.15646084208728328,0.8176331596777408,0.14515899450565092,0.7314971389525784,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,original,local_10s,1.0,0.43592614925201706,0.879403910758894,0.41404657306113074,0.7312803284804126,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,original,local_1s,1.0,0.3632219278000968,0.5327235946092258,0.27458187309456644,0.7313103684071924,3.3666666666661818,0
building00,burst_2hz_2s_every_10s,original,local_5s,1.0,0.2554821740000572,0.8184235354661635,0.2550533207536381,0.7302312948505382,3.3666666666661818,0
building00,burst_5hz_1s_every_8s,aoi_0.2s,global,1.0,0.061747373815014085,0.6056594642297948,0.017963389984911888,0.22718706408180536,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.2s,local_10s,1.0,0.6388721394320499,0.6054210813449336,0.4384242111005829,0.2273408562322786,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.2s,local_1s,1.0,0.6411089266888909,0.605578824400946,0.4596974100350457,0.2272530415705495,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.2s,local_5s,1.0,0.5650284472653458,0.6058266861080138,0.4057237613288733,0.22700917745951812,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.3s,global,1.0,0.061747373815014085,0.8679363452614798,0.03646767443846614,0.22718706408180536,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.3s,local_10s,1.0,0.6388721394320499,0.8676601487351766,0.6121400063169381,0.2273408562322786,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.3s,local_1s,1.0,0.6411089266888909,0.8678234606946463,0.6402256603128472,0.2272530415705495,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.3s,local_5s,1.0,0.5650284472653458,0.868227692483632,0.5619407038911285,0.22700917745951812,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.5s,global,1.0,0.061747373815014085,0.911834201611296,0.04426794203888746,0.22718706408180536,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.5s,local_10s,1.0,0.6388721394320499,0.9116777213081804,0.6358859505556035,0.2273408562322786,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.5s,local_1s,1.0,0.6411089266888909,0.9117588397868763,0.6406815397327407,0.2272530415705495,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,aoi_0.5s,local_5s,1.0,0.5650284472653458,0.9120564942676617,0.5645995940189267,0.22700917745951812,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,original,global,1.0,0.061747373815014085,0.9746348962336664,0.057363281806018164,0.22718706408180536,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,original,local_10s,1.0,0.6388721394320499,1.0,0.6388721394320499,0.2273408562322786,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,original,local_1s,1.0,0.6411089266888909,0.9118443171781063,0.6406815397327407,0.2272530415705495,1.3999999999996362,0
building00,burst_5hz_1s_every_8s,original,local_5s,1.0,0.5650284472653458,0.9746976584612744,0.5650284472653458,0.22700917745951812,1.3999999999996362,0
building00,degraded_2hz,aoi_0.2s,global,1.0,0.1768440231161215,0.10109032937626328,0.0068038830529222535,0.4734762433452108,1.6999999999989086,0
building00,degraded_2hz,aoi_0.2s,local_10s,1.0,0.4753782984466075,0.10104229477129813,0.036150113417750596,0.4733913343092236,1.6999999999989086,0
building00,degraded_2hz,aoi_0.2s,local_1s,1.0,0.5192751517223694,0.1011482462888566,0.037752514459925356,0.4733965866024798,1.6999999999989086,0
building00,degraded_2hz,aoi_0.2s,local_5s,1.0,0.4271664236498271,0.10112359550561796,0.03433684992995397,0.47339108557015397,1.6999999999989086,0
building00,degraded_2hz,aoi_0.3s,global,1.0,0.1768440231161215,0.2873003672388761,0.035158140461753064,0.4734762433452108,1.6999999999989086,0
building00,degraded_2hz,aoi_0.3s,local_10s,1.0,0.4753782984466075,0.2872771125850633,0.15051540471473282,0.4733913343092236,1.6999999999989086,0
building00,degraded_2hz,aoi_0.3s,local_1s,1.0,0.5192751517223694,0.28737498931532607,0.1634612644955409,0.4733965866024798,1.6999999999989086,0
building00,degraded_2hz,aoi_0.3s,local_5s,1.0,0.4271664236498271,0.28733167510078056,0.14229350716184921,0.47339108557015397,1.6999999999989086,0
building00,degraded_2hz,aoi_0.5s,global,1.0,0.1768440231161215,0.6686594357616649,0.10664161471232954,0.4734762433452108,1.6999999999989086,0
building00,degraded_2hz,aoi_0.5s,local_10s,1.0,0.4753782984466075,0.6687340281965142,0.3598644729663767,0.4733913343092236,1.6999999999989086,0
building00,degraded_2hz,aoi_0.5s,local_1s,1.0,0.5192751517223694,0.6687751089836738,0.39536142690258425,0.4733965866024798,1.6999999999989086,0
building00,degraded_2hz,aoi_0.5s,local_5s,1.0,0.4271664236498271,0.6687537524659062,0.3324470366240672,0.47339108557015397,1.6999999999989086,0
building00,degraded_2hz,original,global,1.0,0.1768440231161215,0.9848834230079425,0.17379793321376721,0.4734762433452108,1.6999999999989086,0
building00,degraded_2hz,original,local_10s,1.0,0.4753782984466075,0.9994831596175381,0.4753782984466075,0.4733913343092236,1.6999999999989086,0
building00,degraded_2hz,original,local_1s,1.0,0.5192751517223694,0.6687751089836738,0.39536142690258425,0.4733965866024798,1.6999999999989086,0
building00,degraded_2hz,original,local_5s,1.0,0.4271664236498271,0.9849615461589044,0.42699488235125943,0.47339108557015397,1.6999999999989086,0
building00,ideal_10hz,aoi_0.2s,global,1.0,0.0018788965752839695,1.0,0.0018788965752839695,0.0,0.0,0
building00,ideal_10hz,aoi_0.2s,local_10s,1.0,0.8509776897234905,1.0,0.8509776897234905,0.0,0.0,1
building00,ideal_10hz,aoi_0.2s,local_1s,1.0,0.9633871840898083,1.0,0.9633871840898083,0.0,0.0,1
building00,ideal_10hz,aoi_0.2s,local_5s,1.0,0.8435543357063212,1.0,0.8435543357063212,0.0,0.0,1
building00,ideal_10hz,aoi_0.3s,global,1.0,0.0018788965752839695,1.0,0.0018788965752839695,0.0,0.0,0
building00,ideal_10hz,aoi_0.3s,local_10s,1.0,0.8509776897234905,1.0,0.8509776897234905,0.0,0.0,1
building00,ideal_10hz,aoi_0.3s,local_1s,1.0,0.9633871840898083,1.0,0.9633871840898083,0.0,0.0,1
building00,ideal_10hz,aoi_0.3s,local_5s,1.0,0.8435543357063212,1.0,0.8435543357063212,0.0,0.0,1
building00,ideal_10hz,aoi_0.5s,global,1.0,0.0018788965752839695,1.0,0.0018788965752839695,0.0,0.0,0
building00,ideal_10hz,aoi_0.5s,local_10s,1.0,0.8509776897234905,1.0,0.8509776897234905,0.0,0.0,1
building00,ideal_10hz,aoi_0.5s,local_1s,1.0,0.9633871840898083,1.0,0.9633871840898083,0.0,0.0,1
building00,ideal_10hz,aoi_0.5s,local_5s,1.0,0.8435543357063212,1.0,0.8435543357063212,0.0,0.0,1
building00,ideal_10hz,original,global,1.0,0.0018788965752839695,1.0,0.0018788965752839695,0.0,0.0,0
building00,ideal_10hz,original,local_10s,1.0,0.8509776897234905,1.0,0.8509776897234905,0.0,0.0,1
building00,ideal_10hz,original,local_1s,1.0,0.9633871840898083,1.0,0.9633871840898083,0.0,0.0,1
building00,ideal_10hz,original,local_5s,1.0,0.8435543357063212,1.0,0.8435543357063212,0.0,0.0,1
building00,nominal_5hz,aoi_0.2s,global,1.0,0.04344236627095966,0.6910923221453582,0.02058245793833803,0.15224186523187244,0.5333333333334546,0
building00,nominal_5hz,aoi_0.2s,local_10s,1.0,0.7953312085450944,0.6910155913515376,0.5603698280070061,0.15226117667327024,0.5333333333334546,0
building00,nominal_5hz,aoi_0.2s,local_1s,1.0,0.8493033592614753,0.691084708094709,0.6103940507735705,0.15224378151978754,0.5333333333334546,0
building00,nominal_5hz,aoi_0.2s,local_5s,1.0,0.743517168424965,0.6910541212796981,0.5355805243445694,0.15225147954369966,0.5333333333334546,0
building00,nominal_5hz,aoi_0.3s,global,1.0,0.04344236627095966,0.9912318159820082,0.04199049164460387,0.15224186523187244,0.5333333333334546,0
building00,nominal_5hz,aoi_0.3s,local_10s,1.0,0.7953312085450944,0.9911562867889856,0.7886984236368336,0.15226117667327024,0.5333333333334546,0
building00,nominal_5hz,aoi_0.3s,local_1s,1.0,0.8493033592614753,0.9912243211670514,0.849189389406502,0.15224378151978754,0.5333333333334546,1
building00,nominal_5hz,aoi_0.3s,local_5s,1.0,0.743517168424965,0.991194213340195,0.7428024130142665,0.15225147954369966,0.5333333333334546,0
building00,nominal_5hz,aoi_0.5s,global,1.0,0.04344236627095966,0.999943063740143,0.04341389814103112,0.15224186523187244,0.5333333333334546,0
building00,nominal_5hz,aoi_0.5s,local_10s,1.0,0.7953312085450944,0.9999425732908375,0.7953312085450944,0.15226117667327024,0.5333333333334546,0
building00,nominal_5hz,aoi_0.5s,local_1s,1.0,0.8493033592614753,0.9999430150725134,0.8493033592614753,0.15224378151978754,0.5333333333334546,1
building00,nominal_5hz,aoi_0.5s,local_5s,1.0,0.743517168424965,0.9999428195671441,0.743517168424965,0.15225147954369966,0.5333333333334546,0
building00,nominal_5hz,original,global,1.0,0.04344236627095966,1.0,0.04344236627095966,0.15224186523187244,0.5333333333334546,0
building00,nominal_5hz,original,local_10s,1.0,0.7953312085450944,1.0,0.7953312085450944,0.15226117667327024,0.5333333333334546,0
building00,nominal_5hz,original,local_1s,1.0,0.8493033592614753,0.9999715075362566,0.8493033592614753,0.15224378151978754,0.5333333333334546,1
building00,nominal_5hz,original,local_5s,1.0,0.743517168424965,1.0,0.743517168424965,0.15225147954369966,0.5333333333334546,0
