sequence,replicate,condition,random_seed,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,arrived_within_run_packets,random_lost_packets,burst_lost_packets,lost_packets,realized_loss_fraction,burst_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms
building00,replicate_01_base42,ideal_10hz,2862434894651800903,10.0,10.000832778147908,12009,12009,12009,0,0,0,0.0,0.0,0.0,0.0,0.0
building00,replicate_01_base42,nominal_5hz,14465920873225767442,5.0,4.941705529646905,6005,5935,5934,70,0,70,0.011656952539550375,0.0,50.064596377970666,83.08922351520798,123.43618767512913
building00,replicate_01_base42,degraded_2hz,14689066583428873464,2.0,1.9095602931379092,2402,2293,2293,109,0,109,0.04537885095753539,0.0,200.29752005408469,279.96747072121326,373.01109281257897
building00,replicate_01_base42,stress_1hz,12524719900441615419,1.0,0.9152231845436382,1201,1099,1099,102,0,102,0.08492922564529559,0.0,299.28541661722153,468.1582404630106,641.315013918672
building00,replicate_01_base42,burst_5hz_1s_every_8s,147670846019478154,5.0,4.335443037974686,6005,5206,5206,52,755,799,0.13305578684429642,0.1257285595337219,49.85765520954463,82.5129433846675,113.65964477632127
building00,replicate_01_base42,burst_2hz_2s_every_10s,11696615017787421191,2.0,1.5239840106595612,2402,1830,1830,110,482,572,0.23813488759367193,0.2006661115736886,199.52522639005687,282.9784408159778,362.49171000904096
building01,replicate_01_base42,ideal_10hz,14089235486217040763,10.0,10.000730566919936,13689,13689,13689,0,0,0,0.0,0.0,0.0,0.0,0.0
building01,replicate_01_base42,nominal_5hz,1827920218384845308,5.0,4.9430157802454735,6845,6767,6766,78,0,78,0.01139517896274653,0.0,50.17684068160198,82.88422311041393,124.56203959182399
building01,replicate_01_base42,degraded_2hz,2041342268074114577,2.0,1.9016656925774411,2738,2603,2603,135,0,135,0.049306062819576335,0.0,198.70436237584255,280.956756699873,369.0643844750431
building01,replicate_01_base42,stress_1hz,1555121773122575026,1.0,0.8920222092343664,1369,1221,1221,148,0,148,0.10810810810810811,0.0,302.3146704340152,461.25097403796485,599.3459269144904
building01,replicate_01_base42,burst_5hz_1s_every_8s,2766596941447605104,5.0,4.331531268264175,6845,5929,5929,63,860,916,0.13382030679327978,0.1256391526661797,49.888862162501724,82.62987031088835,116.70885112870181
