fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error
1,building00,fixed_v5,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.7546528751688029,1.4401997575751475,2.8557908855176586,4.723251806019064,0.9898420620417886,0.8229232325917959,2.5879413476082234,0.15034804890300982,0.39002794613301733,0.6033724620250147,1.3659850747194817,0.19601544436676535,0.00011726484911448719,1.023010241669905,1198,479,37,682,56.92821368948247,55.899999999999636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
1,building00,heuristic_v6,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.9835169198894853,1.4238463732418842,3.5872869187686387,4.6833728646395025,1.2438183733739319,0.7079510006542364,2.368781281754179,0.1509194236587466,0.4048541105438353,0.6194276722511692,1.3762284581885227,0.2723360125602789,0.00016292308763980683,1.0215511602589535,1198,645,25,528,44.073455759599334,43.899999999999636,0.0,0.0,0.0,0.0,0.0,0.0,1.9837414026260376,2.4422736167907715,3.698627233505249,1.4120701551437378,2.4699532985687256,6.877200126647949,
1,building00,gru_dynamics,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.9059937182741666,1.4321769519814682,3.764630139071393,5.445577536598841,1.0148349433029442,0.7284095778519902,2.30143857302317,0.12357153455470266,0.3295720533473985,0.5085442463010352,1.3952639914492884,0.290773297308042,0.0001739530624512909,1.0096638591889693,1198,633,25,540,45.075125208681136,55.899999999999636,0.023662695661187172,0.051674988120794296,0.17661628127098083,0.02450372651219368,0.0916467234492302,0.282792329788208,1.0,1.0,1.0,1.0,1.0,1.0,
1,building00,gru_q,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,2.1488096374313344,1.4213575450127285,3.9227716690235668,8.309223571780192,1.3681682656631735,1.386790317807854,5.228371278365929,0.2401179710241917,0.6308328698518441,0.9852847431933875,1.368855514764391,0.38650378506415123,0.00023122314766647285,1.0308919259049238,1198,686,21,491,40.98497495826377,43.899999999999636,0.0,0.0,0.0,0.0,0.0,0.0,1.0677735805511475,1.3160932064056396,7.252319812774658,2.569916248321533,9.472047805786133,9.999848365783691,
1,building00,gru_dual,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.8403511071691625,1.4356959515882401,3.3967126694767624,3.9402347963640025,0.9682196576405419,0.7102846689273243,1.9821289138134768,0.11885593401053109,0.3144704184321019,0.4851890054037237,2.4774184907365515,0.870382062765859,0.0005206998948063496,1.0102630300482836,1198,587,29,582,48.580968280467445,40.899999999999636,0.024344254285097122,0.053910549730062485,0.27070701122283936,0.024004651233553886,0.09254136681556702,0.2829025387763977,1.061241626739502,1.1034018993377686,7.982466697692871,1.0173124074935913,1.0269076824188232,6.609854698181152,
2,building01,fixed_v5,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.6456396936637265,1.4221504400265197,2.456528428940967,5.079147998206497,0.9164405870650781,1.4524312495954146,4.17327722656234,0.11887538702500891,0.3233073406325178,0.5123226722221224,0.30649497171699586,1.2492981257299787,0.00072314407572386,1.0220578407255336,1365,601,30,734,53.772893772893774,114.89999999999964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
2,building01,heuristic_v6,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.625502131841386,1.3993367891985844,2.7171528826055003,4.427360750218673,0.8131633399490027,1.4728268317912407,4.475944568732036,0.1373611580399412,0.3523527404162983,0.5267826701480899,0.27882743921673325,1.0468698347503027,0.0006059704272840017,1.020080644845174,1365,856,10,499,36.556776556776555,114.89999999999964,0.0,0.0,0.0,0.0,0.0,0.0,1.9487345218658447,2.418663740158081,3.4686872959136963,1.3955166339874268,2.3235080242156982,5.245031356811523,
2,building01,gru_dynamics,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,2.380479552343748,1.4292472474650113,5.363366183770922,7.14445308504766,1.6963177080011034,1.8581604666262121,10.365788095278697,0.17935533801590756,0.43057835686283774,0.6829894323555211,2.5802284333523233,1.0823104737469122,0.0006264848966507841,1.0145367342219829,1365,682,19,664,48.64468864468864,110.89999999999964,0.02242404595017433,0.0499008372426033,0.18681848049163818,0.02102670446038246,0.0792590007185936,0.24924007058143616,1.0,1.0,1.0,1.0,1.0,1.0,
2,building01,gru_q,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,3.1523150672079217,1.5211889315935674,6.371046047599256,14.134620579927804,2.481415827044597,2.531865291422404,9.739608882533581,0.3000424519888528,0.743358777452565,1.170007904732372,14.129514211060107,13.921381361780844,0.008058256272322529,1.037611921310846,1365,580,23,762,55.824175824175825,114.89999999999964,0.0,0.0,0.0,0.0,0.0,0.0,1.124212622642517,1.570162057876587,8.718579292297363,2.2872157096862793,7.981520652770996,9.999286651611328,
2,building01,gru_dual,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.530515708034674,1.4017277145241216,2.0187852183807418,4.446937259473244,0.645005100101731,1.0235505616166314,3.3737135612292812,0.10295991539816511,0.2662405309838503,0.42593089128227263,1.2727161157415554,0.27867279539932993,0.00016130703865475032,1.0099525843075194,1365,785,14,566,41.46520146520147,104.89999999999964,0.02161622792482376,0.04942353069782257,0.11756755411624908,0.02078334055840969,0.078999362885952,0.26284751296043396,1.1150932312011719,1.3764513731002808,9.265047073364258,1.0172535181045532,1.0542869567871094,3.366894245147705,
3,building02,fixed_v5,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,3.246992821935315,0.37515788055528465,7.7438920168430005,11.18264651599956,2.81402823050099,1.5130682077721165,5.496227615544539,0.25102260697858064,0.5787127453438459,0.8493990354134562,0.10439850026291707,1.1966794097309956,0.00047477921367317197,1.0229015542369035,1872,1094,37,741,39.583333333333336,59.90000000002328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
3,building02,heuristic_v6,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,15.668121440553497,0.37046795723731224,43.539228913356396,48.617929202370675,13.215087171707355,3.486512653819943,16.390044765638724,0.4137802071371858,1.1542211427533862,1.6401366722404758,0.1043982005349718,5.206495316268,0.002065662475805818,1.0231643647009603,1872,1241,10,621,33.17307692307692,379.9000000000233,0.0,0.0,0.0,0.0,0.0,0.0,1.9543240070343018,2.4800336360931396,3.8828189373016357,1.3481907844543457,2.438131332397461,5.196831703186035,
3,building02,gru_dynamics,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.5713598089977836,0.3593068946654592,4.486523039409368,4.653923067956194,1.5356255440699458,0.6896485669469687,2.7859264676334448,0.10801835341238607,0.2741941549142508,0.424946002327593,0.1068230684655846,0.19356530860125779,7.679649559005e-05,1.0056555301796737,1872,1453,19,400,21.367521367521366,32.90000000002328,0.022534750401973724,0.05554572492837906,0.2648225426673889,0.022118395194411278,0.09037836641073227,0.26294127106666565,1.0,1.0,1.0,1.0,1.0,1.0,
3,building02,gru_q,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,27.569340559313304,0.36785058150803224,78.35363772612511,86.39627160124647,23.418765250836206,4.49292641148097,21.879081702396718,1.3551846179144689,3.1340213540419035,4.390188883675677,0.10439844656471588,9.822829281588012,0.0038971800838509653,1.0402666137424683,1872,1245,12,615,32.8525641025641,366.9000000000233,0.0,0.0,0.0,0.0,0.0,0.0,1.1817976236343384,1.9401087760925293,6.317781925201416,2.488837718963623,9.48869800567627,9.99994945526123,
3,building02,gru_dual,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.5945256168052266,0.35148146216095383,4.5733601219148,4.826029405829252,1.5474780864759559,0.6677971359011191,2.3596037137132777,0.09947265894180049,0.2426169848375351,0.3836743936561019,0.10704335478722084,0.22722651826641269,9.015148651422958e-05,1.0051636037140632,1872,1480,17,375,20.03205128205128,33.90000000002328,0.021433018147945404,0.052122026681900024,0.19513452053070068,0.022700905799865723,0.09248732775449753,0.26305025815963745,1.055393934249878,1.181788444519043,8.241086959838867,1.0087296962738037,1.0200910568237305,3.651554584503174,
4,parking00,fixed_v5,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.0079633718016123,2.068000232002851,2.7680770661412395,3.433385789443135,1.0611407778652011,0.9956071288319234,3.461801582327646,0.15147264146205355,0.39462924858506804,0.6194895393431619,1.8542154157942388,0.27952189391984966,0.00017674901844533746,1.0173556220395221,1140,434,25,681,59.73684210526316,135.89999999999418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
4,parking00,heuristic_v6,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,1.8580525511147912,1.9571907242016744,2.3883600236890516,3.2338061422982585,0.9930204244199013,1.0522717360877252,3.4540383767162823,0.16991457514553113,0.42390228380721706,0.6497551551924771,2.1148917637773854,0.4863765185887986,0.00030754861828490867,1.011888996092612,1140,715,2,423,37.10526315789474,135.89999999999418,0.0,0.0,0.0,0.0,0.0,0.0,2.0274105072021484,2.5212223529815674,4.535026550292969,1.3741272687911987,2.3167009353637695,7.1806559562683105,
4,parking00,gru_dynamics,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.147023142809946,2.057282565165265,3.1083312110627506,5.263256793827617,0.7467833081281405,0.6302886781797516,2.40281227761768,0.12938427843449285,0.31032899574501516,0.4417397031086162,2.1275470285678275,0.29000131391947603,0.00018337543032612383,1.0042826921356183,1140,704,2,434,38.07017543859649,135.89999999999418,0.02359946258366108,0.056349098682403564,0.11887700855731964,0.021084904670715332,0.07705593854188919,0.2767683267593384,1.0,1.0,1.0,1.0,1.0,1.0,
