replicate,fold,sequence,n_samples,true_delta_v_mean_mps,v1_delta_v_mean_mps,delta_v_prediction_rmse_mps,delta_v_prediction_mae_mps,delta_v_prediction_correlation,remaining_mean_velocity_residual_mps,true_delta_omega_mean_radps,v1_delta_omega_mean_radps,delta_omega_prediction_rmse_radps,delta_omega_prediction_mae_radps,delta_omega_prediction_correlation,remaining_mean_yaw_residual_radps,remaining_mean_yaw_residual_deg_per_min
replicate_01_base42,1,building00,12009,-0.02178054854819371,-0.023158356571259975,0.055009195424922754,0.03784572713154287,0.2615944628278189,0.001377808023066259,0.0001451308791218901,0.0002592773254606528,0.006165798504181772,0.003992279861641572,0.9888557802219098,-0.00011414644633876279,-0.3924065772976581
replicate_01_base42,2,building01,13689,-0.020431343965525515,-0.01913523868609214,0.059692103767357826,0.03444902460442423,0.3375122989439615,-0.001296105279433374,0.0005902310875798406,-7.92746638207685e-05,0.004759731324412545,0.003164522692995346,0.9908231113908916,0.0006695057514006091,2.301591234899388
replicate_01_base42,3,building02,18714,-0.021041563676544663,-0.019203137390588636,0.046406998751260725,0.029498510611014637,0.377751198397714,-0.0018384262859560308,0.0004070682321160223,0.0002240411816837287,0.005575541694562897,0.0036003255789369684,0.9903969462903937,0.00018302705043229356,0.6292006515899095
replicate_01_base42,4,parking00,11409,-0.020290981381348175,-0.019786400713015743,0.0579190129166959,0.03249998422359243,0.3646794449955947,-0.000504580668332432,0.0004067370358943131,0.0002465305489102015,0.0056103384338108955,0.003325374097212988,0.9880609089618932,0.0001602064869841116,0.5507493332884291
replicate_01_base42,5,parking01,10599,-0.019050723215280008,-0.020508731834353082,0.055560269444523865,0.026990879236667743,0.40695747875093813,0.0014580086190730725,0.0007447162421465136,0.0004745565282517719,0.004251507673306116,0.0023236529251563502,0.9909372157028538,0.00027015971389474184,0.9287406840378318
replicate_01_base42,6,parking02,12569,-0.018213254008098992,-0.01864268482340937,0.05173670914513337,0.024333950874735322,0.449531484477713,0.0004294308153103799,0.0010008592834475432,0.0008152217704490173,0.003986195082751164,0.0023209582806971245,0.9914417234297096,0.00018563751299852576,0.638174760847229
replicate_01_base42,7,playground00,13263,-0.025814852662678845,-0.02088669280606822,0.039557652353852495,0.029213677017815604,0.4074085349170279,-0.004928159856610626,0.00016972158417089044,-0.00015596038527169944,0.0072670590972233546,0.005254664454727844,0.9783151266898363,0.0003256819694425899,1.119612138754143
replicate_01_base42,8,street00,13738,-0.018633160948584953,-0.018461582634860974,0.029110597229625154,0.02068269513141844,0.2944511131983679,-0.0001715783137239824,0.00014093913896522857,0.00017798368785155042,0.0028026065030541548,0.001913754215980975,0.9913837165764652,-3.704454888632187e-05,-0.12734977830913785
replicate_01_base42,9,street01,12483,-0.020225379256840877,-0.019739756096378756,0.033441077886224656,0.023296792096977395,0.4781202189458199,-0.0004856231604621202,0.0004471794169526244,0.0006044881192355123,0.013012793626571513,0.004345714385787426,0.9811584437008238,-0.00015730870228288787,-0.5407874832893671
replicate_01_base42,10,street02,13799,-0.019800506567723926,-0.020702116849045438,0.03668426417540557,0.022958095056352934,0.3044582817942406,0.0009016102813215089,0.0002583022909891212,0.00019311640114896006,0.008302648959078469,0.0031796437062060357,0.990495784410374,6.518588984016117e-05,0.22409258229875686
replicate_02_base1042,1,building00,12009,-0.02178054854819371,-0.023159962437171375,0.0550651356252384,0.03786682746330852,0.26142014986937856,0.0013794138889776588,0.0001451308791218901,-4.2045202015444264e-05,0.006149032851311761,0.003995752248199275,0.9889272692777572,0.00018717608113733437,0.6434639684980511
replicate_02_base1042,2,building01,13689,-0.020431343965525515,-0.020080799456057494,0.05954332701148572,0.034346976222427654,0.34296399746907485,-0.00035054450946802256,0.0005902310875798406,0.00016818393035739643,0.004723080286689488,0.0030922496077625482,0.9908565151896477,0.0004220471572224441,1.450891251860421
replicate_02_base1042,3,building02,18714,-0.021041563676544663,-0.02090722180303694,0.04620326130661712,0.029417027824241854,0.38544886512217547,-0.0001343418735077268,0.0004070682321160223,0.000322650888859581,0.0055138426065825365,0.0035014977135534035,0.9907078241831947,8.441734325644123e-05,0.2902054491780746
replicate_02_base1042,4,parking00,11409,-0.020290981381348175,-0.021088279531763853,0.05785075907281139,0.03248040474519732,0.3677549205951832,0.0007972981504156789,0.0004067370358943131,0.0007595664652172495,0.005554104599325022,0.0032441978584978673,0.9883375350884547,-0.00035282942932293645,-1.2129382312928176
replicate_02_base1042,5,parking01,10599,-0.019050723215280008,-0.01888933879382305,0.05530020200618475,0.02697870341255966,0.4197009271458479,-0.00016138442145695865,0.0007447162421465136,0.0004513548728516675,0.004221707769771981,0.0023014123170549475,0.9910772263605793,0.00029336136929484623,1.0085020999664058
replicate_02_base1042,6,parking02,12569,-0.018213254008098992,-0.01924442899313068,0.052408608608383256,0.024401421037398056,0.422127451652204,0.0010311749850316864,0.0010008592834475432,0.00039926059125224727,0.003945632648693605,0.0022766291883553193,0.991424501011271,0.0006015986921952958,2.068143961402821
replicate_02_base1042,7,playground00,13263,-0.025814852662678845,-0.02064998631369272,0.04015062786667293,0.029427878626856308,0.3823889778463572,-0.005164866348986129,0.00016972158417089044,0.00046804809538817543,0.007210790500248351,0.005193337272690377,0.9786644123856854,-0.000298326511217285,-1.0255710005767587
replicate_02_base1042,8,street00,13738,-0.018633160948584953,-0.018982007454096523,0.029077072184324256,0.020635640625014457,0.284225667956503,0.0003488465055115663,0.00014093913896522857,0.0005657806794831563,0.002928974033131072,0.0020073520775745605,0.9909610939402534,-0.00042484154051792764,-1.460497634010805
