fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error,replicate,base_seed_inferred,checkpoint_sha256,checkpoint_relative_path,trajectory_relative_path,trajectory_sha256
1,building00,gru_dual,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.9189025804548347,1.4334901451161108,3.727252117209719,5.169888898346076,1.0311100062402332,0.7250630090740403,2.203970410388893,0.12941532653794116,0.3411047927271458,0.5254051748521131,2.300588065191291,0.6369161390612519,0.0003810305620910699,1.0098157680624402,1198,620,26,552,46.07679465776294,55.899999999999636,0.02430434338748455,0.050944749265909195,0.21307866275310516,0.024424489587545395,0.09083355218172073,0.2828463017940521,1.0453799962997437,1.0623959302902222,7.683664798736572,1.0131630897521973,1.013932704925537,5.4590349197387695,,replicate_01_base42,42,be181def8a2bb4c9c6c0e3a4008524f11e02da6457bce0801731ba09c3ead9fc,checkpoints\replicate_01_base42\fold_01_building00\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_01_building00_gru_dual_trajectory.csv,17d6794a211b272cb98d25ae8399b362ddabc2f6f583f148f86d8491ef8ab67a
2,building01,gru_dual,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.7266782468596558,1.4130446592746766,3.1484901151915623,5.219362155318305,0.8831749219078194,1.6185675598542075,5.094128832079052,0.11679089782948002,0.30523754607222037,0.500123847324503,1.2704030568554017,0.4715291088298559,0.0002729400409389241,1.0116873149868215,1365,784,14,567,41.53846153846154,104.89999999999964,0.021795401349663734,0.04960891976952553,0.15221461653709412,0.020832113921642303,0.07857943326234818,0.24927791953086853,1.1041091680526733,1.2523525953292847,9.316023826599121,1.016446590423584,1.0464822053909302,3.9456920623779297,,replicate_01_base42,42,0b5ce0117f42c8596e4bf8cdef8f6f4098748a47755f124d53911b817fdcd04c,checkpoints\replicate_01_base42\fold_02_building01\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_02_building01_gru_dual_trajectory.csv,ceb6582dde17a77e3bf3f563101569f4bc93ca3d093b5372d536b339059b02a3
3,building02,gru_dual,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.7279506357109093,0.35731227251045006,4.697964473001203,5.245495572246352,1.7034972180870802,0.8903060656408993,3.2613049821686912,0.1260677753987249,0.3257581348572625,0.5144021285434536,0.10908976361361851,0.18431773756609912,7.312754760886397e-05,1.0080138423890745,1872,1426,19,427,22.80982905982906,34.90000000002328,0.021570459008216858,0.0523819774389267,0.2443930059671402,0.02274758741259575,0.09259885549545288,0.26242440938949585,1.0653523206710815,1.2218832969665527,8.111356735229492,1.009242296218872,1.0228259563446045,3.229523181915283,,replicate_01_base42,42,d18d160a06a994b60fe9bd4187733dd8621c7cf284586fe75913997f6d43f463,checkpoints\replicate_01_base42\fold_03_building02\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_03_building02_gru_dual_trajectory.csv,eac5e532f06058cce1dc737a653bd732db5ad463b6f88272adce2a7a9199df7c
4,parking00,gru_dual,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.0303477984514955,2.034158228533,2.9131306336412575,3.515410253145889,0.6924261610038611,0.8393099361668915,2.415962308118652,0.0798858185160516,0.22613742768431522,0.3692294397187942,2.123676084119248,0.5184998090222372,0.0003278610166223814,1.002446311799873,1140,702,2,436,38.24561403508772,135.89999999999418,0.022059908136725426,0.051579248160123825,0.11962904036045074,0.021519703790545464,0.07858317345380783,0.2768266797065735,1.0530738830566406,1.1570075750350952,5.06919002532959,1.0084228515625,1.0165940523147583,3.8347861766815186,,replicate_01_base42,42,4f9213efacb0ffb869873e2d26ac29da50db5e473fac369885119f2eea158845,checkpoints\replicate_01_base42\fold_04_parking00\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_04_parking00_gru_dual_trajectory.csv,5c4983ad35fd0aa82e1df7499ae071c783626a1ffcbb3ae64acfea54896f3817
5,parking01,gru_dual,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.357292598162787,3.9686932135420925,10.59447297874319,12.2700187130919,2.941298613759877,7.287398848763421,15.562905501298124,0.02294023614309265,0.0838176776259253,0.15387215959431905,7.163609656477346,4.624746112842218,0.003781505822192357,0.9980397720677525,0,0,0,0,0.0,0.0,0.022985870018601418,0.054608866572380066,0.10243545472621918,0.016581431031227112,0.07363936305046082,0.27351129055023193,1.2126539945602417,2.082280397415161,8.085670471191406,1.0360677242279053,1.1679141521453857,6.385337829589844,,replicate_01_base42,42,8bcdfefeeffb2f0271b81456636c8e9d2ae57c37ca54d5704a8c52ba6a0dd15d,checkpoints\replicate_01_base42\fold_05_parking01\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_05_parking01_gru_dual_trajectory.csv,201b07c5456533991ec39d17fca3d123ec2d0abc2d6dd228bb022ecf1ad743a5
6,parking02,gru_dual,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,5.48251232659295,3.861547091693772,10.999073915308704,13.316014895123283,2.6536514645656073,7.921207944546653,13.903561523067081,0.019226747905246595,0.06012802004080546,0.11088853013964856,11.006874515773404,4.972572197724593,0.003450710732513297,0.9991834519788187,0,0,0,0,0.0,0.0,0.021417398005723953,0.05090256780385971,0.16711857914924622,0.016594557091593742,0.0707491934299469,0.27654021978378296,1.1516250371932983,1.5715864896774292,8.898200035095215,1.0159040689468384,1.0536282062530518,4.5956621170043945,,replicate_01_base42,42,32bff218f740b8d3f9590f27de26d60a4238f49634e5ae659cbcf5894983e209,checkpoints\replicate_01_base42\fold_06_parking02\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_06_parking02_gru_dual_trajectory.csv,4a8a37a8e23829a85e8caecfec501a7d28e58193d0138a9575d749dac7d96458
7,playground00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.24087180101258987,0.2282421786332917,0.37144719927914266,0.4250694084247502,0.2062404702306105,0.4069770268691805,0.8147517999174565,0.016080086351038168,0.06051781165669429,0.11556992194701181,0.025355904006808982,0.09365846191137875,5.480439261796954e-05,1.001373072737916,1326,1326,0,0,0.0,0.9000000000232831,0.022177115082740784,0.05372443050146103,0.16618092358112335,0.020125769078731537,0.0755276158452034,0.2397509515285492,1.0455448627471924,1.1067453622817993,5.82553768157959,1.0059555768966675,1.0056976079940796,4.432621479034424,,replicate_01_base42,42,4a6bc8c10a08ad4cc29cfdfab990c8caf288462adcdfc0733e62882aa429cf02,checkpoints\replicate_01_base42\fold_07_playground00\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_07_playground00_gru_dual_trajectory.csv,f1c981a8d15fadf5ddaafa7bda3ed1f3184b406804fe880744afc237841e722d
8,street00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.2970567408705436,0.23778736823659125,0.5132771143253667,0.585612503484784,0.25956848527201337,0.31998841547661194,0.8036168880130807,0.01800115586225911,0.06628949274574199,0.11679909410660161,0.02416325810089704,0.13074865883600917,7.843622550046958e-05,1.0014881993192173,1373,1373,0,0,0.0,0.9000000000087311,0.01924038492143154,0.038408901542425156,0.2796255350112915,0.012869110330939293,0.046621039509773254,0.19072425365447998,1.0183569192886353,1.0250645875930786,6.422481060028076,1.0027726888656616,1.001657247543335,4.297076225280762,,replicate_01_base42,42,594dd796ff05e26fdee161db0075022dcc39afed7b915e1583ff0937e9052ecb,checkpoints\replicate_01_base42\fold_08_street00\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_08_street00_gru_dual_trajectory.csv,1125f4a5c395e2922bfdd15bc7eb2730ba37e55a9b55ef3d49d99ce2d462ec38
9,street01,gru_dual,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.4040548370682865,0.2567647314659211,0.7624192259219091,1.1871367940133837,0.3373146882418845,0.4482636446665891,1.2699907464212985,0.04517610832474168,0.12837337288686823,0.2153258428886891,0.09609315279550472,0.12594685476793377,7.589498115174073e-05,1.0008018776119996,1248,1207,2,39,3.125,11.900000000008731,0.02184155583381653,0.05071256309747696,0.10647697001695633,0.022028522565960884,0.1363026648759842,0.19995038211345673,1.0482910871505737,1.1756515502929688,4.546737194061279,1.0309138298034668,1.0218663215637207,8.76756763458252,,replicate_01_base42,42,18de4407947b5934077abea64e3ad2739864a88cb80f840714866d0ddb602f9c,checkpoints\replicate_01_base42\fold_09_street01\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_09_street01_gru_dual_trajectory.csv,976cec6582cee806e483c8a2ba34b8737531fd778faea11639310e3e945c0451
10,street02,gru_dual,ok,"building02,parking00,parking01,parking02,playground00,street00,street01","building00,building01",13799,1379.800000000003,OEM719_RTK,ODO_SPEED,0.4627019671247089,0.2762329999926462,0.8483787554783171,0.9678062361209838,0.3560934246399546,0.492107792534666,1.2789678941467102,0.03348067327190724,0.10231329733527211,0.17793698022438298,0.08009998840308874,0.16191644826773427,8.77115198572253e-05,1.000661430106045,1379,1241,10,128,9.282088469905728,11.900000000008731,0.021891161799430847,0.04268874600529671,0.11904951930046082,0.024527065455913544,0.1519976556301117,0.2387317568063736,1.0194346904754639,1.0322390794754028,4.358880996704102,1.04736328125,1.0066183805465698,9.288481712341309,,replicate_01_base42,42,ae442f749660cfad44ebf58f042ce05d779b8d3fc330371db729763c1fff52d7,checkpoints\replicate_01_base42\fold_10_street02\gru_dual.pt,canonical_predictions\replicate_01_base42\fold_10_street02_gru_dual_trajectory.csv,0f453ca4450405b9edccbcf557f42517d6fd6d4c02c15432499f37760fb87344
