============================================================================================================
ORIGINAL DUAL-GRU — 10-FOLD × 3-SEED DETERMINISTIC REPRODUCIBILITY STUDY
============================================================================================================
Device: cuda
GPU: Tesla T4
Git commit: 9bd1f06a415bcc47e416797226dade06094b8216
Base seeds: [42, 1042, 2042]
Sequences: building00, building01, building02, parking00, parking01, parking02, playground00, street00, street01, street02
Strict deterministic algorithms: True
No V2/V3/V3.1/V3.2 model is trained in this notebook.

Preparing sequences using ORIGINAL LOSO pipeline...
  building00     12009 samples
  building01     13689 samples
  building02     18714 samples
  parking00      11409 samples
  parking01      10599 samples
  parking02      12569 samples
  playground00   13263 samples
  street00       13738 samples
  street01       12483 samples
  street02       13799 samples

Existing completed runs: 0/30

============================================================================================================
RUN 1/30 | replicate=1/3 | test=building00 | base_seed=42 | method_seed=45
VAL  : building01, building02
TRAIN: parking00, parking01, parking02, playground00, street00, street01, street02
============================================================================================================
      dual     epoch=001 train=0.34058 val=0.20162
      dual     epoch=002 train=0.21588 val=0.16757
      dual     epoch=003 train=0.20151 val=0.15755
      dual     epoch=004 train=0.19614 val=0.15219
      dual     epoch=005 train=0.19360 val=0.14623
      dual     epoch=006 train=0.06476 val=0.11084
      dual     epoch=007 train=0.05341 val=0.11130
      dual     epoch=008 train=0.05219 val=0.10989
      dual     epoch=009 train=0.05060 val=0.11014
      dual     epoch=010 train=0.05010 val=0.10928
      dual     epoch=011 train=0.04906 val=0.11003
      dual     epoch=012 train=0.04900 val=0.10936
      dual     epoch=013 train=0.04886 val=0.10936
      dual     epoch=014 train=0.04819 val=0.10877
      dual     epoch=015 train=0.04776 val=0.10878
      dual     epoch=016 train=0.04749 val=0.10856
      dual     epoch=017 train=0.04708 val=0.10834
      dual     epoch=018 train=0.04675 val=0.10850
      dual     epoch=019 train=0.04652 val=0.10763
      dual     epoch=020 train=0.04575 val=0.10707
      dual     epoch=021 train=0.04535 val=0.10732
      dual     epoch=022 train=0.04517 val=0.10691
      dual     epoch=023 train=0.04445 val=0.10774
      dual     epoch=024 train=0.04400 val=0.10614
      dual     epoch=025 train=0.04345 val=0.10699
      dual     epoch=026 train=0.04284 val=0.10530
      dual     epoch=027 train=0.04259 val=0.10483
      dual     epoch=028 train=0.04211 val=0.10406
      dual     epoch=029 train=0.04147 val=0.10359
      dual     epoch=030 train=0.04096 val=0.10294
      dual     epoch=031 train=0.04044 val=0.10264
      dual     epoch=032 train=0.04023 val=0.10242
      dual     epoch=033 train=0.03967 val=0.10146
      dual     epoch=034 train=0.03948 val=0.10136
      dual     epoch=035 train=0.03880 val=0.10132
      dual     epoch=036 train=0.03882 val=0.10150
      dual     epoch=037 train=0.03897 val=0.10083
      dual     epoch=038 train=0.03863 val=0.10064
      dual     epoch=039 train=0.03809 val=0.10066
      dual     epoch=040 train=0.03813 val=0.10075
      dual     epoch=041 train=0.03756 val=0.10150
      dual     epoch=042 train=0.03703 val=0.10072
      dual     epoch=043 train=0.03754 val=0.10125
      dual     epoch=044 train=0.03688 val=0.09978
      dual     epoch=045 train=0.03660 val=0.10082
      dual     epoch=046 train=0.03621 val=0.09974
      dual     epoch=047 train=0.03615 val=0.10038
      dual     epoch=048 train=0.03581 val=0.10066
      dual     epoch=049 train=0.03546 val=0.10091
      dual     epoch=050 train=0.03505 val=0.09994
      dual     epoch=051 train=0.03424 val=0.09969
      dual     epoch=052 train=0.03410 val=0.09960
      dual     epoch=053 train=0.03303 val=0.10101
      dual     epoch=054 train=0.03302 val=0.09980
      dual     epoch=055 train=0.03235 val=0.09979
      dual     epoch=056 train=0.03200 val=0.09950
      dual     epoch=057 train=0.03110 val=0.09985
      dual     epoch=058 train=0.03082 val=0.09855
      dual     epoch=059 train=0.03025 val=0.09878
      dual     epoch=060 train=0.03004 val=0.10052
RESULT building00 seed#1: ATE=1.919 m | RPE5=0.341 m | RPE10=0.525 m | heading=0.73°

============================================================================================================
RUN 2/30 | replicate=1/3 | test=building01 | base_seed=42 | method_seed=145
VAL  : building02, parking00
TRAIN: building00, parking01, parking02, playground00, street00, street01, street02
============================================================================================================
      dual     epoch=001 train=0.36642 val=0.23680
