test_sequence,replicate,base_seed,method_seed,ate_rmse_m,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,heading_mae_deg,gnss_free_ate_rmse_m,gnss_fused_ate_rmse_m,se2_ate_rmse
building00,1,42,45,1.9189162443725711,0.12941923308090245,0.3411150648761649,0.5254215061843448,0.7250721820003485,nan,nan,nan
building01,1,42,145,1.7266992163935713,0.1167932769758282,0.3052435756438536,0.5001341053465805,1.6186057206922282,nan,nan,nan
building02,1,42,245,1.7280404577880324,0.12608302590904102,0.32580011164030054,0.5144608598337368,0.8905354004382335,nan,nan,nan
parking00,1,42,345,2.03036040554158,0.07985564232872254,0.22606537500780569,0.3691201270724238,0.8391438734519631,nan,nan,nan
parking01,1,42,445,5.347201145410294,0.022940400233776928,0.08382214256630688,0.15388689001157044,7.273498251826091,nan,nan,nan
parking02,1,42,545,5.46338969539911,0.01922675186387373,0.06012975525594768,0.11089357015363277,7.891976384956393,nan,nan,nan
playground00,1,42,645,0.2408716176085985,0.016080117903135703,0.06051770069424109,0.11556959328779955,0.4069108433530019,nan,nan,nan
street00,1,42,745,0.2970559693670166,0.01800158813297455,0.06629281093605041,0.1168064210766298,0.3200331945916484,nan,nan,nan
street01,1,42,845,0.40405172600755174,0.045173254945754616,0.1283714532746207,0.21532893034526923,0.44839995426625234,nan,nan,nan
street02,1,42,945,0.4626970169224319,0.03347952574909335,0.10231199177568748,0.17793533786339766,0.4921304491595922,nan,nan,nan
building00,2,1042,1045,1.7901810777886882,0.1374639419786074,0.35444265202564007,0.537491177716973,0.8421255345425543,nan,nan,nan
building01,2,1042,1145,1.5633600803505912,0.09598138800855688,0.255907512887413,0.41437674792135554,1.0130570378260242,nan,nan,nan
building02,2,1042,1245,1.7270057733046253,0.12053176072400305,0.3105304672004945,0.4823263464649678,0.769679042794332,nan,nan,nan
parking00,2,1042,1345,2.1878564450732685,0.15237174158912625,0.3613431080579973,0.5167765398039643,0.683874099433684,nan,nan,nan
parking01,2,1042,1445,5.952625496101227,0.022653073670120157,0.08289773861308651,0.15355795121170732,8.216808138177193,nan,nan,nan
parking02,2,1042,1545,15.382843471760316,0.019256279191263763,0.05914266734852111,0.10981151397843955,22.36725688570377,nan,nan,nan
playground00,2,1042,1645,0.2408361449146827,0.014345140950564505,0.048610515028239244,0.0905850736283886,0.23974207056877214,nan,nan,nan
street00,2,1042,1745,0.2984460597282598,0.01750445758502971,0.06347588918293813,0.11070161432553531,0.2537418470143308,nan,nan,nan
street01,2,1042,1845,0.40094622921951434,0.041302185715890234,0.12010232645588516,0.20476447748055757,0.3899863867741429,nan,nan,nan
street02,2,1042,1945,0.458748152430074,0.03678506122630417,0.10813045272699572,0.18381729176429867,0.4804204058428629,nan,nan,nan
building00,3,2042,2045,1.933111989834674,0.10902846890345433,0.28655976316933074,0.4590811802056809,0.7287555664158183,nan,nan,nan
building01,3,2042,2145,1.5165315653711178,0.0947167238380655,0.24416901348043593,0.3875933745689043,0.8290462335745131,nan,nan,nan
building02,3,2042,2245,1.5298886643719494,0.10034544395323983,0.2712335987526198,0.4187231248751072,0.5359136031909809,nan,nan,nan
parking00,3,2042,2345,2.017501392131644,0.09128434926102723,0.2547042955465028,0.41503778910576705,0.8953504875105827,nan,nan,nan
parking01,3,2042,2445,5.782783602359092,0.022800031433050812,0.08269881830129565,0.1523490433661916,7.923225419811289,nan,nan,nan
parking02,3,2042,2545,21.171679877340026,0.019543165282389093,0.05966426706099347,0.11287488551050387,31.60756047663218,nan,nan,nan
playground00,3,2042,2645,0.24013446232912408,0.01403653825266438,0.04674066475415816,0.08674666390573256,0.214827025936024,nan,nan,nan
street00,3,2042,2745,0.29754622917685253,0.017757120093231958,0.065033624887752,0.11443046348873846,0.30393884011972355,nan,nan,nan
street01,3,2042,2845,0.40208372895763317,0.04105314753062695,0.11975581359746557,0.20280067025270607,0.4357500159865524,nan,nan,nan
street02,3,2042,2945,0.47191601546660483,0.042874692387500045,0.11422358948348661,0.19011375229520894,0.3862363408927769,nan,nan,nan
