test_sequence,n_seeds,ate_rmse_m_mean,ate_rmse_m_std_across_seeds,ate_rmse_m_min,ate_rmse_m_max,rpe_1s_trans_rmse_m_mean,rpe_1s_trans_rmse_m_std_across_seeds,rpe_1s_trans_rmse_m_min,rpe_1s_trans_rmse_m_max,rpe_5s_trans_rmse_m_mean,rpe_5s_trans_rmse_m_std_across_seeds,rpe_5s_trans_rmse_m_min,rpe_5s_trans_rmse_m_max,rpe_10s_trans_rmse_m_mean,rpe_10s_trans_rmse_m_std_across_seeds,rpe_10s_trans_rmse_m_min,rpe_10s_trans_rmse_m_max,heading_mae_deg_mean,heading_mae_deg_std_across_seeds,heading_mae_deg_min,heading_mae_deg_max,gnss_free_ate_rmse_m_mean,gnss_free_ate_rmse_m_std_across_seeds,gnss_free_ate_rmse_m_min,gnss_free_ate_rmse_m_max,gnss_fused_ate_rmse_m_mean,gnss_fused_ate_rmse_m_std_across_seeds,gnss_fused_ate_rmse_m_min,gnss_fused_ate_rmse_m_max,se2_ate_rmse_mean,se2_ate_rmse_std_across_seeds,se2_ate_rmse_min,se2_ate_rmse_max
building00,3,1.8807364373319777,0.07874379120805045,1.7901810777886882,1.933111989834674,0.12530388132098805,0.014657630174513601,0.10902846890345433,0.1374639419786074,0.32737249335704527,0.035967559742608346,0.28655976316933074,0.35444265202564007,0.5073312880356662,0.04221935482607819,0.4590811802056809,0.537491177716973,0.7653177609862404,0.06654297400324495,0.7250721820003485,0.8421255345425543,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
building01,3,1.6021969540384269,0.11033511432203993,1.5165315653711178,1.7266992163935713,0.10249712960748353,0.01239696398514985,0.0947167238380655,0.1167932769758282,0.2684400340039009,0.03240869636401168,0.24416901348043593,0.3052435756438536,0.43403474261228014,0.05878929823908995,0.3875933745689043,0.5001341053465805,1.1535696640309216,0.41310881679848627,0.8290462335745131,1.6186057206922282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
building02,3,1.661644965154869,0.11410547638038435,1.5298886643719494,1.7280404577880324,0.11565341019542796,0.01354453798188157,0.10034544395323983,0.12608302590904102,0.3025213925311383,0.02815111081245017,0.2712335987526198,0.32580011164030054,0.47183677705793725,0.0487232159602677,0.4187231248751072,0.5144608598337368,0.7320426821411822,0.18028179748141065,0.5359136031909809,0.8905354004382335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
parking00,3,2.078572747582164,0.0948606001428657,2.017501392131644,2.1878564450732685,0.10783724439295868,0.03898903584243551,0.07985564232872254,0.15237174158912625,0.2807042595374352,0.071288251910445,0.22606537500780569,0.3613431080579973,0.4336448186607184,0.07556632991505466,0.3691201270724238,0.5167765398039643,0.8061228201320766,0.10953701726027985,0.683874099433684,0.8953504875105827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
parking01,3,5.694203414623537,0.3122811207018991,5.347201145410294,5.952625496101227,0.022797835112315964,0.00014367587276324417,0.022653073670120157,0.022940400233776928,0.08313956649356302,0.0005994371475997905,0.08269881830129565,0.08382214256630688,0.15326462819648978,0.0008097974250502217,0.1523490433661916,0.15388689001157044,7.804510603271524,0.48273003964067207,7.273498251826091,8.216808138177193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
parking02,3,14.00597101483315,7.94414428569867,5.46338969539911,21.171679877340026,0.019342065445842195,0.00017478221866108464,0.01922675186387373,0.019543165282389093,0.05964556322182076,0.0004938096895027372,0.05914266734852111,0.06012975525594768,0.11119332321419206,0.0015535283096395507,0.10981151397843955,0.11287488551050387,20.622264582430784,11.9537015524982,7.891976384956393,31.60756047663218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
playground00,3,0.24061407495080175,0.0004157352260246997,0.24013446232912408,0.2408716176085985,0.014820599035454863,0.0011016350302259041,0.01403653825266438,0.016080117903135703,0.051956293492212834,0.0074731087889228715,0.04674066475415816,0.06051770069424109,0.09763377694064024,0.015650989691678146,0.08674666390573256,0.11556959328779955,0.28715997995259934,0.10445282105390627,0.214827025936024,0.4069108433530019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
street00,3,0.29768275275737627,0.0007050296583368668,0.2970559693670166,0.2984460597282598,0.017754388603745407,0.0002485765298677567,0.01750445758502971,0.01800158813297455,0.06493410833558018,0.001411095212558818,0.06347588918293813,0.06629281093605041,0.11397949963030118,0.0030772865755832146,0.11070161432553531,0.1168064210766298,0.2925712939085676,0.03457674827179761,0.2537418470143308,0.3200331945916484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
street01,3,0.40236056139489973,0.0015711475818235108,0.40094622921951434,0.40405172600755174,0.04250952939742394,0.0023102121876684843,0.04105314753062695,0.045173254945754616,0.12274319777599048,0.004877290514072195,0.11975581359746557,0.1283714532746207,0.20763135935951096,0.006738218163404267,0.20280067025270607,0.21532893034526923,0.4247121190089825,0.030731296654296757,0.3899863867741429,0.44839995426625234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
street02,3,0.46445372827303694,0.006757416689402621,0.458748152430074,0.47191601546660483,0.03771309312096586,0.0047658390068265576,0.03347952574909335,0.042874692387500045,0.10822201132872326,0.005956326655017682,0.10231199177568748,0.11422358948348661,0.18395546064096843,0.006090382787403223,0.17793533786339766,0.19011375229520894,0.45292906529841065,0.05805360363581473,0.3862363408927769,0.4921304491595922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
