fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error,replicate,base_seed,fold_seed,method_seed,schema
1,building00,gru_dual_3seed_deterministic,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.9189162443725711,1.4334881979390524,3.7272552029767447,5.170040876580888,1.0311224105742136,0.7250721820003485,2.2041638075001724,0.12941923308090245,0.3411150648761649,0.5254215061843448,2.3006290268170786,0.6369501633864066,0.0003810509169022348,1.0098160258980917,1198,620,26,552,46.07679465776294,55.899999999999636,0.024304602295160294,0.05094452574849129,0.2130652666091919,0.024424072355031967,0.09083182364702225,0.2828463017940521,1.0453786849975586,1.062387466430664,7.683735370635986,1.01316237449646,1.0139437913894653,5.459206581115723,,1,42,42,45,i2nav_original_dual_10fold_3seed_deterministic_v1
2,building01,gru_dual_3seed_deterministic,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.7266992163935713,1.4130461899583262,3.148497093200025,5.219589707461358,0.8831955257484468,1.6186057206922282,5.09435911011557,0.1167932769758282,0.3052435756438536,0.5001341053465805,1.270404635842104,0.4715403208016142,0.00027294653087978543,1.0116875115206592,1365,784,14,567,41.53846153846154,104.89999999999964,0.02179533801972866,0.049608875066041946,0.1522083729505539,0.020832223817706108,0.07857943326234818,0.24926607310771942,1.1041096448898315,1.252319574356079,9.316100120544434,1.0164470672607422,1.0464978218078613,3.945462703704834,,1,42,142,145,i2nav_original_dual_10fold_3seed_deterministic_v1
3,building02,gru_dual_3seed_deterministic,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.7280404577880324,0.3573196157270055,4.698124702725649,5.246060710942535,1.7035853238683942,0.8905354004382335,3.261803013157779,0.12608302590904102,0.32580011164030054,0.5144608598337368,0.10908345621959177,0.18436222516822326,7.314519794075983e-05,1.0080147428431325,1872,1426,19,427,22.80982905982906,34.90000000002328,0.021570127457380295,0.05237917602062225,0.24438396096229553,0.022747782990336418,0.09259986877441406,0.2624262571334839,1.065341591835022,1.2217828035354614,8.111583709716797,1.0092413425445557,1.0228172540664673,3.229538679122925,,1,42,242,245,i2nav_original_dual_10fold_3seed_deterministic_v1
4,parking00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.03036040554158,2.034157597308573,2.9130732269565294,3.51516423589225,0.692311837204044,0.8391438734519631,2.4143403025920067,0.07985564232872254,0.22606537500780569,0.3691201270724238,2.1236775471914306,0.5184874981289084,0.0003278532321219204,1.002445523385529,1140,702,2,436,38.24561403508772,135.89999999999418,0.022059721872210503,0.05157790333032608,0.1196124330163002,0.021519707515835762,0.0785832405090332,0.2768266797065735,1.0530778169631958,1.156965732574463,5.069430351257324,1.0084234476089478,1.0165956020355225,3.8346638679504395,,1,42,342,345,i2nav_original_dual_10fold_3seed_deterministic_v1
5,parking01,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.347201145410294,3.963261009665298,10.57263806459841,12.252786363510701,2.936693324198369,7.273498251826091,15.537066676629127,0.022940400233776928,0.08382214256630688,0.15388689001157044,7.153132106494127,4.618047171895896,0.00377602831411452,0.9980393671974569,0,0,0,0,0.0,0.0,0.022986313328146935,0.05460843816399574,0.10243465006351471,0.016581391915678978,0.0736398696899414,0.27351200580596924,1.212626576423645,2.081883192062378,8.08578872680664,1.036063313484192,1.1679515838623047,6.385395526885986,,1,42,442,445,i2nav_original_dual_10fold_3seed_deterministic_v1
6,parking02,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,5.46338969539911,3.8538612095653577,10.960518464457952,13.273380757831903,2.6435653374385204,7.891976384956393,13.850394471087641,0.01922675186387373,0.06012975525594768,0.11089357015363277,10.968317376464233,4.952959730779447,0.003437100683732176,0.9991835866664525,0,0,0,0,0.0,0.0,0.021417247131466866,0.05090347304940224,0.16713625192642212,0.016594618558883667,0.07075094431638718,0.2765432894229889,1.1516278982162476,1.571720838546753,8.898221969604492,1.0159040689468384,1.0536295175552368,4.596112251281738,,1,42,542,545,i2nav_original_dual_10fold_3seed_deterministic_v1
7,playground00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.2408716176085985,0.2282425378462735,0.37144882705177745,0.42507307122181803,0.2062402226177076,0.4069108433530019,0.8142747377800124,0.016080117903135703,0.06051770069424109,0.11556959328779955,0.02535590642636831,0.093658317220408,5.480430795182612e-05,1.0013730458819845,1326,1326,0,0,0.0,0.9000000000232831,0.02217678353190422,0.053725022822618484,0.16621936857700348,0.020125465467572212,0.07553262263536453,0.23975107073783875,1.0455365180969238,1.1067448854446411,5.825710296630859,1.0059547424316406,1.005692958831787,4.432735443115234,,1,42,642,645,i2nav_original_dual_10fold_3seed_deterministic_v1
8,street00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.2970559693670166,0.23778364353602985,0.5132752109108439,0.5856097697680377,0.2595675964901856,0.3200331945916484,0.8037387437197957,0.01800158813297455,0.06629281093605041,0.1168064210766298,0.024163258095439608,0.130748602568336,7.843619174544723e-05,1.001488165911987,1373,1373,0,0,0.0,0.9000000000087311,0.019240528345108032,0.03840803727507591,0.2796233594417572,0.012869431637227535,0.0466206930577755,0.19072391092777252,1.0183563232421875,1.0250540971755981,6.422872066497803,1.002772569656372,1.0016570091247559,4.297258377075195,,1,42,742,745,i2nav_original_dual_10fold_3seed_deterministic_v1
9,street01,gru_dual_3seed_deterministic,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.40405172600755174,0.2567728907639641,0.7624123370848913,1.1870698478389223,0.33731199523764516,0.44839995426625234,1.2701569748386596,0.045173254945754616,0.1283714532746207,0.21532893034526923,0.096092536478862,0.12594359810578326,7.589301870247604e-05,1.0008017133314013,1248,1207,2,39,3.125,11.900000000008731,0.021842097863554955,0.050713155418634415,0.10648848116397858,0.022028464823961258,0.1362989842891693,0.19995038211345673,1.0482975244522095,1.1757752895355225,4.546854019165039,1.0309202671051025,1.0218573808670044,8.767623901367188,,1,42,842,845,i2nav_original_dual_10fold_3seed_deterministic_v1
10,street02,gru_dual_3seed_deterministic,ok,"building02,parking00,parking01,parking02,playground00,street00,street01","building00,building01",13799,1379.800000000003,OEM719_RTK,ODO_SPEED,0.4626970169224319,0.27623344992849325,0.8483778043917047,0.9678067040783337,0.3560877195852629,0.4921304491595922,1.2790657782940067,0.03347952574909335,0.10231199177568748,0.17793533786339766,0.08010107288332716,0.1619181121725429,8.771242120863972e-05,1.000661388612018,1379,1241,10,128,9.282088469905728,11.900000000008731,0.021890906617045403,0.04268844053149223,0.11904384940862656,0.024527056142687798,0.15199287235736847,0.2387317568063736,1.0194342136383057,1.0322507619857788,4.358863830566406,1.0473631620407104,1.0066169500350952,9.288445472717285,,1,42,942,945,i2nav_original_dual_10fold_3seed_deterministic_v1
