sequence,base_seed,x,y,pearson_r_timestamp_descriptive,n_timestamps,note
building00,42,Dtheta,Dp,0.2899800789335477,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,Iomega,Dtheta,-0.35628360090472305,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,Iomega,signed_heading_error,-0.15304591606639656,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,accel_abs,Dp,0.04429285970543866,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,curvature_abs,Dp,-0.06052773346057788,11961,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,curvature_abs,Dtheta,0.19111150386206183,11961,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,persistent_yaw_residual,Iomega,0.009988075556290535,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,speed_abs,Dp,-0.09680649288121929,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,wheel_imu_yaw_disagreement_abs,Dp,-0.05921508575900152,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,42,wheel_imu_yaw_disagreement_abs,Dtheta,0.011575152881407667,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,Dtheta,Dp,0.43956003082196227,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,Iomega,Dtheta,-0.33659455238161046,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,Iomega,signed_heading_error,-0.02748301359066775,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,accel_abs,Dp,0.059325735408388224,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,curvature_abs,Dp,-0.044706491608170126,11961,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,curvature_abs,Dtheta,0.11686441381900667,11961,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,persistent_yaw_residual,Iomega,0.004964465534268988,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,speed_abs,Dp,-0.022869329976610765,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,wheel_imu_yaw_disagreement_abs,Dp,-0.05243508283822977,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,1042,wheel_imu_yaw_disagreement_abs,Dtheta,0.007925749173462004,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,Dtheta,Dp,0.30687232444733525,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,Iomega,Dtheta,-0.2638764689915149,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,Iomega,signed_heading_error,0.1556920444830875,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,accel_abs,Dp,0.06073164894890617,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,curvature_abs,Dp,-0.054045695732626076,11961,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,curvature_abs,Dtheta,0.19178158529232694,11961,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,persistent_yaw_residual,Iomega,0.03065515390012147,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,speed_abs,Dp,-0.06389472926026638,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,wheel_imu_yaw_disagreement_abs,Dp,-0.04034078053096774,12009,"descriptive only; timestamps are correlated, not independent replicates"
building00,2042,wheel_imu_yaw_disagreement_abs,Dtheta,0.02155513523005842,12009,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,Dtheta,Dp,0.21525451708309654,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,Iomega,Dtheta,0.14421498975644215,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,Iomega,signed_heading_error,-0.14224565402763978,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,accel_abs,Dp,-0.024777220469880748,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,curvature_abs,Dp,0.08195459429653183,13630,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,curvature_abs,Dtheta,0.10004237910651007,13630,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,persistent_yaw_residual,Iomega,0.02481122169721045,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,speed_abs,Dp,-0.1206606073040907,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,wheel_imu_yaw_disagreement_abs,Dp,0.0016189228072282682,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,42,wheel_imu_yaw_disagreement_abs,Dtheta,0.0033803612025538952,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,Dtheta,Dp,0.2707212276227964,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,Iomega,Dtheta,0.131408748319772,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,Iomega,signed_heading_error,-0.16582287557604694,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,accel_abs,Dp,-0.01353616831972934,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,curvature_abs,Dp,0.028858301796689658,13630,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,curvature_abs,Dtheta,0.12980765576138092,13630,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,persistent_yaw_residual,Iomega,0.019965862148741756,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,speed_abs,Dp,-0.051648085913093215,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,wheel_imu_yaw_disagreement_abs,Dp,0.010182221001178542,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,1042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.005794606072693962,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,Dtheta,Dp,0.36207986717288115,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,Iomega,Dtheta,0.14708445988055177,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,Iomega,signed_heading_error,-0.22171494045999693,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,accel_abs,Dp,-0.01999220747778368,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,curvature_abs,Dp,0.056392531223760534,13630,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,curvature_abs,Dtheta,0.15563768134325226,13630,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,persistent_yaw_residual,Iomega,0.01991538735493527,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,speed_abs,Dp,-0.06384820292907366,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,wheel_imu_yaw_disagreement_abs,Dp,0.007352604452222119,13689,"descriptive only; timestamps are correlated, not independent replicates"
building01,2042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.002118159776117092,13689,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,Dtheta,Dp,0.5517523452994179,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,Iomega,Dtheta,0.12904547624895718,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,Iomega,signed_heading_error,-0.05049887059813337,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,accel_abs,Dp,0.11506793871161158,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,curvature_abs,Dp,0.04192865022567378,17002,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,curvature_abs,Dtheta,0.10264559850692705,17002,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,persistent_yaw_residual,Iomega,0.026151174761612148,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,speed_abs,Dp,0.11161460099635988,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,wheel_imu_yaw_disagreement_abs,Dp,0.04892525841624818,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,42,wheel_imu_yaw_disagreement_abs,Dtheta,0.00033947844214910893,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,Dtheta,Dp,0.450846503235526,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,Iomega,Dtheta,0.16165923380171054,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,Iomega,signed_heading_error,-0.17190216627720573,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,accel_abs,Dp,0.08953302777126425,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,curvature_abs,Dp,0.04784553503157749,17002,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,curvature_abs,Dtheta,0.12514330587563174,17002,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,persistent_yaw_residual,Iomega,0.027754419784517932,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,speed_abs,Dp,0.1262349069146298,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,wheel_imu_yaw_disagreement_abs,Dp,0.04013496385908216,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,1042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.0743525841944021,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,Dtheta,Dp,0.4519568273121001,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,Iomega,Dtheta,-0.17526146992708658,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,Iomega,signed_heading_error,0.17401422344832687,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,accel_abs,Dp,0.12821103257836952,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,curvature_abs,Dp,-0.004810412714102182,17002,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,curvature_abs,Dtheta,0.11133864306387133,17002,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,persistent_yaw_residual,Iomega,0.04644179462516009,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,speed_abs,Dp,0.09445362173871374,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,wheel_imu_yaw_disagreement_abs,Dp,0.04729144819393573,18714,"descriptive only; timestamps are correlated, not independent replicates"
building02,2042,wheel_imu_yaw_disagreement_abs,Dtheta,0.015082616067275201,18714,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,Dtheta,Dp,0.2329764927066598,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,Iomega,Dtheta,0.22449323274614252,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,Iomega,signed_heading_error,0.10826193385094926,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,accel_abs,Dp,0.013550234035011245,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,curvature_abs,Dp,0.03418220450676834,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,curvature_abs,Dtheta,0.06447090125204058,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,persistent_yaw_residual,Iomega,0.02217688975717088,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,speed_abs,Dp,-0.0634907939007984,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,wheel_imu_yaw_disagreement_abs,Dp,0.022521251507712767,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,42,wheel_imu_yaw_disagreement_abs,Dtheta,0.025353794491203074,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,Dtheta,Dp,0.7046639254257979,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,Iomega,Dtheta,0.21932018477582443,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,Iomega,signed_heading_error,0.09090158364451036,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,accel_abs,Dp,0.025276478849940543,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,curvature_abs,Dp,0.017159477168074665,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,curvature_abs,Dtheta,0.038112193732480364,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,persistent_yaw_residual,Iomega,0.00926754091570425,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,speed_abs,Dp,-0.09379681985748296,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,wheel_imu_yaw_disagreement_abs,Dp,0.016459507358181493,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,1042,wheel_imu_yaw_disagreement_abs,Dtheta,0.02040368007574419,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,Dtheta,Dp,0.6084512574853722,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,Iomega,Dtheta,0.29133981048627017,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,Iomega,signed_heading_error,0.10435794626919172,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,accel_abs,Dp,0.027510438831680917,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,curvature_abs,Dp,0.019857236740697753,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,curvature_abs,Dtheta,0.05305245824089603,11367,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,persistent_yaw_residual,Iomega,0.01052062561393138,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,speed_abs,Dp,-0.08120120542539051,11409,"descriptive only; timestamps are correlated, not independent replicates"
parking00,2042,wheel_imu_yaw_disagreement_abs,Dp,0.020460220067032107,11409,"descriptive only; timestamps are correlated, not independent replicates"
