context,condition_bin,component,units,q,benign_envelope_p95,n_sequences,support_label,interpretation
acceleration,high,Domega_radps,rad/s,0.95,0.13181043958601843,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,high,Dp_m,m,0.95,15.743647870531067,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,high,Dtheta_deg,deg,0.95,20.28254961400458,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,high,Dv_mps,m/s,0.95,0.11742983549057182,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,high,Iomega_abs_deg,deg,0.95,30.768780369044546,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,low,Domega_radps,rad/s,0.95,0.12473916508723014,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,low,Dp_m,m,0.95,15.746248673945278,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,low,Dtheta_deg,deg,0.95,20.5468699358254,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,low,Dv_mps,m/s,0.95,0.09603449505753803,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,low,Iomega_abs_deg,deg,0.95,31.906832036551435,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,medium,Domega_radps,rad/s,0.95,0.12872035196671877,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,medium,Dp_m,m,0.95,15.825959125948096,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,medium,Dtheta_deg,deg,0.95,20.40450456953135,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,medium,Dv_mps,m/s,0.95,0.10202612493478212,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
acceleration,medium,Iomega_abs_deg,deg,0.95,31.32915099635739,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
curvature,high,Domega_radps,rad/s,0.95,0.24110605030320592,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
curvature,high,Dp_m,m,0.95,16.54239003125076,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
curvature,high,Dtheta_deg,deg,0.95,20.75522104296532,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
curvature,high,Dv_mps,m/s,0.95,0.14375356793015545,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
curvature,high,Iomega_abs_deg,deg,0.95,31.18945921276413,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
curvature,low,Domega_radps,rad/s,0.95,0.020460317320733567,10,descriptive_broad_support,descriptive 95th percentile of sequence-level within-condition p95; not a detector or universal trust threshold
