condition_variable,nominal_bin,comparison_bin,metric,n_sequences,mean_delta_vs_nominal,median_delta_vs_nominal,mean_ratio_vs_nominal,median_ratio_vs_nominal,n_sequences_degraded,fraction_sequences_degraded,sequences_degraded
speed,low,medium,Dp_mean_m,10,0.007794948329067536,-0.0013882523769755684,1.1650857118704772,1.0106796662239368,5,0.5,"building00,building02,playground00,street01,street02"
speed,low,medium,Dp_p95_m,10,0.00321763796836651,0.04136685932154904,1.0258253545316731,1.0271397531364381,6,0.6,"building00,building01,building02,parking01,playground00,street01"
speed,low,medium,Dtheta_mean_deg,10,-0.3388705521932041,-0.0971657083451995,0.9020812006018687,0.9434631362082893,2,0.2,"street00,street02"
speed,low,medium,Dtheta_p95_deg,10,-0.24389660487493167,-0.09375325524366787,0.9600003967336818,0.9244316800290516,3,0.3,"building02,parking00,street02"
speed,low,medium,Dv_rmse_mps,10,-0.007222866105805886,-0.005819950514716347,1.0164321374604106,0.8919924021538134,3,0.3,"building02,playground00,street00"
speed,low,medium,Domega_rmse_radps,10,0.004980663818395471,0.0034969095063600176,1.2337955071826734,1.1477283135361447,7,0.7,"building01,building02,parking01,playground00,street00,street01,street02"
speed,low,medium,RPE1_m,10,0.015964891825273657,0.00032783371893403603,1.287038834891562,1.0210900148235436,6,0.6,"building00,building02,parking00,playground00,street00,street02"
speed,low,medium,RPE5_m,10,0.029196504471640933,0.007060230320633538,1.1599627726038122,1.1294793421940366,7,0.7,"building00,building02,parking00,parking01,playground00,street00,street02"
speed,low,medium,RPE10_m,10,0.029803580184959266,0.00961039337182091,1.130680411636479,1.1044262122689021,6,0.6,"building00,building02,parking01,playground00,street00,street02"
speed,low,medium,persistent_yaw_residual_abs_deg_per_min,10,-0.33161772144099555,-0.17758891540742372,1.3117554976610362,0.8381813730740626,3,0.3,"building00,building01,parking02"
speed,low,medium,Iomega_p95_abs_deg,10,-0.8268850900182931,-0.3971240436935881,0.9564300165880523,0.9715287120887277,0,0.0,
speed,low,high,Dp_mean_m,10,-0.22016371685657504,-0.06492970269171443,1.0867787982078154,0.9449258545568833,4,0.4,"building02,playground00,street01,street02"
speed,low,high,Dp_p95_m,10,-0.16527894391496128,-0.025075699939616836,0.9810649769102009,0.976563570225216,3,0.3,"parking02,playground00,street01"
speed,low,high,Dtheta_mean_deg,10,-0.6821956550451415,-0.17926825758903675,0.8733214491485215,0.8230852488747082,3,0.3,"street00,street01,street02"
speed,low,high,Dtheta_p95_deg,10,-0.4259596603658327,-0.15715793703705172,0.913145274438411,0.9207352547279648,3,0.3,"building02,street01,street02"
speed,low,high,Dv_rmse_mps,10,-0.010380557363760914,-0.008578122966386121,0.9711709142621003,0.838286861343647,3,0.3,"building02,playground00,street00"
speed,low,high,Domega_rmse_radps,10,0.008838255458437009,0.005971450196487394,1.3524642211803477,1.2669583367130368,8,0.8,"building01,building02,parking00,parking01,parking02,playground00,street01,street02"
speed,low,high,RPE1_m,10,0.006469643776386781,0.0005642875083510792,1.2033501493403864,1.0368673343196597,5,0.5,"building02,parking00,playground00,street00,street02"
speed,low,high,RPE5_m,10,0.00533402637728695,0.0036980438276536763,1.0797002311538209,1.0874630404192178,8,0.8,"building00,building02,parking00,parking01,parking02,playground00,street00,street02"
speed,low,high,RPE10_m,10,0.0008044960239544652,0.009028811563614063,1.072451534930663,1.0735855273720127,7,0.7,"building00,building02,parking01,parking02,playground00,street00,street02"
speed,low,high,persistent_yaw_residual_abs_deg_per_min,10,0.7530418930299848,0.24986693450797626,2.246155117782073,1.2903606450225968,6,0.6,"building01,parking00,parking01,parking02,playground00,street02"
speed,low,high,Iomega_p95_abs_deg,10,-1.1960547971177475,-0.3076297409880073,0.9468019856552269,0.9818281398374737,2,0.2,"building01,street02"
acceleration,low,medium,Dp_mean_m,10,0.07053426069178888,0.020417982712339758,1.0706477027953034,1.0369120186682759,8,0.8,"building01,building02,parking01,parking02,playground00,street00,street01,street02"
acceleration,low,medium,Dp_p95_m,10,0.08280964223318625,0.009742504679958464,1.0246261535639363,1.014735051280195,7,0.7,"building01,building02,parking02,playground00,street00,street01,street02"
acceleration,low,medium,Dtheta_mean_deg,10,-0.008174574011432845,-0.013231125007791084,0.9766695681142739,0.9808417238174947,3,0.3,"building01,parking01,playground00"
acceleration,low,medium,Dtheta_p95_deg,10,-0.040873193441210584,-0.03864840214744003,0.9734127560567952,0.9782193739834055,2,0.2,"building01,building02"
acceleration,low,medium,Dv_rmse_mps,10,0.004634187241751137,0.004426226701408093,1.1136668708600137,1.094453813265213,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
acceleration,low,medium,Domega_rmse_radps,10,0.002328173914850317,0.0020926980985279658,1.0888214931640585,1.0869843051646426,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
acceleration,low,medium,RPE1_m,10,0.005835106181496301,0.001547643172104431,1.070961384995702,1.0868128965879116,8,0.8,"building00,building01,building02,parking00,parking01,parking02,playground00,street00"
acceleration,low,medium,RPE5_m,10,0.009718933435979994,0.004916787532330533,1.0562406927812469,1.0456375183177693,7,0.7,"building00,building01,building02,parking00,parking01,parking02,playground00"
acceleration,low,medium,RPE10_m,10,0.010374595526842386,0.004684240864971614,1.0430201807151855,1.0210121178285727,6,0.6,"building00,building01,building02,parking01,parking02,playground00"
acceleration,low,medium,persistent_yaw_residual_abs_deg_per_min,10,-0.5681344790063487,-0.7175724825108856,1.1169080923360846,0.6255155760338097,4,0.4,"building01,parking02,playground00,street00"
acceleration,low,medium,Iomega_p95_abs_deg,10,-0.3695659145043188,-0.11689344601946594,0.9720557432088489,0.9886927714951088,1,0.1,street02
acceleration,low,high,Dp_mean_m,10,0.07779821307385264,0.03392223285467137,1.1071294923219976,1.0417761291715815,9,0.9,"building00,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
acceleration,low,high,Dp_p95_m,10,0.09163407026630838,0.023592786419628697,1.0347478149433007,1.01464030813881,9,0.9,"building00,building01,building02,parking00,parking02,playground00,street00,street01,street02"
acceleration,low,high,Dtheta_mean_deg,10,-0.04069514806459655,-0.005132084348994731,0.995231294978294,0.9778569609409039,4,0.4,"building00,building01,parking00,parking01"
