sequence,base_seed,environment_category,condition_variable,condition_bin,n_samples,duration_s_approx,time_start_s,time_end_s,supported,Dp_mean_m,Dp_p95_m,Dp_max_m,Dtheta_mean_deg,Dtheta_p95_deg,Dtheta_max_deg,Dv_rmse_mps,Dv_p95_mps,Domega_rmse_radps,Domega_p95_radps,persistent_yaw_residual_signed_mean_radps,persistent_yaw_residual_abs_deg_per_min,Iomega_start_deg,Iomega_end_deg,Iomega_delta_deg,Iomega_p95_abs_deg,Iomega_max_abs_deg,RPE1_m,RPEtheta1_deg,RPE1_n_pairs,RPE5_m,RPEtheta5_deg,RPE5_n_pairs,RPE10_m,RPEtheta10_deg,RPE10_n_pairs
building00,42,building,speed,low,2565,256.50000000093314,9064.1,10264.9,True,1.8428508240175776,3.853505490988511,4.301286302820376,0.84322328730258,2.060554411557258,2.9351831738296097,0.06290142709038238,0.12797564361244432,0.03424176821093602,0.07580473273992527,-0.0004952987146066834,1.7027115567130573,-0.0094537462055495,-24.68165508496962,-24.672201338764072,24.67973369846142,25.26754397803403,0.11981376208063224,0.22410122998855145,2555.0,0.2600002758594216,0.43290530335247235,2515.0,0.378763092610635,0.559870306812601,2465.0
building00,42,building,speed,medium,3192,319.20000000116124,9070.9,10251.0,True,1.887736282304913,3.841323673201959,4.3092947667909005,0.6182690178587473,1.8773193062512725,2.894789261231529,0.05499370517669303,0.10928549582604306,0.03368577469520254,0.07654830077663058,-0.0004889778218894879,1.6809819281860405,0.0198788548467332,-24.796701729635497,-24.81658058448223,24.515063060369474,25.073630085134617,0.13480214607392788,0.18486200181718868,3192.0,0.3371695645751907,0.4395668009884205,3192.0,0.4818377048708158,0.5505835133666843,3192.0
building00,42,building,speed,high,6252,625.2000000022745,9080.7,10250.0,True,1.698686515489036,3.4807373324052833,4.308959017026448,0.5785367852612571,1.887593777795661,2.7976495326411013,0.051998113964572025,0.10247657671570756,0.0311779355257647,0.07057694839313627,-0.00023616491527353507,0.811875174854294,0.1236564474302889,-24.75861851981614,-24.882274967246428,24.27688502039987,25.6858366591507,0.11267948944817735,0.15682803642387663,6252.0,0.2976617505856405,0.38480647721670463,6252.0,0.4785327537575469,0.5653041802106157,6252.0
building00,42,building,acceleration,low,4103,410.30000000149266,9064.8,10264.9,True,1.7626781305952945,3.8171487392674974,4.304394901369938,0.6659362022336387,1.9890042606440987,2.894789261231529,0.051061007668696944,0.10326414573937637,0.03084093645774304,0.06939834896475065,-0.0007840236411550836,2.6952747405999387,-0.1405332165766796,-24.68165508496962,-24.541121868392942,24.574967165266287,25.6858366591507,0.10616742644959527,0.1791926394163165,4093.0,0.27534965301160286,0.40202173653126855,4059.0,0.44836313920446796,0.5674622109289333,4037.0
building00,42,building,acceleration,medium,4373,437.3000000015909,9064.2,10260.5,True,1.75228222062003,3.8117280890767455,4.3092947667909005,0.6239819773379974,1.9211503268791799,2.9351831738296097,0.05434779501686924,0.10604783110320558,0.0333166919250152,0.07468337826430797,-3.4769948842293464e-05,0.11953027935295191,-0.0312305690704697,-24.874202157381344,-24.842971588310874,24.511094439687717,25.26754397803403,0.1026505638847928,0.1793773839817997,4373.0,0.29196518253882336,0.4117654670318627,4370.0,0.45009704174859144,0.5571112202525368,4355.0
building00,42,building,acceleration,high,3533,353.3000000012853,9064.1,10260.2,True,1.8335001842501946,3.8211606957701343,4.3074325799624695,0.6488494179807348,1.8504504001413256,2.848393208916447,0.06087511264633343,0.11909401603043059,0.03343781060766556,0.07636224664747704,-0.00026574114768776485,0.9135507723282972,-0.0094537462055495,-24.869892572359717,-24.86043882615417,24.492144202915593,25.648699503652427,0.15220616623182137,0.17698677125952406,3533.0,0.33937814391270776,0.41542290162483997,3530.0,0.48654205788746263,0.5558033283811161,3517.0
building00,42,building,turning,low,2973,297.30000000108157,9064.1,10264.9,True,1.8808613381630903,3.8386521330949503,4.308959017026448,0.577818514350776,1.724104886612577,2.848393208916447,0.04352334560401393,0.08659521453082562,0.012582328198054363,0.01864794995635742,-5.0986210631063267e-05,0.1752776809514985,-0.0094537462055495,-24.68165508496962,-24.672201338764072,24.7575350172011,24.94433167851201,0.1248610717354177,0.1232890224218719,2963.0,0.30140976268971753,0.34703467991431947,2926.0,0.47811663814505156,0.5127495560542505,2921.0
building00,42,building,turning,medium,3941,394.1000000014337,9064.4,10260.3,True,1.81267239528386,3.823078507784748,4.3092947667909005,0.5952836757092957,1.8203536286060844,2.894789261231529,0.046416958139149415,0.0870144441723824,0.015912496656933648,0.0238938722759485,-0.0001128518976703617,0.38795624679323837,-0.0428829251554069,-24.862746852462404,-24.819863927306997,24.545203297748813,25.301626480127677,0.115345192575768,0.13207798395510612,3941.0,0.3257095632390188,0.36302713544762305,3938.0,0.5018774668803598,0.545897505923352,3924.0
building00,42,building,turning,high,5095,509.50000000185355,9064.7,10259.7,True,1.695232974168256,3.6436870757323145,4.300557531456633,0.7241466161441468,2.061527810112021,2.9351831738296097,0.0665771977338064,0.1320156699046492,0.046965425760446794,0.10557514503598205,-0.0007284455599219791,2.504211371314411,-0.0149526861496221,-24.841607960261324,-24.8266552741117,24.30008912828136,25.6858366591507,0.12167795595050042,0.24677572677923693,5095.0,0.2813273416843521,0.4813817133313652,5095.0,0.4145533019256934,0.5987324939096738,5064.0
building00,42,building,curvature,low,3361,336.1000000012227,9064.1,10257.8,True,1.8426218586306653,3.830437868980104,4.308959017026448,0.5576400348149118,1.7903758106647107,2.848393208916447,0.04394018483253955,0.0862622708082198,0.013370123284246568,0.0192950498312711,-6.230815927822844e-05,0.21419967335228346,-0.0094537462055495,-24.821531091439557,-24.81207734523401,24.719813556645096,24.94433167851201,0.12080289452412606,0.12205835516186439,3361.0,0.30320626112766347,0.3452535840343462,3361.0,0.48019505661997675,0.5146137770126238,3357.0
