test_sequence,ranger_file,raw_ranger_rows,prepared_samples,wheel_vx_vs_v1_odo_corr,wheel_vx_minus_v1_odo_rmse_mps,wheel_yaw_vs_imu_corr,wheel_yaw_std_radps,imu_yaw_std_radps,yaw_disagreement_mean_deg_per_min,yaw_disagreement_std_radps
building00,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\building00\building00_RANGER_ODO.txt,62214,12009,0.9999859536574515,0.001192158851664071,0.9474354123168321,0.16154105086502293,0.1471702134520098,-19.053792315196965,0.052017931864876334
building01,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\building01\building01_RANGER_ODO.txt,76231,13689,0.9999917498780305,0.0012055216241507124,0.9379537309788859,0.1725860070690541,0.15560960805536975,-17.922064059554117,0.06017335292707586
building02,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\building02\building02_RANGER_ODO.txt,93571,18714,0.9999968531235954,0.0011831338064855557,0.9193545320800436,0.1370958123189557,0.11962720322867575,-21.650254435605703,0.05431745878920306
parking00,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\parking00\parking00_RANGER_ODO.txt,61206,11409,0.9999405046672056,0.0021439527409699054,0.89331340622677,0.1674760715629476,0.1428707730343478,-22.500614206619225,0.07557045695277607
parking01,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\parking01\parking01_RANGER_ODO.txt,56571,10599,0.9999721008977197,0.0014804735958177824,0.9289702268393417,0.16685299036836926,0.14775886814927378,-20.591826669353914,0.062184586815779694
parking02,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\parking02\parking02_RANGER_ODO.txt,67075,12569,0.9999920060796048,0.0011504269994842213,0.9376132712948951,0.15714342568792197,0.14113547386975256,-16.567549042680685,0.05498676318122611
playground00,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\playground00\playground00_RANGER_ODO.txt,66319,13263,0.999996693079362,0.0008806901331281287,0.9311508952288495,0.11287604255737059,0.09997885227699359,-19.29116636459145,0.04147639952700461
street00,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\street00\street00_RANGER_ODO.txt,70057,13738,0.9999982578331331,0.0004299957703109899,0.9816261400201548,0.10036364289191618,0.10121489860814673,-12.46391721473701,0.01933956697389063
street01,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\street01\street01_RANGER_ODO.txt,62412,12483,0.9999842675776801,0.0017840830597828504,0.9436585419778317,0.17764703276595803,0.15661155344126157,-21.731571305544684,0.059812272168961164
street02,C:\Users\shrey\Documents\DigitalTwinDivergence\public_datasets\im2nav\street02\street02_RANGER_ODO.txt,74372,13799,0.9999463433491992,0.0027045611931255835,0.9755801128528192,0.15261249557542028,0.16510066304526153,-4.699026544661266,0.037236299468698796
