packet_id,source_elapsed_s,send_monotonic_ns,receive_monotonic_ns,datagram_bytes
0,0.0,2377260670702,2377485190081,1124
1,0.5,2377772778235,2377926653017,1124
2,1.0,2378265836966,2378472559520,1124
4,2.0,2379266578055,2379493957676,1124
6,3.0,2380284550849,2380468018776,1124
7,3.5,2380761245510,2380912552514,1124
9,4.5,2381767748104,2381950483013,1124
10,5.0,2382259613929,2382459389871,1125
11,5.5,2382760255379,2382956886378,1125
12,6.0,2383260200347,2383452764436,1125
13,6.5,2383760241560,2384016488573,1125
14,7.0,2384265162710,2384487464252,1125
15,7.5,2384760513004,2385017139938,1125
16,8.0,2385264304683,2385535415274,1125
17,8.5,2385762257348,2385948666323,1125
18,9.0,2386267558212,2386457293048,1125
19,9.5,2386759814091,2386962541824,1125
20,10.0,2387260124002,2387385212202,1126
21,10.5,2387759639836,2387989151115,1126
22,11.0,2388266500219,2388530091875,1126
23,11.5,2388761494796,2388937613184,1126
24,12.0,2389259912642,2389515537957,1126
25,12.5,2389759743364,2390044125496,1126
26,13.0,2390266351918,2390411391676,1126
27,13.5,2391657528494,2391781390501,1126
28,14.0,2391657679133,2391969771425,1126
29,14.5,2391771459641,2392065222122,1126
30,15.0,2392260501325,2392518130559,1126
31,15.5,2392765537734,2393064371988,1126
32,16.0,2393268772311,2393417765053,1126
33,16.5,2393766698635,2393890657432,1126
34,17.0,2394369227516,2394477557626,1126
35,17.5,2394760158223,2394975530746,1126
36,18.0,2395269039638,2395445741178,1126
37,18.5,2395768037173,2396018903374,1126
38,19.0,2396438266330,2396936571731,1126
39,19.5,2396904308999,2397238190238,1126
40,20.0,2397283152129,2397517497917,1126
41,20.5,2397805771518,2397959818141,1126
42,21.0,2398266709368,2398414386592,1126
43,21.5,2398759865440,2398934688244,1126
44,22.0,2399264152097,2399430093442,1126
45,22.5,2399769829804,2400022869673,1126
47,23.5,2400763525640,2401055390666,1126
48,24.0,2401259758262,2401487272811,1126
49,24.5,2401785809169,2402009715741,1126
50,25.0,2402271325242,2402399283486,1126
51,25.5,2402759794446,2402969301148,1126
52,26.0,2403261156703,2403458378614,1126
53,26.5,2403759770785,2403943580924,1126
55,27.5,2404759719497,2404912003382,1126
56,28.0,2405260442263,2405464074414,1126
57,28.5,2405760192646,2406029659748,1126
58,29.0,2406261058073,2406550685601,1126
59,29.5,2406760153948,2406915783340,1126
60,30.0,2407260770768,2407456136724,1126
61,30.5,2407760084681,2408046801944,1126
62,31.0,2408265923655,2408439124018,1126
63,31.5,2408759957676,2408856509218,1126
64,32.0,2409263212903,2409492076565,1126
65,32.5,2409759766118,2409976508533,1126
67,33.5,2410760461642,2410954259172,1126
68,34.0,2411259874615,2411500383899,1126
69,34.5,2411760065399,2411896705163,1126
70,35.0,2412264360245,2412434272296,1126
71,35.5,2412760060162,2413036069923,1126
72,36.0,2413266267243,2413556187703,1126
73,36.5,2413768143826,2413954324079,1126
74,37.0,2414259913755,2414326982105,1126
76,38.0,2415286335682,2415473452280,1126
77,38.5,2415767940595,2415974677701,1126
78,39.0,2416261307803,2416476729620,1126
79,39.5,2416771476509,2416945146536,1126
80,40.0,2417281330017,2417486366182,1126
81,40.5,2417764893302,2417955055942,1126
82,41.0,2418264100627,2418406512012,1126
83,41.5,2418761013043,2418960278015,1126
84,42.0,2419265913750,2419371016327,1126
85,42.5,2419778238583,2420043281394,1126
86,43.0,2420260472957,2420425552563,1126
87,43.5,2420764793926,2420992947394,1126
88,44.0,2421260103505,2421517377167,1126
89,44.5,2421769569437,2422034737814,1126
90,45.0,2422374490828,2422656486595,1126
91,45.5,2422769055705,2423005619739,1126
92,46.0,2423286197647,2423501401025,1126
93,46.5,2423764766306,2423937674188,1126
94,47.0,2424269073356,2424450146737,1126
95,47.5,2424767230835,2425000233121,1126
96,48.0,2425260638202,2425451390280,1126
97,48.5,2425811152838,2426027894465,1126
98,49.0,2426261548022,2426453723733,1126
99,49.5,2426775283878,2426980716974,1126
