packet_id,source_elapsed_s,send_monotonic_ns,datagram_bytes
0,0.0,1252494555409,1124
1,0.1,1252595564322,1124
2,0.2,1252698126788,1124
3,0.3,1252793934380,1124
4,0.4,1252894141962,1124
5,0.5,1252998220829,1124
6,0.6,1253096693558,1124
7,0.7,1253198177851,1124
8,0.8,1253294635054,1124
9,0.9,1253394335613,1124
10,1.0,1253499230648,1125
11,1.1,1253600644821,1125
12,1.2,1253694940637,1125
13,1.3,1253798859674,1125
14,1.4,1253900212658,1125
15,1.5,1253995192531,1125
16,1.6,1254098323284,1125
17,1.7,1254261755333,1125
18,1.8,1254294022299,1125
19,1.9,1254467834128,1125
20,2.0,1254496848293,1125
21,2.1,1254647392551,1125
22,2.2,1254721321771,1125
23,2.3,1254816316634,1125
24,2.4,1254943918713,1125
25,2.5,1254999402368,1125
26,2.6,1255104990041,1125
27,2.7,1255215869482,1125
28,2.8,1255297962649,1125
29,2.9,1255400896355,1125
30,3.0,1255493971348,1125
31,3.1,1255594840543,1125
32,3.2,1255700781258,1125
33,3.3,1255801311896,1125
34,3.4,1255896790915,1125
35,3.5,1255995403662,1125
36,3.6,1256124802098,1125
37,3.7,1256210773821,1125
38,3.8,1256300526128,1125
39,3.9,1257019684093,1125
40,4.0,1257019892178,1125
41,4.1,1257019977975,1125
42,4.2,1257019996726,1125
43,4.3,1257020007716,1125
44,4.4,1257020018001,1125
45,4.5,1257020027134,1125
46,4.6,1257387279066,1125
47,4.7,1257387544947,1125
48,4.8,1257387644160,1125
49,4.9,1257395142455,1125
50,5.0,1257494485541,1125
51,5.1,1257599958872,1125
52,5.2,1257717323258,1125
53,5.3,1257797099498,1125
54,5.4,1257900436450,1125
55,5.5,1257994665240,1125
56,5.6,1258096292216,1125
57,5.7,1258194267810,1125
58,5.8,1258293822991,1125
59,5.9,1258394538978,1125
60,6.0,1258494542552,1125
61,6.1,1258594787392,1125
62,6.2,1258694835050,1125
63,6.3,1258794233423,1125
64,6.4,1258894403890,1125
65,6.5,1258996377025,1125
66,6.6,1259101124079,1125
67,6.7,1259194118492,1125
68,6.8,1259294604374,1125
69,6.9,1259395460918,1125
70,7.0,1259493921006,1125
71,7.1,1259594110359,1125
72,7.2,1259694920048,1125
73,7.3,1259794497199,1125
74,7.4,1259894677165,1125
75,7.5,1259993914310,1125
76,7.6,1260094254120,1125
77,7.7,1260194463332,1125
78,7.8,1260294272746,1125
79,7.9,1260395580657,1125
80,8.0,1260494022816,1125
81,8.1,1260593936412,1125
82,8.2,1260694575277,1125
83,8.3,1260794287415,1125
84,8.4,1260894302796,1125
85,8.5,1260993876106,1125
86,8.6,1261111352920,1125
87,8.7,1261200756587,1125
88,8.8,1261312521960,1125
89,8.9,1261411142783,1125
90,9.0,1261498905044,1125
91,9.1,1261601629435,1125
92,9.2,1261694862010,1125
93,9.3,1261799232062,1125
94,9.4,1261901523112,1125
95,9.5,1261995811920,1125
96,9.6,1262098239235,1125
97,9.7,1262201680086,1125
98,9.8,1262295104831,1125
99,9.9,1262394542537,1125
100,10.0,1262508195267,1127
101,10.1,1262594314320,1127
102,10.2,1262695367632,1127
103,10.3,1262798752963,1127
104,10.4,1262902658203,1127
105,10.5,1262997295174,1127
106,10.6,1263094003289,1127
107,10.7,1263193938350,1127
108,10.8,1263294921333,1127
109,10.9,1263394431900,1127
110,11.0,1263494576561,1127
111,11.1,1263594700694,1127
112,11.2,1263694965539,1127
113,11.3,1263794488640,1127
114,11.4,1263894521684,1127
115,11.5,1263995479773,1127
116,11.6,1264094981169,1127
117,11.7,1264194226715,1127
118,11.8,1264295467099,1127
119,11.9,1264393903005,1127
120,12.0,1264493859384,1127
121,12.1,1264594373471,1127
122,12.2,1264693985800,1127
123,12.3,1264794059010,1127
124,12.4,1264894452671,1127
125,12.5,1264994012276,1127
126,12.6,1265094566587,1127
127,12.7,1265194954872,1127
128,12.8,1265293802446,1127
129,12.9,1265393980506,1127
130,13.0,1265494840032,1127
131,13.1,1265593926125,1127
132,13.2,1265694915082,1127
133,13.3,1265794368361,1127
134,13.4,1265894857601,1127
135,13.5,1265994625536,1127
136,13.6,1266094318687,1127
137,13.7,1266194148853,1127
138,13.8,1266294736709,1127
139,13.9,1266394863752,1127
140,14.0,1266494705960,1127
141,14.1,1266593966309,1127
142,14.2,1266694185343,1127
143,14.3,1266794863743,1127
144,14.4,1266894926411,1127
145,14.5,1266994274165,1127
146,14.6,1267094473833,1127
147,14.7,1267194018802,1127
148,14.8,1267294398644,1127
149,14.9,1267394126601,1127
150,15.0,1267494221729,1127
151,15.1,1267595154505,1127
152,15.2,1267694964423,1127
153,15.3,1267794108042,1127
154,15.4,1267894084162,1127
155,15.5,1267994274610,1127
156,15.6,1268094811895,1127
157,15.7,1268193776470,1127
158,15.8,1268294350295,1127
159,15.9,1268395133209,1127
160,16.0,1268494283144,1127
161,16.1,1268594566411,1127
162,16.2,1268694094567,1127
163,16.3,1268793879398,1127
164,16.4,1268893869764,1127
165,16.5,1268994681924,1127
166,16.6,1269094797196,1127
167,16.7,1269193980900,1127
168,16.8,1269295169450,1127
169,16.9,1269394197056,1127
170,17.0,1269494061713,1127
171,17.1,1269594002455,1127
172,17.2,1269693861863,1127
173,17.3,1269793932200,1127
174,17.4,1269897306994,1127
175,17.5,1269993971954,1127
176,17.6,1270093995097,1127
177,17.7,1270194633507,1127
178,17.8,1270294294276,1127
179,17.9,1270394678080,1127
180,18.0,1270495384143,1127
181,18.1,1270594395446,1127
182,18.2,1270694701758,1127
183,18.3,1270793974432,1127
184,18.4,1270893829496,1127
185,18.5,1270994177337,1127
186,18.6,1271095390739,1127
187,18.7,1271194160327,1127
188,18.8,1271294034562,1127
189,18.9,1271393947465,1127
190,19.0,1271494128787,1127
191,19.1,1271593834910,1127
192,19.2,1271694030748,1127
193,19.3,1271794009118,1127
194,19.4,1271894596698,1127
195,19.5,1271994978375,1127
196,19.6,1272093852514,1127
197,19.7,1272194707864,1127
198,19.8,1272294646819,1127
199,19.9,1272394606110,1127
200,20.0,1272496497882,1127
201,20.1,1272593962051,1127
202,20.2,1272694018570,1127
203,20.3,1272794133719,1127
204,20.4,1272894361924,1127
205,20.5,1272994144323,1127
206,20.6,1273094280541,1127
207,20.7,1273193895163,1127
208,20.8,1273294916819,1127
209,20.9,1273394529279,1127
210,21.0,1273493996831,1127
211,21.1,1273594334094,1127
212,21.2,1273694062028,1127
213,21.3,1273794004070,1127
214,21.4,1273893850238,1127
215,21.5,1273993904106,1127
216,21.6,1274153907203,1127
217,21.7,1274195955216,1127
218,21.8,1274310412727,1127
219,21.9,1274493698373,1127
220,22.0,1274493852036,1127
221,22.1,1274600018734,1127
222,22.2,1274734952008,1127
223,22.3,1274809656369,1127
224,22.4,1274894209787,1127
225,22.5,1275003034717,1127
226,22.6,1275094166609,1127
227,22.7,1275202345574,1127
228,22.8,1275295485596,1127
229,22.9,1275398049843,1127
230,23.0,1275494195445,1127
231,23.1,1275594278761,1127
232,23.2,1275697321637,1127
233,23.3,1275802659480,1127
234,23.4,1275894508701,1127
235,23.5,1276014991070,1127
236,23.6,1276101451360,1127
237,23.7,1276215086613,1127
238,23.8,1276302721284,1127
239,23.9,1276410952949,1127
240,24.0,1276494669170,1127
241,24.1,1276593928178,1127
242,24.2,1276693854040,1127
243,24.3,1276794796399,1127
244,24.4,1276940962988,1127
245,24.5,1277011946362,1127
246,24.6,1277104849163,1127
247,24.7,1277206411683,1127
248,24.8,1277294191954,1127
249,24.9,1277393967675,1127
250,25.0,1277493920443,1127
251,25.1,1277623113947,1127
252,25.2,1277776882111,1127
253,25.3,1277798058524,1127
254,25.4,1277896762875,1127
255,25.5,1277994525277,1127
256,25.6,1278104179062,1127
257,25.7,1278195584586,1127
258,25.8,1278294627077,1127
259,25.9,1278394049769,1127
260,26.0,1278493998691,1127
261,26.1,1278595229528,1127
262,26.2,1278694111919,1127
263,26.3,1278797470562,1127
264,26.4,1278894472079,1127
265,26.5,1279010854378,1127
266,26.6,1279126721139,1127
267,26.7,1279202066324,1127
268,26.8,1279457439653,1127
269,26.9,1279457824863,1127
270,27.0,1279501372145,1127
271,27.1,1279618278969,1127
272,27.2,1279698285230,1127
273,27.3,1279799569101,1127
274,27.4,1279920473250,1127
275,27.5,1279999028224,1127
276,27.6,1280113603500,1127
277,27.7,1280196106786,1127
278,27.8,1280306766778,1127
279,27.9,1280402601289,1127
280,28.0,1280510844063,1127
281,28.1,1280603459726,1127
282,28.2,1280722290846,1127
283,28.3,1280799267327,1127
284,28.4,1280924821341,1127
285,28.5,1281007845626,1127
286,28.6,1281098443518,1127
287,28.7,1281202453955,1127
288,28.8,1281295022753,1127
289,28.9,1281425948984,1127
290,29.0,1281515425950,1127
291,29.1,1281596618263,1127
292,29.2,1281694103392,1127
293,29.3,1281794034305,1127
294,29.4,1281894556440,1127
295,29.5,1282006598279,1127
296,29.6,1282108039330,1127
297,29.7,1282207053455,1127
298,29.8,1282295069075,1127
299,29.9,1282397783615,1127
300,30.0,1282507859136,1127
301,30.1,1282594248614,1127
302,30.2,1282713904762,1127
303,30.3,1282794716261,1127
304,30.4,1282896596731,1127
305,30.5,1282994179964,1127
306,30.6,1283094159551,1127
307,30.7,1283195769751,1127
308,30.8,1283294520275,1127
309,30.9,1283401748111,1127
310,31.0,1283493956929,1127
311,31.1,1283597050362,1127
312,31.2,1283696062756,1127
313,31.3,1283793854628,1127
314,31.4,1283925080277,1127
315,31.5,1283995095003,1127
316,31.6,1284097536034,1127
317,31.7,1284194158638,1127
318,31.8,1284306432174,1127
319,31.9,1284427551618,1127
320,32.0,1284502913595,1127
321,32.1,1284596311185,1127
322,32.2,1284697443331,1127
323,32.3,1284794520975,1127
324,32.4,1284894431880,1127
325,32.5,1284998241404,1127
326,32.6,1285108203541,1127
327,32.7,1285232099748,1127
328,32.8,1285299611489,1127
329,32.9,1285405274342,1127
330,33.0,1285518910299,1127
331,33.1,1285602671734,1127
332,33.2,1285694083198,1127
333,33.3,1285797843343,1127
334,33.4,1285893942856,1127
335,33.5,1286002713257,1127
336,33.6,1286095857638,1127
337,33.7,1286195623944,1127
338,33.8,1286296046435,1127
339,33.9,1286398039859,1127
340,34.0,1286500765717,1127
341,34.1,1286594666881,1127
342,34.2,1286697996097,1127
343,34.3,1286801672157,1127
344,34.4,1286894038301,1127
345,34.5,1286996503677,1127
346,34.6,1287099562308,1127
347,34.7,1287199109562,1127
348,34.8,1287294545780,1127
349,34.9,1287395146986,1127
350,35.0,1287502393858,1127
351,35.1,1287595287091,1127
352,35.2,1287701305164,1127
353,35.3,1287802372809,1127
354,35.4,1287920246344,1127
355,35.5,1288005854964,1127
356,35.6,1288102581653,1127
357,35.7,1288195195856,1127
358,35.8,1288298936787,1127
359,35.9,1288394358259,1127
360,36.0,1288509714253,1127
361,36.1,1288599336770,1127
362,36.2,1288718048124,1127
363,36.3,1288794433377,1127
364,36.4,1288899779475,1127
365,36.5,1288998278893,1127
366,36.6,1289094487145,1127
367,36.7,1289199886313,1127
368,36.8,1289304425319,1127
369,36.9,1289395316635,1127
370,37.0,1289501230884,1127
371,37.1,1289594555123,1127
372,37.2,1289701858915,1127
373,37.3,1289800353347,1127
374,37.4,1289894542724,1127
375,37.5,1289996532831,1127
376,37.6,1290099584054,1127
377,37.7,1290204125653,1127
378,37.8,1290294033976,1127
379,37.9,1290402398982,1127
380,38.0,1290510880177,1127
381,38.1,1290596768825,1127
382,38.2,1290702086355,1127
383,38.3,1290803873739,1127
384,38.4,1290896400371,1127
385,38.5,1290999949796,1127
386,38.6,1291094531160,1127
387,38.7,1291196029056,1127
388,38.8,1291299954208,1127
389,38.9,1291394427024,1127
390,39.0,1291496530277,1127
391,39.1,1291594117225,1127
392,39.2,1291694000099,1127
393,39.3,1291794633328,1127
394,39.4,1291894269363,1127
395,39.5,1291993923222,1127
396,39.6,1292094062224,1127
397,39.7,1292193978236,1127
398,39.8,1292294361998,1127
399,39.9,1292394005792,1127
400,40.0,1292494590631,1127
401,40.1,1292594446648,1127
402,40.2,1292694312777,1127
403,40.3,1292794885672,1127
404,40.4,1292895635009,1127
405,40.5,1292994053614,1127
406,40.6,1293094107902,1127
407,40.7,1293193928934,1127
408,40.8,1293294098174,1127
409,40.9,1293394533821,1127
410,41.0,1293494422668,1127
411,41.1,1293593969715,1127
412,41.2,1293694226700,1127
413,41.3,1293794217132,1127
414,41.4,1293894090285,1127
415,41.5,1293994826427,1127
416,41.6,1294095357742,1127
417,41.7,1294193933473,1127
418,41.8,1294294314033,1127
419,41.9,1294394676164,1127
420,42.0,1294494446333,1127
421,42.1,1294594213197,1127
422,42.2,1294694550976,1127
423,42.3,1294794706698,1127
424,42.4,1294894460559,1127
425,42.5,1294994369815,1127
426,42.6,1295094209249,1127
427,42.7,1295194173431,1127
428,42.8,1295294210487,1127
429,42.9,1295394506609,1127
430,43.0,1295506012689,1127
431,43.1,1295594449075,1127
432,43.2,1295694356758,1127
433,43.3,1295793803790,1127
434,43.4,1295907581256,1127
435,43.5,1295997989424,1127
436,43.6,1296094348017,1127
437,43.7,1296193953850,1127
438,43.8,1296294853829,1127
439,43.9,1296394134310,1127
440,44.0,1296494513064,1127
441,44.1,1296595348721,1127
442,44.2,1296693977332,1127
443,44.3,1296793805245,1127
444,44.4,1296895432247,1127
445,44.5,1296994757170,1127
446,44.6,1297095604404,1127
447,44.7,1297194770807,1127
448,44.8,1297294274162,1127
449,44.9,1297395512591,1127
450,45.0,1297494314897,1127
451,45.1,1297594283970,1127
452,45.2,1297694612314,1127
453,45.3,1297793935345,1127
454,45.4,1297894517138,1127
455,45.5,1297994696598,1127
456,45.6,1298108249049,1127
457,45.7,1298194733679,1127
458,45.8,1298328844577,1127
459,45.9,1298393847632,1127
460,46.0,1298496448217,1127
461,46.1,1298593898455,1127
462,46.2,1298708140136,1127
463,46.3,1298795716615,1127
464,46.4,1298906448821,1127
465,46.5,1298994692541,1127
466,46.6,1299095572306,1127
467,46.7,1299199965907,1127
468,46.8,1299294692726,1127
469,46.9,1299393798069,1127
470,47.0,1299494243277,1127
471,47.1,1299599290301,1127
472,47.2,1299703694528,1127
473,47.3,1299793901084,1127
474,47.4,1299906792244,1127
475,47.5,1300028482470,1127
476,47.6,1300813128031,1127
477,47.7,1300813330061,1127
478,47.8,1300813368031,1127
479,47.9,1300813391548,1127
480,48.0,1300813412194,1127
481,48.1,1300813431003,1127
482,48.2,1300813449721,1127
