packet_id,source_elapsed_s,send_monotonic_ns,receive_monotonic_ns,datagram_bytes
0,0.0,2002377236257,2002378511601,1124
1,0.1,2002495557113,2002496020553,1124
2,0.2,2002584302113,2002584819790,1124
3,0.3,2002651728217,2002652985739,1124
4,0.4,2002751868758,2002752486155,1124
5,0.5,2002859336896,2002859828274,1124
6,0.6,2002955133126,2002955629591,1124
7,0.7,2003053344707,2003053840350,1124
8,0.8,2003154594538,2003155271165,1124
9,0.9,2003253994839,2003254859776,1124
10,1.0,2003352434534,2003353149984,1125
11,1.1,2003455348260,2003455790434,1125
12,1.2,2003553729655,2003554231418,1125
13,1.3,2003651430072,2003651990927,1125
14,1.4,2003754357760,2003754896245,1125
15,1.5,2003855157550,2003855626268,1125
16,1.6,2003959699746,2003960376331,1125
17,1.7,2004051531532,2004052376299,1125
18,1.8,2004154165113,2004154642664,1125
19,1.9,2004256935934,2004257339845,1125
20,2.0,2004353507375,2004353930556,1125
21,2.1,2004472243759,2004472833063,1125
22,2.2,2004575860634,2004577013430,1125
23,2.3,2004660160387,2004660670718,1125
24,2.4,2004755488423,2004756024307,1125
25,2.5,2004853945317,2004854578498,1125
26,2.6,2004951795371,2004952305039,1125
27,2.7,2005051544010,2005051783150,1125
28,2.8,2005152796113,2005154005816,1125
29,2.9,2005251494440,2005251722538,1125
30,3.0,2005351504142,2005351729936,1125
31,3.1,2005451484622,2005451743377,1125
32,3.2,2005553312909,2005553505560,1125
33,3.3,2005652089494,2005652350042,1125
34,3.4,2005751565649,2005751770666,1125
35,3.5,2005851986171,2005852252703,1125
36,3.6,2005954754730,2005954998078,1125
37,3.7,2006051525394,2006051764647,1125
38,3.8,2006153326462,2006153529270,1125
39,3.9,2006251530478,2006251758170,1125
40,4.0,2006352293725,2006352528178,1125
41,4.1,2006452819004,2006453076303,1125
42,4.2,2006551490634,2006551779822,1125
43,4.3,2006651633361,2006651863027,1125
44,4.4,2006751571098,2006751747595,1125
45,4.5,2006851720671,2006852079927,1125
46,4.6,2006955325862,2006955569181,1125
47,4.7,2007051393686,2007051661400,1125
48,4.8,2007151769693,2007151994462,1125
49,4.9,2007251535777,2007251784516,1125
50,5.0,2007352294625,2007352494387,1125
51,5.1,2007451461885,2007451692745,1125
52,5.2,2007552261660,2007552498103,1125
53,5.3,2007653868457,2007654208036,1125
54,5.4,2007751497651,2007751747911,1125
55,5.5,2007851618189,2007851819278,1125
56,5.6,2007952274649,2007952470451,1125
57,5.7,2008051895525,2008052391223,1125
58,5.8,2008152342397,2008152561640,1125
59,5.9,2008251656237,2008251894641,1125
60,6.0,2008351742989,2008351995891,1125
61,6.1,2008451647954,2008451867771,1125
62,6.2,2008552358842,2008552566015,1125
63,6.3,2008651957996,2008652180797,1125
64,6.4,2008752550683,2008752861191,1125
65,6.5,2008852562516,2008852767310,1125
66,6.6,2008952408259,2008952681168,1125
67,6.7,2009052344086,2009052563030,1125
68,6.8,2009151673821,2009151873166,1125
69,6.9,2009251986800,2009252502903,1125
70,7.0,2009351523980,2009351804064,1125
71,7.1,2009451478639,2009451704192,1125
72,7.2,2009552551517,2009552768806,1125
73,7.3,2009651508141,2009651724451,1125
74,7.4,2009751440454,2009751609739,1125
75,7.5,2009851602453,2009851881903,1125
76,7.6,2009951812963,2009952065160,1125
77,7.7,2010051585261,2010051784655,1125
78,7.8,2010151643186,2010152077740,1125
79,7.9,2010251691917,2010251929078,1125
80,8.0,2010351603926,2010351842627,1125
81,8.1,2010451525639,2010451759344,1125
82,8.2,2010552765693,2010553028716,1125
83,8.3,2010652521106,2010652833391,1125
84,8.4,2010751666840,2010751905690,1125
85,8.5,2010851613151,2010851843291,1125
86,8.6,2010951842434,2010952345467,1125
87,8.7,2011051490972,2011051720928,1125
88,8.8,2011151949988,2011154547050,1125
89,8.9,2011251556374,2011251788214,1125
90,9.0,2011351442494,2011351684289,1125
91,9.1,2011451585864,2011451838095,1125
92,9.2,2011552777655,2011553101018,1125
93,9.3,2011654834649,2011655194487,1125
94,9.4,2011757451044,2011757682720,1125
95,9.5,2011869820082,2011870087757,1125
96,9.6,2011965718367,2011965978196,1125
97,9.7,2012055226781,2012055484072,1125
98,9.8,2012152402347,2012152639708,1125
99,9.9,2012257461049,2012257727106,1125
100,10.0,2012356584141,2012356859641,1127
101,10.1,2012455494707,2012455781767,1127
102,10.2,2012592044604,2012592412571,1127
103,10.3,2012652226693,2012652460614,1127
104,10.4,2012759742306,2012759998149,1127
105,10.5,2012873199249,2012873490382,1127
106,10.6,2012955957804,2012956222566,1127
107,10.7,2013059332738,2013059721751,1127
108,10.8,2013151865511,2013152197212,1127
109,10.9,2013255390501,2013255730061,1127
110,11.0,2013358326046,2013358569692,1127
111,11.1,2013454012632,2013454248283,1127
112,11.2,2013598662376,2013599013498,1127
113,11.3,2013652068350,2013652321246,1127
114,11.4,2013762510599,2013762827667,1127
115,11.5,2013854384941,2013854657893,1127
116,11.6,2013963947745,2013964372249,1127
117,11.7,2014081723448,2014081970946,1127
118,11.8,2014165790776,2014166053497,1127
119,11.9,2014264524429,2014264850083,1127
120,12.0,2014359462546,2014359693690,1127
121,12.1,2014452657456,2014452916856,1127
122,12.2,2014555601630,2014555851642,1127
123,12.3,2014659230608,2014659621999,1127
124,12.4,2014752187827,2014752467906,1127
125,12.5,2014855292765,2014855568354,1127
126,12.6,2014962286767,2014962550699,1127
127,12.7,2015051365713,2015051628148,1127
128,12.8,2015154612802,2015154915740,1127
129,12.9,2015257713961,2015257956889,1127
130,13.0,2015360980563,2015361274331,1127
131,13.1,2015452311115,2015452554822,1127
132,13.2,2015556449167,2015556684994,1127
133,13.3,2015659426146,2015659670832,1127
134,13.4,2015752249832,2015752494347,1127
135,13.5,2015855037260,2015855381845,1127
136,13.6,2015958430136,2015959104292,1127
137,13.7,2016051707246,2016051975945,1127
138,13.8,2016152379712,2016152643185,1127
139,13.9,2016253674911,2016253904217,1127
140,14.0,2016351594380,2016351804503,1127
141,14.1,2016455316902,2016455845781,1127
142,14.2,2016557897923,2016558157920,1127
143,14.3,2016651887725,2016652170460,1127
144,14.4,2016752734206,2016752966090,1127
145,14.5,2016855674509,2016855919792,1127
146,14.6,2016955606517,2016955833995,1127
147,14.7,2017051834627,2017052126925,1127
148,14.8,2017159753973,2017160012222,1127
149,14.9,2017256729569,2017257039746,1127
150,15.0,2017358305968,2017358572418,1127
151,15.1,2017452386415,2017452756514,1127
152,15.2,2017556303260,2017556582189,1127
153,15.3,2017676916206,2017677256611,1127
154,15.4,2017754169529,2017754436392,1127
155,15.5,2017853147944,2017853793117,1127
156,15.6,2017958485872,2017958738925,1127
157,15.7,2018052560171,2018052790835,1127
158,15.8,2018152610978,2018153028594,1127
159,15.9,2018257850491,2018258093780,1127
160,16.0,2018385023379,2018385572728,1127
161,16.1,2018452716464,2018452984326,1127
162,16.2,2018554965737,2018555326754,1127
163,16.3,2018652204461,2018652724026,1127
164,16.4,2018751505411,2018751792308,1127
165,16.5,2018859984959,2018860250021,1127
166,16.6,2018959056106,2018959271635,1127
167,16.7,2019051625044,2019051873127,1127
168,16.8,2019153549302,2019153861404,1127
169,16.9,2019251889369,2019252117467,1127
170,17.0,2019360937805,2019361197169,1127
171,17.1,2019452985557,2019453264553,1127
172,17.2,2019565722419,2019565946033,1127
173,17.3,2019660981059,2019661603849,1127
174,17.4,2019786471317,2019786723805,1127
175,17.5,2019854781402,2019855288472,1127
176,17.6,2019959844409,2019960077216,1127
177,17.7,2020053186648,2020053423008,1127
178,17.8,2020154686365,2020154987390,1127
179,17.9,2020259149052,2020259440486,1127
180,18.0,2020351528908,2020351783273,1127
181,18.1,2020515621723,2020515864514,1127
182,18.2,2020616091078,2020617879075,1127
183,18.3,2020656126100,2020656378562,1127
184,18.4,2020766807847,2020767067607,1127
185,18.5,2020856349647,2020856670364,1127
186,18.6,2020959577411,2020959793610,1127
187,18.7,2021085014272,2021085268498,1127
188,18.8,2021158118413,2021158692529,1127
189,18.9,2021251678326,2021251921251,1127
190,19.0,2021354838008,2021355075708,1127
191,19.1,2021455963101,2021456522713,1127
192,19.2,2021554622979,2021554857905,1127
193,19.3,2021655308089,2021655581282,1127
194,19.4,2021754884497,2021755132966,1127
195,19.5,2021860630055,2021860837677,1127
196,19.6,2021953046575,2021953262192,1127
197,19.7,2022056275536,2022056847271,1127
198,19.8,2022164016052,2022164520742,1127
199,19.9,2022253900517,2022254108517,1127
200,20.0,2022376055063,2022376310320,1127
201,20.1,2022459961554,2022460222249,1127
202,20.2,2022552528718,2022552797075,1127
203,20.3,2022655346732,2022655623880,1127
204,20.4,2022758892097,2022759141955,1127
205,20.5,2022887519949,2022887806786,1127
206,20.6,2022993101827,2022993566110,1127
207,20.7,2023159513451,2023159978404,1127
208,20.8,2023159720596,2023160049374,1127
209,20.9,2023253116732,2023253640415,1127
210,21.0,2023392240735,2023392497082,1127
211,21.1,2023459085093,2023459304952,1127
212,21.2,2023570597434,2023570844763,1127
213,21.3,2023655524188,2023655868384,1127
214,21.4,2023794461101,2023794770050,1127
215,21.5,2023854560119,2023854803171,1127
216,21.6,2023955399534,2023955635050,1127
217,21.7,2024059129640,2024059358269,1127
218,21.8,2024160212684,2024160441721,1127
219,21.9,2024254771921,2024255012816,1127
220,22.0,2024355936480,2024356451295,1127
221,22.1,2024451749482,2024452633345,1127
222,22.2,2024554422341,2024554655859,1127
223,22.3,2024656214400,2024656468010,1127
224,22.4,2024755069830,2024755308153,1127
225,22.5,2024852504190,2024852772215,1127
226,22.6,2024954985995,2024955225242,1127
227,22.7,2025052061830,2025052880811,1127
228,22.8,2025156625763,2025157191351,1127
229,22.9,2025256072414,2025256313881,1127
230,23.0,2025430099322,2025430375818,1127
231,23.1,2025451650036,2025451861248,1127
232,23.2,2025554348883,2025554599455,1127
233,23.3,2025657443984,2025657693211,1127
234,23.4,2025783514331,2025783812214,1127
235,23.5,2025853915549,2025854172272,1127
236,23.6,2025957869266,2025958107374,1127
237,23.7,2026059075189,2026059463532,1127
238,23.8,2026152555086,2026152804346,1127
239,23.9,2026277663667,2026277988818,1127
240,24.0,2026351880921,2026352133061,1127
241,24.1,2026453344205,2026453581475,1127
242,24.2,2026557583501,2026557866548,1127
243,24.3,2026659974477,2026660235272,1127
244,24.4,2026752558630,2026752826185,1127
245,24.5,2026864648426,2026864894006,1127
246,24.6,2026959737807,2026960006540,1127
247,24.7,2027052503035,2027052753579,1127
248,24.8,2027153540574,2027153781470,1127
249,24.9,2027258272820,2027258481285,1127
250,25.0,2027363145766,2027363434154,1127
251,25.1,2027503046909,2027503880623,1127
252,25.2,2027573848719,2027574081291,1127
253,25.3,2027674253450,2027674514764,1127
254,25.4,2027755000302,2027755411344,1127
255,25.5,2027858737833,2027858969141,1127
256,25.6,2027952182162,2027952429293,1127
257,25.7,2028052932964,2028053124996,1127
258,25.8,2028156196527,2028156470951,1127
259,25.9,2028270587884,2028270852987,1127
260,26.0,2028353338766,2028353569438,1127
261,26.1,2028454403936,2028454702158,1127
262,26.2,2028560274569,2028560509465,1127
263,26.3,2028655471340,2028656438360,1127
264,26.4,2028756082490,2028756431328,1127
265,26.5,2028853554211,2028853953117,1127
266,26.6,2028953753314,2028954722202,1127
267,26.7,2029056517295,2029056778800,1127
268,26.8,2029159193880,2029159430969,1127
269,26.9,2029273661297,2029273917106,1127
270,27.0,2029355397512,2029355608976,1127
271,27.1,2029459124214,2029459371000,1127
272,27.2,2029552265071,2029552511585,1127
273,27.3,2029656877762,2029657168297,1127
274,27.4,2029756793306,2029757033524,1127
275,27.5,2029851995018,2029852256599,1127
276,27.6,2029982330721,2029982593919,1127
277,27.7,2030058096251,2030058374102,1127
278,27.8,2030151892954,2030152084060,1127
279,27.9,2030277664359,2030277945884,1127
280,28.0,2030356478963,2030356750122,1127
281,28.1,2030459368976,2030459604747,1127
282,28.2,2030552552587,2030552785212,1127
283,28.3,2030655997362,2030656255862,1127
284,28.4,2030796786948,2030797395934,1127
285,28.5,2030851888214,2030852118331,1127
286,28.6,2030955215209,2030955454400,1127
287,28.7,2031119254403,2031119551852,1127
288,28.8,2031205783472,2031206048710,1127
289,28.9,2031254293951,2031254457521,1127
290,29.0,2031357943982,2031358186826,1127
291,29.1,2031452257640,2031452489614,1127
292,29.2,2031554445241,2031554675946,1127
293,29.3,2031674391124,2031674792438,1127
294,29.4,2031759748645,2031759958263,1127
295,29.5,2031864655460,2031864961515,1127
296,29.6,2031955795437,2031956093499,1127
297,29.7,2032058575823,2032058872325,1127
298,29.8,2032152396729,2032152676927,1127
299,29.9,2032275098961,2032275343326,1127
300,30.0,2032358201173,2032358453684,1127
301,30.1,2032453222365,2032453468132,1127
302,30.2,2032553627081,2032553846417,1127
303,30.3,2032661873181,2032662084446,1127
304,30.4,2032759223575,2032759434516,1127
305,30.5,2032854246105,2032854484903,1127
306,30.6,2032957621145,2032959572204,1127
307,30.7,2033051376155,2033051648715,1127
308,30.8,2033152106726,2033152432467,1127
309,30.9,2033256685787,2033256918873,1127
310,31.0,2033360372109,2033360669313,1127
311,31.1,2033456732176,2033457057655,1127
312,31.2,2033551963718,2033552230242,1127
313,31.3,2033664063348,2033664523590,1127
314,31.4,2033753241052,2033753461681,1127
315,31.5,2033856417597,2033856661509,1127
316,31.6,2033955705185,2033956756583,1127
317,31.7,2034051570968,2034051811584,1127
318,31.8,2034152427879,2034152607697,1127
319,31.9,2034252796113,2034253028112,1127
320,32.0,2034351537470,2034352486453,1127
321,32.1,2034452173284,2034453882292,1127
322,32.2,2034666978442,2034681011223,1127
323,32.3,2034681102189,2034681177099,1127
324,32.4,2034752978816,2034753201721,1127
325,32.5,2034851562367,2034852221774,1127
326,32.6,2034951524358,2034952012205,1127
327,32.7,2035051520385,2035051981112,1127
328,32.8,2035153474005,2035153706404,1127
329,32.9,2035252115891,2035252339994,1127
330,33.0,2035351734343,2035351960424,1127
331,33.1,2035452136186,2035452370571,1127
332,33.2,2035551491089,2035552084828,1127
333,33.3,2035651547163,2035651779478,1127
334,33.4,2035752083574,2035752309678,1127
335,33.5,2035851550450,2035852099411,1127
336,33.6,2035951522206,2035951987665,1127
337,33.7,2036052489406,2036052705101,1127
338,33.8,2036151488891,2036152145194,1127
339,33.9,2036251950620,2036252184765,1127
340,34.0,2036353453466,2036353669173,1127
341,34.1,2036451552187,2036451772915,1127
342,34.2,2036551525923,2036551999693,1127
343,34.3,2036652999217,2036653256290,1127
344,34.4,2036751478207,2036751995948,1127
345,34.5,2036851600923,2036851832967,1127
346,34.6,2036951543149,2036952058374,1127
347,34.7,2037052723844,2037052910507,1127
348,34.8,2037151529740,2037152036329,1127
349,34.9,2037251473757,2037251630242,1127
350,35.0,2037352651182,2037352822012,1127
351,35.1,2037451522912,2037451696967,1127
352,35.2,2037551533032,2037551709367,1127
353,35.3,2037652286024,2037652458212,1127
354,35.4,2037751440256,2037751613145,1127
355,35.5,2037852454669,2037852707358,1127
356,35.6,2037953169976,2037953376339,1127
357,35.7,2038058526772,2038058730301,1127
358,35.8,2038152282224,2038152492636,1127
359,35.9,2038252625403,2038252816635,1127
360,36.0,2038353889054,2038354109144,1127
361,36.1,2038456251345,2038456460494,1127
362,36.2,2038551487258,2038551714310,1127
363,36.3,2038651480986,2038651654138,1127
364,36.4,2038751480993,2038751676636,1127
365,36.5,2038852430475,2038852648341,1127
366,36.6,2038951599270,2038951816362,1127
367,36.7,2039052337334,2039052851755,1127
