packet_id,source_elapsed_s,send_monotonic_ns,datagram_bytes
0,0.0,2189887366582,1124
1,0.2,2190093059946,1124
2,0.4,2190284160000,1124
3,0.6,2190487929504,1124
4,0.8,2190685457373,1124
5,1.0,2190890603536,1124
6,1.2,2191087685592,1124
7,1.4,2191284366980,1124
8,1.6,2191490772920,1124
9,1.8,2191684829001,1124
10,2.0,2191883716443,1125
11,2.2,2192105768887,1125
12,2.4,2192284554984,1125
13,2.6,2192491291372,1125
14,2.8,2192686205280,1125
15,3.0,2192900465678,1125
16,3.2,2193088277754,1125
17,3.4,2193285264746,1125
18,3.6,2193490398168,1125
19,3.8,2193686653593,1125
20,4.0,2193900064753,1125
21,4.2,2194084322507,1125
22,4.4,2194286586282,1125
23,4.6,2194492561026,1125
24,4.8,2194686737011,1125
25,5.0,2194884282359,1125
26,5.2,2195084356296,1125
27,5.4,2195284181987,1125
28,5.6,2195490404812,1125
29,5.8,2195688559464,1125
30,6.0,2195885416381,1125
31,6.2,2196084930008,1125
32,6.4,2196288211090,1125
33,6.6,2196484846840,1125
34,6.8,2196690266495,1125
35,7.0,2196887214159,1125
36,7.2,2197091686950,1125
37,7.4,2197298274340,1125
38,7.6,2197492486341,1125
39,7.8,2197689739854,1125
40,8.0,2197884805419,1125
41,8.2,2198123668982,1125
42,8.4,2198288339830,1125
43,8.6,2198484309368,1125
44,8.8,2198691550721,1125
45,9.0,2198887402341,1125
46,9.2,2199083887823,1125
47,9.4,2199289619165,1125
48,9.6,2199484662288,1125
49,9.8,2199684517754,1125
50,10.0,2199888101677,1126
51,10.2,2200084198455,1126
52,10.4,2200284478423,1126
53,10.6,2200486269015,1126
54,10.8,2200683978675,1126
55,11.0,2200889348762,1126
56,11.2,2201105665302,1126
57,11.4,2201287523407,1126
58,11.6,2201495079333,1126
59,11.8,2201690649885,1126
60,12.0,2201886520478,1126
61,12.2,2202085239674,1126
62,12.4,2202311775928,1126
63,12.6,2202487959021,1126
64,12.8,2202684868402,1126
65,13.0,2202884311601,1126
66,13.2,2203086929047,1126
67,13.4,2203286085538,1126
68,13.6,2203484582314,1126
69,13.8,2203691561815,1126
70,14.0,2203888539163,1126
71,14.2,2204084907587,1126
72,14.4,2204285001843,1126
73,14.6,2204488437826,1126
74,14.8,2204685250300,1126
75,15.0,2204888970391,1126
76,15.2,2205089640617,1126
77,15.4,2205284001899,1126
78,15.6,2205483798505,1126
79,15.8,2205684461848,1126
80,16.0,2205896765061,1126
81,16.2,2206089182339,1126
82,16.4,2206285452656,1126
83,16.6,2206486717549,1126
84,16.8,2206685482593,1126
85,17.0,2206895846622,1126
86,17.2,2207089894941,1126
87,17.4,2207284980962,1126
88,17.6,2207485058238,1126
89,17.8,2207688469519,1126
90,18.0,2207885191048,1126
91,18.2,2208084502010,1126
92,18.4,2208285996413,1126
93,18.6,2208488825314,1126
94,18.8,2208685447147,1126
95,19.0,2208886777043,1126
96,19.2,2209088793941,1126
97,19.4,2209287402222,1126
98,19.6,2209493477714,1126
99,19.8,2209690099622,1126
100,20.0,2209884000426,1127
101,20.2,2210084402961,1127
102,20.4,2210289302172,1127
103,20.6,2210484988088,1127
104,20.8,2210688512400,1127
105,21.0,2210887956426,1127
106,21.2,2211083863982,1127
107,21.4,2211289950117,1127
108,21.6,2211484240157,1127
109,21.8,2211685191409,1127
110,22.0,2211883966418,1127
111,22.2,2212083721618,1127
112,22.4,2212291329524,1127
113,22.6,2212484259446,1127
114,22.8,2212686703975,1127
115,23.0,2212888391326,1127
116,23.2,2213084870356,1127
117,23.4,2213284301167,1127
118,23.6,2213486406407,1127
119,23.8,2213685591879,1127
120,24.0,2213889312787,1127
121,24.2,2214085334162,1127
122,24.4,2214285032360,1127
123,24.6,2214508771587,1127
124,24.8,2214684348861,1127
125,25.0,2214883860049,1127
126,25.2,2215084066207,1127
127,25.4,2215284416887,1127
128,25.6,2215483854730,1127
129,25.8,2215683875323,1127
130,26.0,2215884365732,1127
131,26.2,2216083806668,1127
132,26.4,2216283996910,1127
133,26.6,2216484085841,1127
134,26.8,2216684556236,1127
135,27.0,2216884402841,1127
136,27.2,2217106651197,1127
137,27.4,2217283863910,1127
138,27.6,2217487056585,1127
139,27.8,2217690344999,1127
140,28.0,2217889632864,1127
141,28.2,2218092149453,1127
142,28.4,2218292217724,1127
143,28.6,2218488246979,1127
144,28.8,2218687580543,1127
145,29.0,2218891479971,1127
146,29.2,2219085344689,1127
147,29.4,2219286450251,1127
148,29.6,2219492693084,1127
149,29.8,2219685241319,1127
150,30.0,2219893587255,1127
151,30.2,2220089956781,1127
152,30.4,2220285854695,1127
153,30.6,2220485203616,1127
154,30.8,2220687074359,1127
155,31.0,2220884486355,1127
156,31.2,2221084835251,1127
157,31.4,2221286370577,1127
158,31.6,2221492472756,1127
159,31.8,2221684356812,1127
160,32.0,2221896063110,1127
161,32.2,2222089010657,1127
162,32.4,2222287275093,1127
163,32.6,2222484738934,1127
164,32.8,2222687854492,1127
165,33.0,2222884516746,1127
166,33.2,2223084424387,1127
167,33.4,2223287159065,1127
168,33.6,2223487345505,1127
169,33.8,2223685017904,1127
170,34.0,2223883862058,1127
171,34.2,2224090286755,1127
172,34.4,2224286732414,1127
173,34.6,2224488842472,1127
174,34.8,2224688758027,1127
175,35.0,2224884700259,1127
176,35.2,2225090751252,1127
177,35.4,2225286505574,1127
178,35.6,2225493171489,1127
179,35.8,2225689134413,1127
180,36.0,2226112284145,1127
181,36.2,2226112444629,1127
182,36.4,2226288606633,1127
183,36.6,2226484591039,1127
184,36.8,2226690620213,1127
185,37.0,2226886579925,1127
186,37.2,2227091591873,1127
187,37.4,2227284181935,1127
188,37.6,2227485719996,1127
189,37.8,2227692099083,1127
190,38.0,2227888523157,1127
191,38.2,2228084486784,1127
192,38.4,2228283865372,1127
193,38.6,2228487305526,1127
194,38.8,2228689987081,1127
195,39.0,2228884747059,1127
196,39.2,2229084864480,1127
197,39.4,2229284319855,1127
198,39.6,2229487352784,1127
199,39.8,2229688369042,1127
200,40.0,2230207937391,1127
201,40.2,2230208111052,1127
202,40.4,2230287625979,1127
203,40.6,2230490938331,1127
204,40.8,2230686885412,1127
205,41.0,2230886153987,1127
206,41.2,2231088109436,1127
207,41.4,2231284047374,1127
208,41.6,2231499822205,1127
209,41.8,2231687474959,1127
210,42.0,2231892581638,1127
211,42.2,2232086895938,1127
212,42.4,2232284648152,1127
213,42.6,2232488782405,1127
214,42.8,2232685137946,1127
215,43.0,2232883901987,1127
216,43.2,2233087489884,1127
217,43.4,2233289030054,1127
218,43.6,2233486738573,1127
219,43.8,2233685331278,1127
220,44.0,2233886585365,1127
221,44.2,2234085873086,1127
222,44.4,2234286238126,1127
223,44.6,2234490888274,1127
224,44.8,2234683897664,1127
225,45.0,2234884597408,1127
226,45.2,2235089187621,1127
227,45.4,2235284352209,1127
228,45.6,2235488250166,1127
229,45.8,2235686919282,1127
230,46.0,2235892799603,1127
231,46.2,2236090908672,1127
232,46.4,2236287380633,1127
233,46.6,2236494191237,1127
234,46.8,2236683774812,1127
235,47.0,2236884575925,1127
236,47.2,2237091201422,1127
237,47.4,2237287359998,1127
238,47.6,2237493357147,1127
239,47.8,2237683914970,1127
240,48.0,2237885863879,1127
241,48.2,2238154497675,1127
242,48.4,2238286322624,1127
243,48.6,2238484036992,1127
244,48.8,2238686574019,1127
245,49.0,2238886648836,1127
246,49.2,2239093176620,1127
247,49.4,2239285664702,1127
248,49.6,2239490725661,1127
