packet_id,source_elapsed_s,send_monotonic_ns,receive_monotonic_ns,datagram_bytes
0,0.0,2565245698083,2565605213690,1124
1,1.0,2566245452558,2566576791447,1124
2,2.0,2567238166807,2567537087416,1124
3,3.0,2568238303047,2568552636058,1124
4,4.0,2569239051518,2569612743441,1124
5,5.0,2570246200297,2570436743070,1124
6,6.0,2571238295471,2571487615099,1124
7,7.0,2572247317819,2572446631463,1124
8,8.0,2573288649993,2573593712563,1124
9,9.0,2574366032873,2574653070671,1124
10,10.0,2575238113390,2575613808153,1126
12,12.0,2577238433824,2577671409996,1126
13,13.0,2578238248138,2578528412925,1126
14,14.0,2579238108474,2579480398256,1126
15,15.0,2580238163573,2580521262156,1126
17,17.0,2582238520052,2582515490424,1126
18,18.0,2583238646514,2583548413983,1126
19,19.0,2584238226658,2584512249589,1126
20,20.0,2585238199770,2585483739043,1126
21,21.0,2586238495427,2586551214242,1126
22,22.0,2587238193292,2587628048832,1126
23,23.0,2588238496682,2588572263307,1126
24,24.0,2589238132763,2589529635009,1126
25,25.0,2590238226671,2590502311772,1126
26,26.0,2591240389093,2591706365805,1126
27,27.0,2592238752104,2592680169318,1126
28,28.0,2593238488571,2593529906588,1126
29,29.0,2594238150093,2594383714561,1126
30,30.0,2595239099722,2595697977008,1126
31,31.0,2596243087166,2596617347950,1126
32,32.0,2597240108195,2597573863916,1126
33,33.0,2598246580231,2598470060720,1126
34,34.0,2599238269827,2599548016816,1126
36,36.0,2601238275091,2601581845868,1126
37,37.0,2602238083100,2602721249037,1126
38,38.0,2603238130567,2603414047511,1126
39,39.0,2604239594576,2604478304784,1126
40,40.0,2605245576801,2605499179277,1126
41,41.0,2606247371898,2606732335774,1126
43,43.0,2608239373983,2608524410845,1126
44,44.0,2609240685514,2609586142793,1126
45,45.0,2610243192389,2610632291531,1126
47,47.0,2612238545788,2612679512575,1126
48,48.0,2613251794429,2613533135373,1126
49,49.0,2614241022378,2614658155055,1126
51,51.0,2616238239405,2616570945991,1126
52,52.0,2617239278192,2617660610793,1126
53,53.0,2618238095494,2618407351317,1126
54,54.0,2619238132508,2619704242768,1126
55,55.0,2620238707272,2620488709564,1126
56,56.0,2621238155798,2621486542682,1126
57,57.0,2622238202497,2622553439895,1126
58,58.0,2623240192730,2623495504761,1126
59,59.0,2624238093375,2624546414241,1126
60,60.0,2625238151823,2625618449366,1126
61,61.0,2626238061960,2626439557948,1126
62,62.0,2627238442157,2627516560512,1126
63,63.0,2628238243296,2628498542302,1126
64,64.0,2629238564581,2629513651901,1126
65,65.0,2630240591979,2630692978653,1126
66,66.0,2631239030743,2631558733231,1126
67,67.0,2632239113735,2632501449939,1126
68,68.0,2633238226715,2633616746083,1126
69,69.0,2634238212737,2634522568071,1126
70,70.0,2635238233203,2635487478876,1126
71,71.0,2636238173573,2636518521456,1126
72,72.0,2637238096401,2637524479188,1126
73,73.0,2638238015846,2638535398674,1126
