packet_id,source_elapsed_s,send_monotonic_ns,datagram_bytes,receive_monotonic_ns,received,measured_delay_ms
0,0.0,3321750611655,1124,,False,
1,1.0,3322750254685,1124,,False,
2,2.0,3323752510518,1124,,False,
3,3.0,3324755920519,1124,3325180852034.0,True,424.931515
4,4.0,3325754473454,1124,3326196490941.0,True,442.017487
5,5.0,3326748462450,1124,3326979892113.0,True,231.429663
6,6.0,3327750531548,1124,3328013738387.0,True,263.206839
7,7.0,3328751783886,1124,3329236508864.0,True,484.724978
8,8.0,3329748622560,1124,3329816372956.0,True,67.750396
9,9.0,3330751612288,1124,3331200670011.0,True,449.057723
10,10.0,3331748260755,1126,3332068593282.0,True,320.332527
11,11.0,3332750153936,1126,3333082764949.0,True,332.611013
12,12.0,3333748204746,1126,3334139686551.0,True,391.481805
13,13.0,3334748355085,1126,3335030571643.0,True,282.216558
14,14.0,3335748863736,1126,3336150379895.0,True,401.516159
15,15.0,3336749359814,1126,3337104648533.0,True,355.288719
16,16.0,3337748435756,1126,3338119677953.0,True,371.242197
17,17.0,3338748293952,1126,3338982540484.0,True,234.246532
18,18.0,3339748194085,1126,3340124536107.0,True,376.342022
19,19.0,3340748214484,1126,3340880805322.0,True,132.590838
20,20.0,3341749136923,1126,3342043369107.0,True,294.232184
21,21.0,3342751792145,1126,3342957330068.0,True,205.537923
22,22.0,3343751220796,1126,3344199801085.0,True,448.580289
23,23.0,3344750404340,1126,3345083747109.0,True,333.342769
24,24.0,3345754137120,1126,3346193644183.0,True,439.507063
25,25.0,3346749972428,1126,3347050782006.0,True,300.809578
26,26.0,3347751183644,1126,3347931747409.0,True,180.563765
27,27.0,3348748550201,1126,3349089348123.0,True,340.797922
28,28.0,3349749926453,1126,3350069842669.0,True,319.916216
29,29.0,3350750935164,1126,,False,
30,30.0,3351751401898,1126,,False,
31,31.0,3352752063537,1126,3353001969814.0,True,249.906277
32,32.0,3353749625475,1126,3354208498469.0,True,458.872994
33,33.0,3354748222254,1126,3354957435039.0,True,209.212785
34,34.0,3355751017889,1126,3355976824926.0,True,225.807037
35,35.0,3356750565138,1126,3357123037403.0,True,372.472265
36,36.0,3357748444674,1126,3358020780607.0,True,272.335933
37,37.0,3358750583945,1126,3359159754940.0,True,409.170995
38,38.0,3359748334795,1126,3360265593423.0,True,517.258628
39,39.0,3360748969759,1126,3361200739317.0,True,451.769558
40,40.0,3361748868389,1126,3362185142115.0,True,436.273726
41,41.0,3362751624524,1126,3363077273201.0,True,325.648677
42,42.0,3363748251611,1126,3364175401294.0,True,427.149683
43,43.0,3364748526476,1126,3365121237469.0,True,372.710993
44,44.0,3365748183478,1126,3366084470945.0,True,336.287467
45,45.0,3366749872825,1126,3367086536643.0,True,336.663818
46,46.0,3367750828847,1126,3367941520531.0,True,190.691684
47,47.0,3368750589472,1126,,False,
48,48.0,3369771531015,1126,3370010921838.0,True,239.390823
49,49.0,3370749933773,1126,3371053435022.0,True,303.501249
50,50.0,3371748198717,1126,3372148736943.0,True,400.538226
51,51.0,3372748265520,1126,3373004376169.0,True,256.110649
52,52.0,3373750504526,1126,3373985374997.0,True,234.870471
53,53.0,3374748364067,1126,3375092833014.0,True,344.468947
54,54.0,3375748458657,1126,,False,
55,55.0,3376749711094,1126,3377105400392.0,True,355.689298
56,56.0,3377748170101,1126,3378057943760.0,True,309.773659
57,57.0,3378748601255,1126,3378935978262.0,True,187.377007
58,58.0,3379754856406,1126,3380141193204.0,True,386.336798
59,59.0,3380750298176,1126,3381052505203.0,True,302.207027
60,60.0,3381748074058,1126,3381966003093.0,True,217.929035
61,61.0,3382752632675,1126,3383124035446.0,True,371.402771
62,62.0,3383748482071,1126,3384155608807.0,True,407.126736
63,63.0,3384748714256,1126,3385122788169.0,True,374.073913
64,64.0,3385750306620,1126,3386163715053.0,True,413.408433
65,65.0,3386748823021,1126,3387200715439.0,True,451.892418
66,66.0,3387748310706,1126,,False,
67,67.0,3388749645640,1126,3388840134187.0,True,90.488547
68,68.0,3389752552564,1126,3390175375107.0,True,422.822543
69,69.0,3390748907080,1126,3391092422408.0,True,343.515328
70,70.0,3391748771923,1126,3392178474810.0,True,429.702887
71,71.0,3392750207655,1126,3393027679613.0,True,277.471958
72,72.0,3393749351777,1126,3394087201595.0,True,337.849818
73,73.0,3394751942578,1126,3394886509906.0,True,134.567328
74,74.0,3395776253847,1126,3396022374952.0,True,246.121105
75,75.0,3396749766951,1126,3397185486476.0,True,435.719525
76,76.0,3397751534954,1126,,False,
77,77.0,3398751107532,1126,3398956563505.0,True,205.455973
78,78.0,3399748728501,1126,3400160078458.0,True,411.349957
79,79.0,3400750998379,1126,3401180076246.0,True,429.077867
80,80.0,3401750837349,1126,3402046600858.0,True,295.763509
81,81.0,3402753522562,1126,3403168787146.0,True,415.264584
82,82.0,3403749152790,1126,3404183595156.0,True,434.442366
83,83.0,3404754481539,1126,3405106778568.0,True,352.297029
84,84.0,3405751757640,1126,3406054086799.0,True,302.329159
85,85.0,3406750277141,1126,3407174367022.0,True,424.089881
