sequence,service,classification,ideal_qualified,practical_qualified,degraded_qualified,practical_restores,ideal_failure_component,practical_failure_component,degraded_failure_component
building00,global,persistent_under_ideal,0,0,0,0,physical_only,physical_only,physical_only
building00,local_10s,delivery_remediable,1,0,0,0,none,physical_only,physical_only
building00,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
building00,local_5s,delivery_remediable,1,0,0,0,none,physical_only,physical_only
building01,global,persistent_under_ideal,0,0,0,0,physical_only,physical_only,physical_only
building01,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
building01,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
building01,local_5s,delivery_remediable,1,0,0,0,none,physical_only,physical_only
building02,global,persistent_under_ideal,0,0,0,0,physical_only,physical_only,physical_only
building02,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
building02,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
building02,local_5s,delivery_remediable,1,0,0,0,none,physical_only,physical_only
parking00,global,persistent_under_ideal,0,0,0,0,physical_only,physical_only,physical_only
parking00,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
parking00,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
parking00,local_5s,delivery_remediable,1,0,0,0,none,physical_only,physical_only
parking01,global,persistent_under_ideal,0,0,0,0,physical_only,physical_only,physical_only
parking01,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
parking01,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
parking01,local_5s,delivery_remediable,1,1,0,1,none,none,physical_only
parking02,global,persistent_under_ideal,0,0,0,0,physical_only,physical_only,physical_only
parking02,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
parking02,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
parking02,local_5s,delivery_remediable,1,1,0,1,none,none,physical_only
playground00,global,already_qualified_degraded,1,1,1,0,none,none,none
playground00,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
playground00,local_1s,delivery_remediable,1,1,0,1,none,none,physical_and_freshness
playground00,local_5s,delivery_remediable,1,1,0,1,none,none,physical_only
street00,global,already_qualified_degraded,1,1,1,0,none,none,none
street00,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
street00,local_1s,delivery_remediable,1,1,0,1,none,none,physical_only
street00,local_5s,delivery_remediable,1,1,0,1,none,none,physical_only
street01,global,delivery_remediable,1,1,0,1,none,none,physical_only
street01,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
street01,local_1s,delivery_remediable,1,1,0,1,none,none,physical_only
street01,local_5s,delivery_remediable,1,1,0,1,none,none,physical_only
street02,global,delivery_remediable,1,1,0,1,none,none,physical_only
street02,local_10s,delivery_remediable,1,1,0,1,none,none,physical_only
street02,local_1s,delivery_remediable,1,1,0,1,none,none,physical_only
street02,local_5s,delivery_remediable,1,1,0,1,none,none,physical_only
