sequence,model_replicate,transport_replicate,condition,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,lost_packets,realized_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms,capture_packets,trace_repetitions
building00,seed_42,1,degraded,2.0,1.9062291805463036,2402,2289,113,0.04704412989175687,206.52545,313.93499259999976,390.21384,360,6.6722222222222225
building00,seed_1042,1,degraded,2.0,1.9062291805463036,2402,2289,113,0.04704412989175687,206.52545,313.93499259999976,390.21384,360,6.6722222222222225
building00,seed_2042,1,degraded,2.0,1.9062291805463036,2402,2289,113,0.04704412989175687,206.52545,313.93499259999976,390.21384,360,6.6722222222222225
building01,seed_42,1,degraded,2.0,1.9060490940970203,2738,2609,129,0.04711468224981739,206.52545,313.93499259999976,390.21384,360,7.605555555555555
building01,seed_1042,1,degraded,2.0,1.9060490940970203,2738,2609,129,0.04711468224981739,206.52545,313.93499259999976,390.21384,360,7.605555555555555
building01,seed_2042,1,degraded,2.0,1.9060490940970203,2738,2609,129,0.04711468224981739,206.52545,313.93499259999976,390.21384,360,7.605555555555555
building02,seed_42,1,degraded,2.0,1.9045583284347603,3743,3565,178,0.04755543681538873,206.31173,314.953457,390.21384,360,10.397222222222222
building02,seed_1042,1,degraded,2.0,1.9045583284347603,3743,3565,178,0.04755543681538873,206.31173,314.953457,390.21384,360,10.397222222222222
building02,seed_2042,1,degraded,2.0,1.9045583284347603,3743,3565,178,0.04755543681538873,206.31173,314.953457,390.21384,360,10.397222222222222
parking00,seed_42,1,degraded,2.0,1.9039270687237222,2282,2172,110,0.04820333041191937,206.31173,314.953457,390.21384,360,6.338888888888889
parking00,seed_1042,1,degraded,2.0,1.9039270687237222,2282,2172,110,0.04820333041191937,206.31173,314.953457,390.21384,360,6.338888888888889
parking00,seed_2042,1,degraded,2.0,1.9039270687237222,2282,2172,110,0.04820333041191937,206.31173,314.953457,390.21384,360,6.338888888888889
parking01,seed_42,1,degraded,2.0,1.9050764295150238,2120,2019,101,0.04764150943396227,206.039932,312.407296,390.21384,360,5.888888888888889
parking01,seed_1042,1,degraded,2.0,1.9050764295150238,2120,2019,101,0.04764150943396227,206.039932,312.407296,390.21384,360,5.888888888888889
parking01,seed_2042,1,degraded,2.0,1.9050764295150238,2120,2019,101,0.04764150943396227,206.039932,312.407296,390.21384,360,5.888888888888889
parking02,seed_42,1,degraded,2.0,1.9064290260980443,2514,2396,118,0.046937151949085126,206.31173,312.407296,390.21384,360,6.983333333333333
parking02,seed_1042,1,degraded,2.0,1.9064290260980443,2514,2396,118,0.046937151949085126,206.31173,312.407296,390.21384,360,6.983333333333333
parking02,seed_2042,1,degraded,2.0,1.9064290260980443,2514,2396,118,0.046937151949085126,206.31173,312.407296,390.21384,360,6.983333333333333
playground00,seed_42,1,degraded,2.0,1.9046900919920995,2653,2526,127,0.04787033546928006,206.31173,314.31691675,390.21384,360,7.3694444444444445
playground00,seed_1042,1,degraded,2.0,1.9046900919920995,2653,2526,127,0.04787033546928006,206.31173,314.31691675,390.21384,360,7.3694444444444445
